source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
l2_arctic_v5,annotation/*.TextGrid,words,word_label,lexical,"manual annotation word tier",,string,,,human manual/corrected interval annotation,interval,speech segment,authoritative documentation,"retain original label"
l2_arctic_v5,annotation/*.TextGrid,phones,phone_label,segment,"manual annotation phone tier; correct phones retain ARPAbet; errors encode canonical/perceived/error type",,string,"ARPAbet; CPL,PPL,s; CPL,sil,d; additions per documented convention",,human manual examination/correction,interval,phone,authoritative documentation,"retain raw compound tag; no invented IPA"
l2_arctic_v5,annotation/*.TextGrid,comments,annotator_comment,annotation,"optional annotator comments; may contain UTF-8 IPA",,string,,,human annotation,interval/point where present,phone/utterance,authoritative documentation,"do not parse IPA unless explicit"
l2_arctic_v5,annotation/*.TextGrid,xmin,interval_start,temporal,interval start,seconds,float,,,Praat TextGrid boundary,absolute within recording,word/phone,authoritative documentation,
l2_arctic_v5,annotation/*.TextGrid,xmax,interval_end,temporal,interval end,seconds,float,,,Praat TextGrid boundary,absolute within recording,word/phone,authoritative documentation,
l2_arctic_v5,speaker summary,Speaker,speaker_id,participant,source speaker code,,string,,,source metadata,,speaker,authoritative documentation,"namespace as source_id::Speaker"
l2_arctic_v5,speaker summary,Gender,gender,demographic,reported gender category,,categorical,"M;F",,source metadata,,speaker,authoritative documentation,
l2_arctic_v5,speaker summary,Native Language,l1,language,reported native language,,categorical,"Arabic;Chinese;Hindi;Korean;Spanish;Vietnamese",,source metadata,,speaker,authoritative documentation,
l2_arctic_v5,speaker summary,# Wav Files,recording_count,recording,count of WAV files per speaker,files,integer,,,source inventory,,recordings,authoritative documentation,
l2_arctic_v5,speaker summary,# Annotations,manual_annotation_count,annotation,count of manually annotated read utterances per speaker,files,integer,,,source inventory,,utterances,authoritative documentation,
