source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
pavoque_2014,style YAML,prompt,source_utterance_id,recording,Prompt/file basename,,string,,,author metadata,utterance,utterance,upstream YAML,Namespaced downstream as pavoque_2014::prompt
pavoque_2014,style YAML,text,orthographic_text,lexical,Original German utterance text,,string,,,author transcription,utterance,utterance,upstream YAML,Preserve verbatim
pavoque_2014,style YAML,style,speaking_style,condition,Expressive speaking style,,categorical,"angry; happy; neutral; poker; sad; outtakes",,author experimental label,utterance,utterance,upstream YAML,Outtakes held for review
pavoque_2014,style YAML,start,utterance_start_s,temporal,Utterance start in style recording,seconds,float,,,author annotation,recording-relative,utterance,upstream YAML,Raw value retained
pavoque_2014,style YAML,end,utterance_end_s,temporal,Utterance end in style recording,seconds,float,,,author annotation,recording-relative,utterance,upstream YAML,Raw value retained
pavoque_2014,segments,lab,segment_label_original,segment,Manually corrected phonetic segment label,,string,"SAMPA-based; _ denotes silence",,manual correction of phonetic segmentation,segment,phonetic segment,upstream YAML,Do not invent IPA mapping
pavoque_2014,segments,end,segment_end_s_relative,temporal,Segment end time relative to utterance,seconds,float,,,manual correction of phonetic segmentation,utterance-relative,phonetic segment,upstream YAML,Segment start is defensibly derived as previous segment end within utterance; raw end remains unchanged
pavoque_2014,derived segments,segment_start_s_relative,segment_start_s_relative,temporal,Derived segment start from previous segment end; first segment starts at 0,seconds,float,,,deterministic derivation from ordered source endpoints,utterance-relative,phonetic segment,derived from upstream YAML,Separate derived field; never overwrites raw endpoint
pavoque_2014,derived segments,segment_start_s_absolute,segment_start_s_absolute,temporal,Utterance start plus relative segment start,seconds,float,,,deterministic derivation,recording-relative,phonetic segment,derived from upstream YAML,Separate derived field
pavoque_2014,derived segments,segment_end_s_absolute,segment_end_s_absolute,temporal,Utterance start plus raw relative segment end,seconds,float,,,deterministic derivation,recording-relative,phonetic segment,derived from upstream YAML,Separate derived field
