source_id,file_table,original_variable,standardized_variable,variable_domain,description,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
pxcorpus_zenodo_10080490,PxSLU/paths.txt,path,recording_path,recording,"relative WAV path; row key linking parallel files",,string,,,author deposit,,recording,Zenodo v4,"parallel row index is relational key"
pxcorpus_zenodo_10080490,PxSLU/metadata.txt,participant_id,source_speaker_id,demographic,"participant unique id",,string,,,author metadata,,speaker,Zenodo v4,"namespace as pxcorpus_zenodo_10080490::participant_id"
pxcorpus_zenodo_10080490,PxSLU/metadata.txt,age_range,age_range,demographic,"participant age band",,categorical,"18–28; 60+; other deposited bands",,author metadata,,speaker,Zenodo v4,
pxcorpus_zenodo_10080490,PxSLU/metadata.txt,gender,gender,demographic,"deposited participant gender",,categorical,"source values including F/M where present",,author metadata,,speaker,Zenodo v4,"preserve original coding"
pxcorpus_zenodo_10080490,PxSLU/metadata.txt,category,clinical_group,participant,"drug-prescription expertise category",,categorical,"doctor; expert; non-expert",,author metadata,,speaker,Zenodo v4,"expert includes pharmacist or drug-specialized biologist"
pxcorpus_zenodo_10080490,PxSLU/seq.in,transcript,transcript_original,annotation,"human-verified/manual transcript",,string,,,"automatic transcription verified by humans; corpus also described as manually transcribed",utterance,spoken utterance,Zenodo v4,"retain hesitations and truncations"
pxcorpus_zenodo_10080490,PxSLU/seq.out,bio_entities,semantic_labels,annotation,"token-level semantic entities in BIO format",,sequence,"BIO slot labels",,semantic annotation,token,spoken lexical content,Zenodo v4,"parallel with seq.in"
pxcorpus_zenodo_10080490,PxSLU/seq.label,intent,intent_label,annotation,"utterance intent",,categorical,"e.g. medical_prescription",,semantic annotation,utterance,spoken utterance,Zenodo v4,
pxcorpus_zenodo_10080490,PxDialogue/dialogue_annotations.txt,dialogue_annotation,production_judgment,annotation,"manual judgment whether system response after recording was correct",,categorical,"OK; Fail",,"manual annotation",recording,utterance/dialogue turn,Zenodo v4,"Fail can include free comments outside dialogue-state tracking"
pxcorpus_zenodo_10080490,PxDialogue/events.txt,event_timestamp,event_time_s,temporal,"dialogue event timestamp",seconds,numeric,,,system event log,dialogue session,dialogue event,Zenodo v4,"events include user ASR, UI, system TTS, APP"
