source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
spire_vcv_2021,source_web_speaker_table,Subject,source_speaker_id,demographic,speaker code,,string,F1/M1/F2/M2/F3/M3/F4/M4/F5/M5,not stated,source metadata,,,authoritative SPIRE page,Namespaced separately in source-faithful layer
spire_vcv_2021,source_web_speaker_table,Age,age_years,demographic,speaker age,years,integer,18-27,not stated,source metadata,,,authoritative SPIRE page,
spire_vcv_2021,source_web_speaker_table,Gender,gender,demographic,reported gender,,categorical,Female/Male,not stated,source metadata,,,authoritative SPIRE page,Preserve original categories
spire_vcv_2021,source_web_speaker_table,Native Language,l1_language,language,speaker native language,,categorical,Bengali/Tulu/Tamil/Kannada/Malayalam/Hindi,not stated,source metadata,,,authoritative SPIRE page,
spire_vcv_2021,stimulus_design,Vowel,vowel_label,lexical_stimulus,source vowel in symmetrical VCV,,categorical,a/e/i/o/u,not stated,experimental design,VCV stimulus,vowel,authoritative SPIRE page,Source uses slash-delimited labels; no additional IPA mapping inferred
spire_vcv_2021,stimulus_design,Consonant,consonant_label,lexical_stimulus,source consonant in symmetrical VCV,,categorical,"b/ch/d/f/g/jh/k/l/m/n/ng/p/r/s/t/v/z",not stated,experimental design,VCV stimulus,consonant,authoritative SPIRE page,Retain source labels
spire_vcv_2021,stimulus_design,Speed,speaking_rate,condition,elicited speaking rate,,categorical,slow/normal/fast,not stated,GUI-prompted production,utterance,,authoritative SPIRE page,Three repetitions at each rate
spire_vcv_2021,manual_boundary_annotation,C onset,consonant_start_s,interval_landmark,start boundary of consonant region,seconds,numeric,continuous,not stated,"manual by four-member team using wideband spectrogram waveform and Praat glottal pulses; ambiguous cases unanimous",within VCV,consonant,authoritative SPIRE page,Exact distributed field name/file structure pending corpus access
spire_vcv_2021,manual_boundary_annotation,C end,consonant_end_s,interval_landmark,end boundary of consonant region,seconds,numeric,continuous,not stated,"manual by four-member team using wideband spectrogram waveform and Praat glottal pulses; ambiguous cases unanimous",within VCV,consonant,authoritative SPIRE page,Exact distributed field name/file structure pending corpus access
spire_vcv_2021,EMA,UL x/y/z,ema_upper_lip_xyz,articulatory_measurement,upper-lip 3D trajectory,source coordinate units,numeric trajectory,continuous,not stated,AG501 EMA sampled 250 Hz,full recording,upper lip,authoritative SPIRE page,Preserve all samples; exact source variable names pending access
spire_vcv_2021,EMA,LL x/y/z,ema_lower_lip_xyz,articulatory_measurement,lower-lip 3D trajectory,source coordinate units,numeric trajectory,continuous,not stated,AG501 EMA sampled 250 Hz,full recording,lower lip,authoritative SPIRE page,Preserve all samples
spire_vcv_2021,EMA,Jaw x/y/z,ema_jaw_xyz,articulatory_measurement,jaw 3D trajectory,source coordinate units,numeric trajectory,continuous,not stated,AG501 EMA sampled 250 Hz,full recording,jaw,authoritative SPIRE page,Preserve all samples
spire_vcv_2021,EMA,Tongue Tip x/y/z,ema_tongue_tip_xyz,articulatory_measurement,tongue-tip 3D trajectory,source coordinate units,numeric trajectory,continuous,not stated,AG501 EMA sampled 250 Hz,full recording,tongue tip,authoritative SPIRE page,Preserve all samples
spire_vcv_2021,EMA,Tongue Body x/y/z,ema_tongue_body_xyz,articulatory_measurement,tongue-body 3D trajectory,source coordinate units,numeric trajectory,continuous,not stated,AG501 EMA sampled 250 Hz,full recording,tongue body,authoritative SPIRE page,Preserve all samples
spire_vcv_2021,EMA,Tongue Dorsum x/y/z,ema_tongue_dorsum_xyz,articulatory_measurement,tongue-dorsum 3D trajectory,source coordinate units,numeric trajectory,continuous,not stated,AG501 EMA sampled 250 Hz,full recording,tongue dorsum,authoritative SPIRE page,Preserve all samples
