source_id,utterance_id,segment_id,segment_index,label_original_sampa,segment_start_rel_s,segment_end_rel_s,segment_duration_s,segment_start_abs_s,segment_end_abs_s,style_original,source_file,annotation_status,normalized_ipa,notes
pavoque,pavoque::spike0001,pavoque::spike0001::seg001,1,H#,0.0,0.416756,0.416756,0.0,0.416756,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0001,pavoque::spike0001::seg002,2,?,0.416756,0.436332,0.019576,0.416756,0.436332,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0001,pavoque::spike0001::seg003,3,I,0.436332,0.509483,0.073151,0.436332,0.509483,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0001,pavoque::spike0001::seg004,4,C,0.509483,0.586756,0.077273,0.509483,0.586756,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0001,pavoque::spike0001::seg005,5,b,0.586756,0.646513,0.059757,0.586756,0.646513,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0001,pavoque::spike0001::seg006,6,I,0.646513,0.71,0.063487,0.646513,0.71,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0001,pavoque::spike0001::seg007,7,n,0.71,0.765,0.055,0.71,0.765,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0001,pavoque::spike0001::seg008,8,S,0.765,0.86,0.095,0.765,0.86,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0001,pavoque::spike0001::seg009,9,p,0.86,0.960971,0.100971,0.86,0.960971,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0001,pavoque::spike0001::seg010,10,aI,0.960971,1.185,0.224029,0.960971,1.185,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
