source_id,utterance_id,segment_id,segment_index,label_original_sampa,segment_start_rel_s,segment_end_rel_s,segment_duration_s,segment_start_abs_s,segment_end_abs_s,style_original,source_file,annotation_status,normalized_ipa,notes
pavoque,pavoque::spike0003,pavoque::spike0003::seg001,1,H#,0,0.5468,0.5468,5.94,6.4868,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg002,2,n,0.5468,0.585,0.0382,6.4868,6.525,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg003,3,a:,0.585,0.633876,0.048876,6.525,6.573876,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg004,4,d,0.633876,0.674784,0.040908,6.573876,6.614784,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg005,5,a,0.674784,0.75,0.075216,6.614784,6.69,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg006,6,n,0.75,0.798863,0.048863,6.69,6.738863,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg007,7,v,0.798863,0.84246,0.043597,6.738863,6.78246,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg008,8,aI,0.84246,0.974478,0.132018,6.78246,6.914478,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg009,9,s,0.974478,1.04018,0.065702,6.914478,6.98018,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg010,10,t,1.04018,1.078864,0.038684,6.98018,7.018864,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg011,11,d,1.078864,1.129709,0.050845,7.018864,7.069709,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg012,12,u:,1.129709,1.180795,0.051086,7.069709,7.120795,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg013,13,j,1.180795,1.23,0.049205,7.120795,7.17,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg014,14,a:,1.23,1.3079,0.0779,7.17,7.2479,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg015,15,d,1.3079,1.348481,0.040581,7.2479,7.288481,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg016,16,a,1.348481,1.39,0.041519,7.288481,7.33,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg017,17,s,1.39,1.462638,0.072638,7.33,7.402638,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg018,18,?,1.462638,1.468164,0.005526,7.402638,7.408164,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg019,19,I,1.468164,1.50255,0.034386,7.408164,7.44255,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg020,20,C,1.50255,1.576235,0.073685,7.44255,7.516235,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg021,21,d,1.576235,1.671168,0.094933,7.516235,7.611168,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg022,22,U,1.671168,1.733428,0.06226,7.611168,7.673428,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg023,23,m,1.733428,1.807727,0.074299,7.673428,7.747727,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg024,24,k,1.807727,1.936428,0.128701,7.747727,7.876428,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg025,25,9,1.936428,1.97137,0.034942,7.876428,7.91137,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg026,26,pf,1.97137,2.125,0.15363,7.91137,8.065,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg027,27,@,2.125,2.131325,0.006325,8.065,8.071325,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg028,28,n,2.131325,2.205,0.073675,8.071325,8.145,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg029,29,g,2.205,2.259115,0.054115,8.145,8.199115,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg030,30,e:,2.259115,2.32,0.060885,8.199115,8.26,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg031,31,g,2.32,2.360904,0.040904,8.26,8.300904,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg032,32,@,2.360904,2.364854,0.00395,8.300904,8.304854,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg033,33,n,2.364854,2.413168,0.048314,8.304854,8.353168,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg034,34,?,2.413168,2.442642,0.029474,8.353168,8.382642,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg035,35,y:,2.442642,2.525,0.082358,8.382642,8.465,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg036,36,b,2.525,2.580587,0.055587,8.465,8.520587,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg037,37,6,2.580587,2.655,0.074413,8.520587,8.595,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg038,38,n,2.655,2.69,0.035,8.595,8.63,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg039,39,I,2.69,2.74,0.05,8.63,8.68,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg040,40,C,2.74,2.812424,0.072424,8.68,8.752424,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg041,41,t,2.812424,2.87,0.057576,8.752424,8.81,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg042,42,z,2.87,2.92,0.05,8.81,8.86,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg043,43,e:,2.92,2.96089,0.04089,8.86,8.90089,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg044,44,6,2.96089,3.006943,0.046053,8.90089,8.946943,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg045,45,t,3.006943,3.115665,0.108722,8.946943,9.055665,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg046,46,O,3.115665,3.155,0.039335,9.055665,9.095,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg047,47,l,3.155,3.183172,0.028172,9.095,9.123172,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg048,48,@,3.183172,3.262996,0.079824,9.123172,9.202996,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg049,49,R,3.262996,3.305,0.042004,9.202996,9.245,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg050,50,a,3.305,3.385,0.08,9.245,9.325,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg051,51,n,3.385,3.44,0.055,9.325,9.38,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg052,52,t,3.44,3.500015,0.060015,9.38,9.440015,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg053,53,b,3.500015,3.572349,0.072334,9.440015,9.512349,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg054,54,I,3.572349,3.660769,0.08842,9.512349,9.600769,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg055,55,n,3.660769,3.741332,0.080563,9.600769,9.681332,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
pavoque,pavoque::spike0003,pavoque::spike0003::seg056,56,_,3.741332,5.995,2.253668,9.681332,11.935,angry,pavoque-angry.yaml,manually_corrected,,No IPA normalization invented; source SAMPA-like label preserved verbatim.
