source_id,recording_id,source_recording_id,style,utterance_text,utterance_start_s,utterance_end_s,segment_index,segment_label_original,segment_start_relative_s,segment_end_relative_s,segment_start_absolute_s,segment_end_absolute_s,manual_status,source_file,source_blob_sha
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,1,H#,0,0.304112,2.34,2.644112,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,2,h,0.304112,0.348223,2.644112,2.688223,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,3,a:,0.348223,0.43,2.688223,2.77,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,4,b,0.43,0.457396,2.77,2.797396,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,5,@,0.457396,0.461082,2.797396,2.801082,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,6,n,0.461082,0.515,2.801082,2.855,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,7,v,0.515,0.535,2.855,2.875,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,8,i:,0.535,0.58,2.875,2.92,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,9,6,0.58,0.632798,2.92,2.972798,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,10,?,0.632798,0.638634,2.972798,2.978634,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,11,U,0.638634,0.663209,2.978634,3.003209,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0002,spike0002,angry,Haben wir uns schon einmal gesehen?,2.34,5.94,12,n,0.663209,0.71,3.003209,3.05,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
