source_id,source_utterance_id,utterance_text,style,utterance_start_s,utterance_end_s,segment_index,original_label,segment_start_relative_s,segment_end_relative_s,duration_s,segment_start_absolute_s,segment_end_absolute_s,annotation_method,provenance
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,1,H#,0,0.71,0.71,15.72,16.43,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,2,?,0.71,0.735,0.025,16.43,16.455,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,3,I,0.735,0.78877,0.05377,16.455,16.50877,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,4,C,0.78877,0.865559,0.076789,16.50877,16.585559,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,5,h,0.865559,0.887674,0.022115,16.585559,16.607674,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,6,a:,0.887674,0.95,0.062326,16.607674,16.67,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,7,b,0.95,0.99654,0.04654,16.67,16.71654,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,8,@,0.99654,1.046779,0.050239,16.71654,16.766779,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,9,R,1.046779,1.134011,0.087232,16.766779,16.854011,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,10,o:,1.134011,1.216328,0.082317,16.854011,16.936328,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,11,t,1.216328,1.285139,0.068811,16.936328,17.005139,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,12,@,1.285139,1.349018,0.063879,17.005139,17.069018,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,13,h,1.349018,1.415,0.065982,17.069018,17.135,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
