source_id,token_id,utterance_id,segment_index,original_label,normalized_ipa,relative_start_s,relative_end_s,duration_s,absolute_start_s,absolute_end_s,style,text,annotation_status,provenance_file,upstream_blob_sha
pavoque,pavoque::angry::spike0009::001,pavoque::angry::spike0009,1,H#,,0,0.66,0.66,28.92,29.58,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::002,pavoque::angry::spike0009,2,?,,0.66,0.695,0.035,29.58,29.615,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::003,pavoque::angry::spike0009,3,E,,0.695,0.733213,0.038213,29.615,29.653213,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::004,pavoque::angry::spike0009,4,6,,0.733213,0.770372,0.037159,29.653213,29.690372,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::005,pavoque::angry::spike0009,5,ts,,0.770372,0.897462,0.12709,29.690372,29.817462,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::006,pavoque::angry::spike0009,6,E:,,0.897462,0.966709,0.069247,29.817462,29.886709,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::007,pavoque::angry::spike0009,7,l,,0.966709,1.002205,0.035496,29.886709,29.922205,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::008,pavoque::angry::spike0009,8,m,,1.002205,1.063768,0.061563,29.922205,29.983768,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::009,pavoque::angry::spike0009,9,i:,,1.063768,1.119231,0.055463,29.983768,30.039231,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::010,pavoque::angry::spike0009,10,6,,1.119231,1.142525,0.023294,30.039231,30.062525,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::011,pavoque::angry::spike0009,11,d,,1.142525,1.181619,0.039094,30.062525,30.101619,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::012,pavoque::angry::spike0009,12,a:,,1.181619,1.275634,0.094015,30.101619,30.195634,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::013,pavoque::angry::spike0009,13,f,,1.275634,1.375,0.099366,30.195634,30.295,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::014,pavoque::angry::spike0009,14,O,,1.375,1.48,0.105,30.295,30.4,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::015,pavoque::angry::spike0009,15,n,,1.48,1.608409,0.128409,30.4,30.528409,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0009::016,pavoque::angry::spike0009,16,_,,1.608409,2.515,0.906591,30.528409,31.435,angry,"Erzähl mir davon.",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::001,pavoque::angry::spike0010,1,H#,,0,0.315,0.315,31.44,31.755,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::002,pavoque::angry::spike0010,2,?,,0.315,0.367251,0.052251,31.755,31.807251,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::003,pavoque::angry::spike0010,3,I,,0.367251,0.455,0.087749,31.807251,31.895,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
