source_id,utterance_id,token_id,segment_index,original_label,normalized_ipa,interval_start_s,interval_end_s,duration_s,absolute_start_s,absolute_end_s,style,annotation_status,source_blob_sha
pavoque,pavoque::spike0011,pavoque::spike0011::seg001,1,H#,,0,0.28,0.28,35.52,35.8,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg002,2,?,,0.28,0.308966,0.028966,35.8,35.828966,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg003,3,I,,0.308966,0.401102,0.092136,35.828966,35.921102,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg004,4,C,,0.401102,0.474812,0.07371,35.921102,35.994812,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg005,5,b,,0.474812,0.535255,0.060443,35.994812,36.055255,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg006,6,I,,0.535255,0.605,0.069745,36.055255,36.125,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg007,7,n,,0.605,0.655,0.05,36.125,36.175,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg008,8,s,,0.655,0.722353,0.067353,36.175,36.242353,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg009,9,p,,0.722353,0.817076,0.094723,36.242353,36.337076,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg010,10,aI,,0.817076,1.065,0.247924,36.337076,36.585,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg011,11,k,,1.065,1.191636,0.126636,36.585,36.711636,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg012,12,_,,1.191636,1.25856,0.066924,36.711636,36.77856,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg013,13,v,,1.25856,1.279474,0.020914,36.77856,36.799474,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg014,14,E,,1.279474,1.329842,0.050368,36.799474,36.849842,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg015,15,l,,1.329842,1.365,0.035158,36.849842,36.885,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg016,16,C,,1.365,1.429964,0.064964,36.885,36.949964,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg017,17,@,,1.429964,1.475418,0.045454,36.949964,36.995418,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg018,18,s,,1.475418,1.52,0.044582,36.995418,37.04,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg019,19,p,,1.52,1.591574,0.071574,37.04,37.111574,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg020,20,R,,1.591574,1.611166,0.019592,37.111574,37.131166,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg021,21,o:,,1.611166,1.667063,0.055897,37.131166,37.187063,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg022,22,b,,1.667063,1.743635,0.076572,37.187063,37.263635,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg023,23,l,,1.743635,1.785,0.041365,37.263635,37.305,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg024,24,e:,,1.785,1.895,0.11,37.305,37.415,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg025,25,m,,1.895,1.95,0.055,37.415,37.47,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
