source_id,file_or_object,authoritative_url,file_type,size_bytes,checksum_type,checksum,redistribution_action,ingestion_state,notes
ifa_spoken_language_corpus_2001,COCOSDA 2002 compressed audio.zip,https://zenodo.org/records/14904090,application/zip,700200000,md5,87951aa19784a624c65993722c032f5e,reference_only,inventoried,"Derived compressed-audio experiment archive; not primary core observations."
ifa_spoken_language_corpus_2001,SLspeech-chunks-F20N.zip,https://zenodo.org/records/14904090,application/zip,644800000,md5,a1a9c02278bfcf163f4ba27220a8a761,reference_only,inventoried,"Primary chunk audio; authoritative reference/checksum only."
ifa_spoken_language_corpus_2001,SLspeech-chunks-F24I.zip,https://zenodo.org/records/14904090,application/zip,624200000,md5,325c6f84610a706be8b3072d91152979,reference_only,inventoried,"Primary chunk audio; speaker not among eight phonemically segmented speakers."
ifa_spoken_language_corpus_2001,SLspeech-chunks-F28G.zip,https://zenodo.org/records/14904090,application/zip,682000000,md5,3cea531286f508267136eb2c87a8b0f8,reference_only,inventoried,"Primary chunk audio."
ifa_spoken_language_corpus_2001,SLspeech-chunks-F40L.zip,https://zenodo.org/records/14904090,application/zip,551900000,md5,ea04e9a331dcdb678ee91eca24185247,reference_only,inventoried,"Primary chunk audio."
ifa_spoken_language_corpus_2001,SLspeech-chunks-F60E.zip,https://zenodo.org/records/14904090,application/zip,731100000,md5,0274ed0d369ce0ba272f69c469465800,reference_only,inventoried,"Primary chunk audio."
ifa_spoken_language_corpus_2001,SLspeech-chunks-M15R.zip,https://zenodo.org/records/14904090,application/zip,380500000,md5,8526497910a6722bce58eed0e520eefb,reference_only,inventoried,"Primary chunk audio."
ifa_spoken_language_corpus_2001,SLspeech-chunks-M40K.zip,https://zenodo.org/records/14904090,application/zip,513100000,md5,118da90e364e683ed80cbb3935fa2d06,reference_only,inventoried,"Primary chunk audio."
ifa_spoken_language_corpus_2001,SLspeech-chunks-M56H.zip,https://zenodo.org/records/14904090,application/zip,531200000,md5,239c1a50a55cd98c93e1dd5d9d7664f0,reference_only,inventoried,"Primary chunk audio."
ifa_spoken_language_corpus_2001,SLspeech-chunks-M58D.zip,https://zenodo.org/records/14904090,application/zip,664600000,md5,69d9825b19769a5bac49131fc8d2f37d,reference_only,inventoried,"Primary chunk audio; speaker not among eight phonemically segmented speakers."
ifa_spoken_language_corpus_2001,SLspeech-chunks-M66O.zip,https://zenodo.org/records/14904090,application/zip,702800000,md5,b81312dcc55642adcc566001fe216d84,reference_only,inventoried,"Primary chunk audio."
ifa_spoken_language_corpus_2001,SLspeech-sentences-fm-F20N.zip,https://zenodo.org/records/14904090,application/zip,358200000,md5,ece88127c0d4e39732a2282f05205a26,reference_only,inventoried,"Primary fixed-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-fm-F28G.zip,https://zenodo.org/records/14904090,application/zip,331900000,md5,0a2b3cf1acf129335e990cf6d114fcdc,reference_only,inventoried,"Primary fixed-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-fm-F40L.zip,https://zenodo.org/records/14904090,application/zip,258400000,md5,c71d3714b4bd4d01dc1bb625e867cce0,reference_only,inventoried,"Primary fixed-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-fm-F60E.zip,https://zenodo.org/records/14904090,application/zip,359400000,md5,de2dafa6d57faf1949c8c4174600f74d,reference_only,inventoried,"Primary fixed-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-fm-M15R.zip,https://zenodo.org/records/14904090,application/zip,178100000,md5,57b0bd8e36eba55c8809122eeb20ef27,reference_only,inventoried,"Primary fixed-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-fm-M40K.zip,https://zenodo.org/records/14904090,application/zip,230100000,md5,0b52a72e7aac1a229c9e14a722f400b7,reference_only,inventoried,"Primary fixed-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-fm-M56H.zip,https://zenodo.org/records/14904090,application/zip,248400000,md5,56a2db59db3132f9f3094ab09bba036f,reference_only,inventoried,"Primary fixed-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-fm-M66O.zip,https://zenodo.org/records/14904090,application/zip,308700000,md5,6248b1c12791fbbb693e567638fe0518,reference_only,inventoried,"Primary fixed-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-hm-F20N.zip,https://zenodo.org/records/14904090,application/zip,321100000,md5,f631c7e6e6dcf81864a05c7f24b51f15,reference_only,inventoried,"Primary head-mounted-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-hm-F28G.zip,https://zenodo.org/records/14904090,application/zip,283600000,md5,ed29bcd23afe9d6b1bf3687adb5fd743,reference_only,inventoried,"Primary head-mounted-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-hm-F40L.zip,https://zenodo.org/records/14904090,application/zip,245600000,md5,dea73e749829d52429f82f2e14b1b706,reference_only,inventoried,"Primary head-mounted-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-hm-F60E.zip,https://zenodo.org/records/14904090,application/zip,319800000,md5,b4a3168e323dc840e13dcd164708d42e,reference_only,inventoried,"Primary head-mounted-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-hm-M15R.zip,https://zenodo.org/records/14904090,application/zip,159200000,md5,66ca4c3607d1dc460ed67ece3b1e8145,reference_only,inventoried,"Primary head-mounted-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-hm-M40K.zip,https://zenodo.org/records/14904090,application/zip,215100000,md5,b7fd9bec968f4240a3d412c8d093a24f,reference_only,inventoried,"Primary head-mounted-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-hm-M56H.zip,https://zenodo.org/records/14904090,application/zip,212300000,md5,7daa99cb65af3978b73f4c0ef1c394c9,reference_only,inventoried,"Primary head-mounted-microphone sentence audio linked to manual segmentation."
ifa_spoken_language_corpus_2001,SLspeech-sentences-hm-M66O.zip,https://zenodo.org/records/14904090,application/zip,277700000,md5,2644c73095f5b695b6e5379e7df2cf77,reference_only,inventoried,"Primary head-mounted-microphone sentence audio linked to manual segmentation."
jsut_label_manual_prosody,repository_tree,https://github.com/sarulab-speech/jsut-label,git-tree,,git-sha,1978271ca6212e1ea742da8f149160f5679e8971,reference_only,inventoried,"Public derivative annotation repository; BASIC5000 label content is manual phonetic/prosodic information but timing is automatic. Full tree inventoried by authoritative Git SHA; core promotion pending lineage/timing separation."
