source_id,title,year,repository_platform,repository_url,publication_url,doi,language,glottocode,data_mode,task,speaker_n,token_or_recording_size,annotation_target,annotation_provenance,manual_scope,primary_collection,preexisting_database_dependency,audio_available,annotation_files_available,measurements_available,access,license,decision,decision_reason,evidence_summary,verified_date
twi_vowel_harmony_2026,"Age, gender, and locality effects on innovation in the Twi vowel harmony system",2026,OSF,https://osf.io/z268r/,https://www.cambridge.org/core/journals/language-variation-and-change/article/age-gender-and-locality-effects-on-innovation-in-the-twi-vowel-harmony-system/AE02872EEE62AA7F9264B53BC3170C7C,,Twi,,acoustic speech,elicited isolated target words,,,target vowel intervals; F1/F2 midpoint; duration,MANUAL_FROM_SCRATCH,target vowels manually annotated before scripted acoustic measurement,TRUE,FALSE,UNKNOWN,UNKNOWN,YES,public,UNKNOWN,INCLUDE,Primary elicited production data with explicitly manual target-vowel annotation.,Paper states target vowels were manually annotated; duration and F1/F2 were then measured in Praat.,2026-08-27
swehvd_2023_2024,SwehVd Central Swedish hVd vowel database,2023-2024,OSF,https://osf.io/ruxnb/,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2023.1165742/full,10.3389/fpsyg.2023.1165742,Swedish,swed1254,acoustic speech,hVd word reading,48 in final release,"9,979 tokens in final release",word/vowel boundaries; F0; F1-F3 trajectories; duration,AUTO_THEN_ALL_CORRECTED,forced-alignment estimates; vowel boundaries manually corrected by first author for all relevant tokens,TRUE,FALSE,YES,YES,YES,public,UNKNOWN,INCLUDE,Primary recordings; relevant segment boundaries were manually corrected exhaustively.,"Methods state SweFA estimated boundaries and the first author manually corrected them using spectrograms, waveforms, pitch and intensity.",2026-08-27
ccost_2026,Chulalongkorn Corpus of Spoken Thai (CCOST),2026,Zenodo,https://zenodo.org/records/17366698,https://aclanthology.org/2026.lrec-1.247/,10.5281/zenodo.17366698,Standard Thai,thai1261,acoustic speech,spontaneous interview; word list; sentence reading,49,~12 hours (7 spontaneous + 5 controlled),"orthographic, word, syllable, phone, toneme",AUTO_THEN_ALL_CORRECTED,ASR/forced alignment followed by manual correction by phonetically trained native Thai annotators,TRUE,FALSE,YES,YES,NO,public,CC-BY-NC-SA-4.0,INCLUDE,Primary corpus with phone-level human-corrected annotations and audio/TextGrids.,Corpus paper states ASR/MAUS output was manually corrected by phonetically trained native Thai speakers.,2026-08-27
pavoque,PAVOQUE Corpus of Expressive Speech,2013,GitHub,https://github.com/marytts/pavoque-data,https://www.dfki.de/web/forschung/projekte-publikationen/publikation/7175,,German,stan1295,acoustic speech,read speech in neutral and expressive styles,1,"thousands of utterances; 3,000 neutral sentences plus expressive subsets",phone segmentation and labels,AUTO_THEN_ALL_CORRECTED,phone-level labels/segment boundaries manually checked and corrected where needed,TRUE,FALSE,YES,YES,NO,public,CC-BY-NC-SA-4.0,INCLUDE,Primary recordings with manually corrected phone segmentation.,Repository and corpus paper describe phone-level segmentation as manually corrected/checked.,2026-08-27
ohio_state_stories,Ohio State Stories Corpus,2015,OSF/Ohio State,https://u.osu.edu/storiescorpus/information/,https://u.osu.edu/storiescorpus/publications/,,American English,stan1293,acoustic speech,"30 short stories, plain and clear styles",45,"2,700 story recordings; 236 target words per story design",target-vowel onset/offset,AUTO_THEN_ALL_CORRECTED,every target-vowel onset and offset hand-corrected after forced alignment,TRUE,FALSE,YES,YES,YES,public/website,UNKNOWN,INCLUDE,Original corpus; all relevant target-vowel boundaries hand-corrected.,Corpus documentation says entire corpus was forced aligned and onset/offset of each target vowel hand-corrected.,2026-08-27
schertz_adil_kravchuk_2023,"Underpinnings of explicit phonetic imitation: perception, production, and variability",2023,OSF,https://osf.io/zve4c/,https://escholarship.org/uc/item/7xt135c0,10.5070/G601123,English,stan1293,acoustic speech,explicit accent and word imitation,42,,stop burst; onset of periodicity; vowel offset; derived VOT/vowel duration,MANUAL_FROM_SCRATCH,three acoustic landmarks manually annotated for target words,TRUE,FALSE,UNKNOWN,UNKNOWN,YES,public,UNKNOWN,INCLUDE_MEASUREMENTS,Primary experiment and manual landmarks; raw audio/annotation-file availability still needs file-level check.,"Methods specify manual annotation of burst, periodicity onset, and vowel end for target initial voiceless stops.",2026-08-27
oschkinat_reinisch_hoole_2026,Lexical Bias Effects do not Influence Responses to Real-Time Temporal Auditory Feedback Perturbation,2026,OSF,https://osf.io/rsytu/,https://journals.sagepub.com/doi/full/10.1177/00238309261426375,10.1177/00238309261426375,German,stan1295,acoustic speech,auditory feedback perturbation production,,,segment durations,AUTO_THEN_ALL_CORRECTED,automatic duration boundaries were hand-corrected in Praat,TRUE,FALSE,UNKNOWN,UNKNOWN,YES,public,UNKNOWN,INCLUDE_MEASUREMENTS,Primary experiment with hand-corrected segmentation; repository file contents still need harvesting.,Paper states segment durations were automatically determined and then hand-corrected in Praat; data/analyses on OSF.,2026-08-27
jingju_acappella_primary_subset,Jingju a Cappella Recordings Collection — primary-recording subset,2022,Zenodo,https://zenodo.org/records/6536490,,10.5281/zenodo.6536490,Mandarin/Jingju singing,,singing,jingju aria performance,,142 recordings phrase+syllable manual; 81 additionally phoneme-level,phrase; syllable; phoneme,MANUAL_FROM_SCRATCH,segmentation done manually in Praat; retain only newly recorded/consented primary subset,MIXED,MIXED,YES,YES,NO,public,Creative Commons; exact source-specific license in record,INCLUDE_SPECIALIZED_SUBSET,"Manual phoneme segmentation is valuable, but collection mixes newly recorded and pre-existing commercial material; only primary recordings qualify.",Zenodo record states manual Praat segmentation and identifies newly created recordings separately from commercial recordings.,2026-08-27
mrpl2_2026,MRPL2 Non-native Speech Corpus,2026,Zenodo,https://zenodo.org/records/20365865,,,Non-native English,stan1293,acoustic speech,non-native English utterances,23,"4,500 utterances",phonetic mispronunciation labels; TextGrids,MANUAL_FROM_SCRATCH,utterances manually annotated for phonetic mispronunciations,LIKELY,FALSE,YES_RESTRICTED,YES_RESTRICTED,NO,restricted files,UNKNOWN,INCLUDE_METADATA_ONLY_PENDING_ACCESS,"Strong manual annotation provenance, but files are restricted and primary-collection details need full-paper verification.","Zenodo record describes 4,500 utterances and manual phonetic mispronunciation annotation; files restricted.",2026-08-27
mitra_dutta_2023_bengali_english,"Mixed language processing increases cross-language phonetic transfer in Bengali–English bilinguals",2023,OSF,https://osf.io/dsb2x/,https://www.cambridge.org/core/journals/bilingualism-language-and-cognition/article/mixed-language-processing-increases-crosslanguage-phonetic-transfer-in-bengalienglish-bilinguals/210AED86C21DE8920417099F2A93D0C6,10.1017/S1366728923000159,Bengali; Indian English,beng1280; stan1293,acoustic speech,"cued picture naming and controlled code-switching",10,3200 target tokens,"target vowel intervals; F1/F2 at 5%,15%,25%,35%,45%",MANUAL_FROM_SCRATCH,recordings manually segmented and annotated in Praat,TRUE,FALSE,UNKNOWN,UNKNOWN,YES,public,UNKNOWN,INCLUDE_MEASUREMENTS,"Primary elicited bilingual production with explicitly manual segmentation and open token-level data/analysis files.","Methods report 10 participants × 20 target words × 2 conditions × 2 tasks × 4 repetitions = 3200 tokens; recordings manually segmented and annotated in Praat; OSF provides materials, data files, and analysis code.",2026-08-28
cohn_zellou_2023_clear_speech,"Selective tuning of nasal coarticulation and hyperarticulation across slow-clear, casual, and fast-clear speech styles",2023,OSF,https://osf.io/n3fzj/,https://doi.org/10.1121/10.0023841,10.1121/10.0023841,California English,stan1293,acoustic speech,"carrier-sentence reading in slow-clear, casual, and fast-clear styles",27,"2698 utterances annotated; 2615 retained","target vowel boundaries; F1-F3 trajectories; A1-P0 nasalization; speech rate",AUTO_THEN_ALL_CORRECTED,"each utterance reviewed by trained RAs; target vowel boundaries hand-corrected after MFA using formant structure, voicing bar, and amplitude",TRUE,FALSE,UNKNOWN,UNKNOWN,YES,public,UNKNOWN,INCLUDE_MEASUREMENTS,"Primary home-recorded production; every analyzed target-vowel interval has human-corrected boundaries and OSF supports the reported measurements.","Paper reports trained-RA annotation of all 2698 utterances, removal of problematic trials, MFA followed by hand-correction of target vowel boundaries, and five retained time-normalized formant/nasality measurement windows.",2026-08-28
l2_arctic_manual_subset,"L2-ARCTIC manually annotated subset",2018,project website,https://psi.engr.tamu.edu/l2-arctic-corpus/,https://www.isca-archive.org/interspeech_2018/zhao18b_interspeech.html,,Non-native English,stan1293,acoustic speech,CMU-ARCTIC sentence reading,24,"3599 manually examined utterances within 26,867 total utterances","corrected word/phone boundaries; phone substitutions/deletions/additions",AUTO_THEN_MANUAL_SUBSET,"selected ~150 utterances per speaker manually examined with corrected word and phone boundaries and error tags",TRUE,FALSE,YES_GATED,YES_GATED,NO,registration-gated download,custom corpus terms,INCLUDE_MANUAL_SUBSET,"Primary L2 recordings; only the explicitly manually examined 3,599-utterance subset qualifies, not the remaining forced-aligned corpus.","Corpus documentation reports 24 speakers, 27.1 hours overall, and human annotators manually examined 3,599 utterances with 14,098 substitutions, 3,420 deletions, and 1,092 additions; the manual subset includes corrected word and phone boundaries.",2026-08-28
