source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
danpass_2014,textgrids_2014.zip,tier_1_orthography,orthographic_transcription,transcription,Orthographical representation,,interval_text,text labels,,manual transcription,word/prosodic-phrase aligned,speech content,DanPASS authoritative website,"Retain original orthography"
danpass_2014,textgrids_2014.zip,tier_2_detailed_pos,,linguistic_annotation,Detailed part-of-speech tagging,,interval_text,tagset,,automatic then manually proof-read,word aligned,,DanPASS authoritative website,"Automatic origin; not a manual phonetic variable"
danpass_2014,textgrids_2014.zip,tier_3_simplified_pos,,linguistic_annotation,Simplified part-of-speech tagging,,interval_text,tagset,,automatic then manually proof-read,word aligned,,DanPASS authoritative website,"Automatic origin; not a manual phonetic variable"
danpass_2014,textgrids_2014.zip,tier_4_phonological,phonological_transcription,segmental_annotation,Abstract phonological representation,,interval_text,source transcription system,,documented corpus annotation,word/domain aligned,phonological segments,DanPASS authoritative website,"Preserve source symbols; no IPA normalization until mapping verified"
danpass_2014,textgrids_2014.zip,tier_5_reference_phonetic,reference_phonetic_transcription,segmental_annotation,Phonetic representation of each word in distinct isolated-style pronunciation norm,,interval_text,source transcription system,,corpus annotation,word/domain aligned,phonetic segments,DanPASS authoritative website,"Reference layer distinct from observed semi-narrow realization"
danpass_2014,textgrids_2014.zip,tier_6_semi_narrow_phonetic,phonetic_transcription,segmental_annotation,Semi-narrow phonetic transcription with word/domain boundaries,,interval_text,source transcription system,,independently annotated by two assistants; disagreements adjudicated; full file proof-read,word/domain aligned,phonetic segments,DanPASS authoritative website,"Core manual production layer"
danpass_2014,textgrids_2014.zip,tier_7_syllable_phonetic,phonetic_transcription_syllable,segmental_annotation,Same semi-narrow phonetic transcription in syllable-sized domains,,interval_text,source transcription system,,independently annotated by two assistants; disagreements adjudicated; full file proof-read,syllable aligned,phonetic segments,DanPASS authoritative website,"Core manual production layer"
danpass_2014,textgrids_2014.zip,tier_8_stress_pitch,pitch_relation,prosody,Symbolic syllable prominence/stress and pitch relation between stressed and first post-tonic syllable,,categorical,symbolic source labels,,independently annotated by two assistants; disagreements adjudicated; full file proof-read,stressed-to-post-tonic relation,pitch/prosody,DanPASS authoritative website,"Core manual production layer"
danpass_2014,textgrids_2014.zip,tier_9_phrasal_intonation,phrasal_intonation,prosody,Symbolic representation of phrasal intonation contour,,categorical,symbolic source labels,,manual annotation with repeated adjudication/proof-reading procedure,prosodic phrase,intonation,DanPASS authoritative website,"Core manual production layer"
danpass_2014,textgrids_2014.zip,tier_10_comments,annotation_comments,annotation_metadata,Ad hoc comments,,interval_text,free text,,manual,local annotation span,,DanPASS authoritative website,"Retain source-specific comments without standardization"
