source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,speaker,speaker_id,participant,Source speaker identifier,,string,,,source supplied,,,GitHub results/speaker1_f.csv,
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,word,lexical_item,lexical,Target word,,string,,,TextGrid-linked,,,GitHub results/speaker1_f.csv,
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,vowel,segment_label,segment,Source vowel label,,string,I;e;i;a,,TextGrid vowel annotation,,vowel,GitHub results/speaker1_f.csv,Retain source transcription; no IPA normalization invented
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,F0,f0_hz,acoustic,Fundamental frequency,Hz,float,,,Praat analysis,measurement window inside annotated vowel,voice source,GitHub results/speaker1_f.csv,
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,F1,f1_hz,acoustic,First formant,Hz,float,,,Praat formant analysis,measurement window inside annotated vowel,vocal tract resonance,GitHub results/speaker1_f.csv,
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,F2,f2_hz,acoustic,Second formant,Hz,float,,,Praat formant analysis,measurement window inside annotated vowel,vocal tract resonance,GitHub results/speaker1_f.csv,
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,F3,f3_hz,acoustic,Third formant,Hz,float,,,Praat formant analysis,measurement window inside annotated vowel,vocal tract resonance,GitHub results/speaker1_f.csv,
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,F2/F1,f2_f1_ratio,derived_acoustic,Source-provided F2/F1 ratio,ratio,float,,,source calculation,token,vocal tract resonance,GitHub results/speaker1_f.csv,
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,F3/F2,f3_f2_ratio,derived_acoustic,Source-provided F3/F2 ratio,ratio,float,,,source calculation,token,vocal tract resonance,GitHub results/speaker1_f.csv,
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,duration,duration_s,temporal,Vowel interval duration,s,float,,,TextGrid vowel boundaries,whole vowel,vowel,GitHub results/speaker1_f.csv,
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,proportion,measurement_proportion,measurement_window,Source measurement proportion,percent,float,,,Praat script setting,within vowel,vowel,GitHub results/speaker1_f.csv,README describes margins/windowing; retain raw source value
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,position,phrase_position,prosodic,Phrase position code,,categorical,i;f,,encoded in word-tier label,word,word,GitHub results/speaker1_f.csv,i=initial f=final per README
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,voicing,following_consonant_voicing,context,Following consonant voicing,,categorical,voiceless,,stimuli metadata,token,following consonant,GitHub results/speaker1_f.csv,
bortlik_vowel_formants_demo_2026,results/speaker1_f.csv,marked,source_marked_flag,quality_control,User mark/unmark inspection flag,,integer,0/1,,manual inspection interface,token,token,GitHub results/speaker1_f.csv,
bortlik_vowel_formants_demo_2026,textgrids/speaker1_f.TextGrid,xmin,interval_start_s,annotation,Interval start time,s,float,,,TextGrid interval boundary,recording time,word/vowel,GitHub TextGrid,
bortlik_vowel_formants_demo_2026,textgrids/speaker1_f.TextGrid,xmax,interval_end_s,annotation,Interval end time,s,float,,,TextGrid interval boundary,recording time,word/vowel,GitHub TextGrid,
bortlik_vowel_formants_demo_2026,textgrids/speaker1_f.TextGrid,text,original_interval_label,annotation,Original interval label,,string,,,TextGrid annotation,interval,word/vowel,GitHub TextGrid,Preserved verbatim
