bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S24_WL_2,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,15.94,None,occasional background noise,A,A,,none,,,134.2,51.77,106,66.21,82.96,44.32,5.86,38.64,-5.57,82.97,57.97,67.14,51.2,Oct2020_5_b2_clean,Oct2020_5_I
ccost_S24_WL_3,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,15.1,None,occasional background noise,A,A,,none,,,124,54.51,100,67.61,83.27,48.4,5.27,34.87,-4.32,85.25,60.25,68.43,53.33,Oct2020_5_b3_clean,Oct2020_5_I
ccost_S24_WL_4,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,15.32,None,occasional background noise,A,A,,none,,,135.13,54.1,106,68.01,80.11,43.69,6.82,36.43,-4.2,89.32,64.32,70.8,55.48,Oct2020_5_b4_clean,Oct2020_5_I
ccost_S24_ST_1,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,15.62,None,occasional background noise,,A,,none,,,43.68,34.48,100,64.5,78.98,47.75,5.95,31.23,-5.39,79,54,65.43,49.81,Oct2020_5_c1_clean,Oct2020_5_I
ccost_S24_ST_2,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,12.68,None,occasional background noise,,A,,none,,,43.06,33.19,100,63.66,83.97,44.6,5.49,39.37,-6.39,84.3,59.3,65.65,52.97,Oct2020_5_c2_clean,Oct2020_5_I
ccost_S24_ST_3,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,11.81,None,occasional background noise,,A,,none,,,41.43,33.82,100,65.93,82.69,47.33,5.35,35.36,-4.69,84.8,59.8,67.03,55.22,Oct2020_5_c3_clean,Oct2020_5_I
ccost_S25_INT_1,25,Female,1962,Bangkok,Greater BKK,NA,58,-,MF,158,F,B,10.49,Clipping;,recorded in public space; birdsong and outdoor sounds in background,,,,none,,,247.7,142.15,587,64.41,87.27,43.81,6.1,43.47,-0.59,88.32,63.32,68.28,57.79,Oct2020_6_a_1,Oct2020_6_I
ccost_S25_INT_2,25,Female,1962,Bangkok,Greater BKK,NA,58,-,MF,158,F,B,11.24,Clipping;,recorded in public space; birdsong and outdoor sounds in background,,,,none,,,252.05,131.22,504,64.91,89.44,44.33,6.04,45.11,-0.08,92.42,67.42,71.67,60.42,Oct2020_6_a_2,Oct2020_6_I
ccost_S25_INT_3,25,Female,1962,Bangkok,Greater BKK,NA,58,-,MF,158,F,B,11.02,Clipping;,recorded in public space; birdsong and outdoor sounds in background,,,,none,,,264.61,129.74,555,65.34,89.49,44.19,6.39,45.3,-0.06,92.66,67.66,72.1,61.09,Oct2020_6_a_3,Oct2020_6_I
ccost_S25_INT_4,25,Female,1962,Bangkok,Greater BKK,NA,58,-,MF,158,F,B,11.09,Clipping;,recorded in public space; birdsong and outdoor sounds in background,,,,none,,,238.2,122.65,496,65.78,88.71,43.99,6.45,44.72,-0.41,93.07,68.07,72.38,61.29,Oct2020_6_a_4,Oct2020_6_I
ccost_S25_INT_5,25,Female,1962,Bangkok,Greater BKK,NA,58,-,MF,158,F,B,10.17,Clipping;,recorded in public space; birdsong and outdoor sounds in background,,,,none,,,262.58,115.81,490,64.49,86.61,43.62,6.14,42.99,-0.06,92.52,67.52,71.32,61.16,Oct2020_6_a_5,Oct2020_6_I
ccost_S25_INT_6,25,Female,1962,Bangkok,Greater BKK,NA,58,-,MF,158,F,B,10.86,Clipping;,recorded in public space; birdsong and outdoor sounds in background,,,,none,,,242.28,83.63,375,63.6,86.47,42.17,6.68,44.3,-0.07,92.78,67.78,72.38,61.52,Oct2020_6_a_6,Oct2020_6_I
ccost_S25_WL_1,25,Female,1962,Bangkok,Greater BKK,NA,58,-,MF,158,F,B,13.58,Clipping;,recorded in public space; birdsong and outdoor sounds in background,A,A,,none,,,148.19,64.44,100,64.4,82.41,43.65,5.03,38.76,-0.9,90.71,65.71,70.17,56.6,Oct2020_6_b1_clean,Oct2020_6_I
ccost_S25_WL_2,25,Female,1962,Bangkok,Greater BKK,NA,58,-,MF,158,F,B,15.51,Near-Clip;,recorded in public space; birdsong and outdoor sounds in background,A,A,,none,,,161.34,63.94,106,65.74,84.56,43.54,4.76,41.03,-2.37,90.43,65.43,69.95,54.44,Oct2020_6_b2_clean,Oct2020_6_I
ccost_S25_WL_3,25,Female,1962,Bangkok,Greater BKK,NA,58,-,MF,158,F,B,13.96,Clipping;,recorded in public space; birdsong and outdoor sounds in background,A,A,,none,,,143.52,63.64,99,65.04,87.84,49.3,4.7,38.53,-0.07,88.9,63.9,68.27,54.31,Oct2020_6_b3_clean,Oct2020_6_I
ccost_S25_WL_4,25,Female,1962,Bangkok,Greater BKK,NA,58,-,MF,158,F,B,14.95,None,recorded in public space; birdsong and outdoor sounds in background,A,A,,none,,,142.19,64.3,106,64.13,80.2,41.31,4.61,38.89,-4.07,85.21,60.21,65.36,50.41,Oct2020_6_b4_clean,Oct2020_6_I
ccost_S25_ST_1,25,Female,1962,Bangkok,Greater BKK,NA,58,-,MF,158,F,B,11.29,None,recorded in public space; birdsong and outdoor sounds in background,,A,,none,,,52.2,34.53,96,63.35,80.91,44.12,5.69,36.79,-4.58,92.89,67.89,72.03,60.74,Oct2020_6_c1_clean,Oct2020_6_I
