source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
ccost_2026,CCOST_metadata.csv,bundle,recording_id,recording,"Corpus recording/file identifier following ccost_S[n]_[task]_[filenumber]",,string,"INT=interview; WL=word list; ST=sentence task",none observed,native corpus identifier,recording-level,recording/file,Zenodo record 17366698 README,Preserve original bundle verbatim and namespace as ccost_2026::bundle in harmonized layer
ccost_2026,CCOST_metadata.csv,Speaker,source_speaker_id,speaker,Numeric speaker identifier,,integer,1-49 expected,none observed,corpus metadata,speaker-level,participant,Zenodo CCOST_metadata.csv,Namespace as ccost_2026::S{Speaker}
ccost_2026,CCOST_metadata.csv,Sex,sex,demographic,Speaker sex label,,categorical,"Female; Male",none observed,corpus metadata,speaker-level,participant,Zenodo CCOST_metadata.csv,Retain original label
ccost_2026,CCOST_metadata.csv,YOB,year_of_birth,demographic,Year of birth,year,integer,,NA if unavailable,corpus metadata,speaker-level,participant,Zenodo CCOST_metadata.csv,
ccost_2026,CCOST_metadata.csv,BirthPlace,birth_place,demographic,Speaker birthplace,,string,,NA if unavailable,corpus metadata,speaker-level,participant,Zenodo CCOST_metadata.csv,Do not geocode without explicit mapping
ccost_2026,CCOST_metadata.csv,Region,region,language_demographic,Region associated with birthplace/background,,categorical,"e.g. Greater BKK; Northeastern; Northern; Southern; Central",NA if unavailable,corpus metadata,speaker-level,participant,Zenodo CCOST_metadata.csv,Retain author categories
ccost_2026,CCOST_metadata.csv,Year_to_BKK,year_moved_to_bangkok,demographic,Year speaker moved to Bangkok if applicable,year,integer,,NA=not applicable/unavailable,corpus metadata,speaker-level,participant,Zenodo README metadata abbreviations,
ccost_2026,CCOST_metadata.csv,Age,age_years,demographic,Speaker age at corpus metadata reference point,years,numeric,,NA if unavailable,corpus metadata,speaker-level,participant,Zenodo CCOST_metadata.csv,
ccost_2026,CCOST_metadata.csv,Education,education,demographic,Education value supplied by corpus,,string,,"- or NA-like values retained verbatim",corpus metadata,speaker-level,participant,Zenodo CCOST_metadata.csv,Meaning should follow CCOST manual/paper; do not infer level labels
ccost_2026,CCOST_metadata.csv,Age_Group,age_group,demographic,Author-defined age/sex group code,,categorical,"observed codes include YF; YM; MF; MM; OF",NA if unavailable,corpus coding,speaker-level,participant,Zenodo CCOST_metadata.csv,Do not expand abbreviations beyond documentation
ccost_2026,CCOST_metadata.csv,Height,height_cm,demographic,Speaker height,cm,numeric,,NA if unavailable,corpus metadata,speaker-level,participant,Zenodo CCOST_metadata.csv,
ccost_2026,CCOST_metadata.csv,Interviewer_gender,interviewer_gender,experimental_condition,Gender label for interviewer,,categorical,"F; M",NA if unavailable,corpus metadata,recording/session-level,interviewer,Zenodo CCOST_metadata.csv,Retain source coding
ccost_2026,CCOST_metadata.csv,Quality_grade,audio_quality_grade,equipment_recording,Author/source audio-quality grade,,categorical,"A; B; C observed",NA if unavailable,quality assessment pipeline,whole recording,audio recording,Zenodo CCOST_metadata.csv,Quality grade is metadata not a phonetic measurement
ccost_2026,CCOST_metadata.csv,SNR.dB,snr_db,equipment_recording,Signal-to-noise ratio,dB,numeric,,"/ or blank may indicate unavailable/non-computable",audio quality assessment,whole recording,audio signal,Zenodo README + metadata,Keep raw strings when numeric conversion fails
ccost_2026,CCOST_metadata.csv,Quality_issues,audio_quality_issues,equipment_recording,Semicolon-delimited quality flags,,string,"e.g. Clipping; Near-Clip; Low-SNR; Low-Range; Weak-Signal; No-Noise-Detected",blank=none/not recorded,quality assessment pipeline,whole recording,audio signal,Zenodo CCOST_metadata.csv,Preserve compound original string; optionally explode to linked flags later
ccost_2026,CCOST_metadata.csv,Quality_comment,audio_quality_comment,equipment_recording,Free-text comment on recording quality,,string,,blank=none,manual/curatorial comment,whole recording,audio signal,Zenodo CCOST_metadata.csv,Do not normalize away wording
ccost_2026,CCOST_metadata.csv,WL_order,wordlist_order,experimental_condition,Word-list presentation/order code,,categorical,"A; B observed",blank=not word-list/not recorded,task metadata,recording-level,stimulus order,Zenodo CCOST_metadata.csv,
ccost_2026,CCOST_metadata.csv,Pace,pace_condition,experimental_condition,Requested/observed task pace code,,categorical,"A; B observed",blank=not applicable/not recorded,task metadata,recording-level,speech rate/task,Zenodo CCOST_metadata.csv,Keep separate from measured speech rate
ccost_2026,CCOST_metadata.csv,Pace_comment,pace_comment,experimental_condition,Free-text pace/reading-rate comment,,string,,blank=none,manual/curatorial comment,recording-level,speech rate/task,Zenodo CCOST_metadata.csv,
ccost_2026,CCOST_metadata.csv,Misread,misread_frequency,categorical_production_judgment,Author-coded amount/frequency of misread material,,categorical,"none; few; some; many observed",blank=not recorded,human annotation/curation,recording-level,production errors,Zenodo CCOST_metadata.csv,Do not convert to counts unless source defines mapping
ccost_2026,CCOST_metadata.csv,Annotation_comment,annotation_comment,annotator_reliability,Free-text note about annotation/correction decisions,,string,,blank=none,human corrector/curator note,recording-level,annotation layer,Zenodo CCOST_metadata.csv,Important for interpreting corrected tiers and reading errors
ccost_2026,CCOST_metadata.csv,Other_comment,other_comment,provenance,Other free-text corpus note,,string,,blank=none,corpus curation,recording-level,recording/task,Zenodo CCOST_metadata.csv,
ccost_2026,CCOST_metadata.csv,TotalDur.s,total_duration_s,temporal,Total recording duration,s,numeric,,NA/blank if unavailable,recording metadata/measurement,whole recording,audio recording,Zenodo CCOST_metadata.csv,Raw value retained
ccost_2026,CCOST_metadata.csv,LabeledDur.s,labeled_duration_s,temporal,Duration represented by labeled/annotated material,s,numeric,,NA/blank if unavailable,annotation-derived summary,whole recording,annotated speech,Zenodo CCOST_metadata.csv,Do not infer unlabeled region semantics without manual
ccost_2026,CCOST_metadata.csv,NumIntervals,num_intervals,annotation_summary,Number of annotation intervals,count,integer,,NA/blank if unavailable,annotation-derived summary,whole recording,TextGrid intervals,Zenodo CCOST_metadata.csv,Interval tier composition to be resolved from TextGrids/manual
ccost_2026,CCOST_metadata.csv,MeanIntensity.dB,mean_intensity_db,acoustic_measurement,Mean intensity,dB,numeric,,NA/blank if unavailable,Praat audio-quality script,whole recording,audio intensity,Zenodo metadata + check_audio_quality_praat,Automated derived measure retained because it belongs to a manually annotated primary recording; not itself evidence of manual annotation
ccost_2026,CCOST_metadata.csv,MaxIntensity.dB,max_intensity_db,acoustic_measurement,Maximum intensity,dB,numeric,,NA/blank if unavailable,Praat audio-quality script,whole recording,audio intensity,Zenodo metadata + check_audio_quality_praat,
ccost_2026,CCOST_metadata.csv,MinIntensity.dB,min_intensity_db,acoustic_measurement,Minimum intensity,dB,numeric,,NA/blank if unavailable,Praat audio-quality script,whole recording,audio intensity,Zenodo metadata + check_audio_quality_praat,
ccost_2026,CCOST_metadata.csv,StdDev.dB,intensity_sd_db,acoustic_measurement,Standard deviation of intensity,dB,numeric,,NA/blank if unavailable,Praat audio-quality script,whole recording,audio intensity,Zenodo metadata + check_audio_quality_praat,
ccost_2026,CCOST_metadata.csv,DynamicRange.dB,dynamic_range_db,acoustic_measurement,Dynamic range,dB,numeric,,NA/blank if unavailable,Praat audio-quality script,whole recording,audio amplitude/intensity,Zenodo metadata + check_audio_quality_praat,
ccost_2026,CCOST_metadata.csv,PeakLevel.dBFS,peak_level_dbfs,acoustic_measurement,Peak digital level,dBFS,numeric,,NA/blank if unavailable,audio quality assessment,whole recording,digital audio amplitude,Zenodo metadata + check_audio_quality_praat,
ccost_2026,CCOST_metadata.csv,PeakIntensity.dB,peak_intensity_db,acoustic_measurement,Peak intensity,dB,numeric,,NA/blank if unavailable,Praat audio-quality script,whole recording,audio intensity,Zenodo metadata + check_audio_quality_praat,
ccost_2026,CCOST_metadata.csv,Threshold.dB,intensity_threshold_db,acoustic_measurement,Threshold used in source audio-quality/speech-noise calculation,dB,numeric,,NA/blank if unavailable,Praat audio-quality script,whole recording,audio intensity threshold,Zenodo metadata + check_audio_quality_praat,Interpret algorithmically only after script/manual inspection
ccost_2026,CCOST_metadata.csv,AvgSpeech.dB,average_speech_db,acoustic_measurement,Average speech level,dB,numeric,,NA/blank if unavailable,Praat audio-quality script,whole recording,speech intensity,Zenodo metadata + check_audio_quality_praat,
ccost_2026,CCOST_metadata.csv,AvgNoise.dB,average_noise_db,acoustic_measurement,Average noise level,dB,numeric,,NA/blank if unavailable,Praat audio-quality script,whole recording,noise intensity,Zenodo metadata + check_audio_quality_praat,
ccost_2026,CCOST_metadata.csv,old_filename,legacy_filename,provenance,Original/legacy recording filename,,string,,blank=none,corpus lineage mapping,recording-level,source file,Zenodo CCOST_metadata.csv,Retain for lineage/deduplication
ccost_2026,CCOST_metadata.csv,old_filecode,legacy_filecode,provenance,Original/legacy recording code,,string,,blank=none,corpus lineage mapping,recording-level,source file/session,Zenodo CCOST_metadata.csv,Retain for lineage/deduplication
