A,B,C,D
น้อง,น้อง,นา,ก่อน
ป้าบ,ป้าบ,มาด,ล่าง
หวัด,หวัด,แผน,ปาน
ว่า,ว่า,นันท์,ดำ
เลา,เลา,ท่า,ลัก
ต๋ง,ต๋ง,นิ้ง,ปัด
ทาน,ทาน,ก้าบ,ลิ้ม
ท่าม,ท่าม,หวาย,เหล้า
นัด,นัด,บาส,ปา
ป้า,ป้า,ก่อน,พุ่ง
หลัง,หลัง,ล่าง,มัด
แบงค์,แบงค์,ปาน,แก็ส
ด่าน,ด่าน,ดำ,ว่าน
ฐาน,ฐาน,ลัก,เหล่า
บาส,บาส,ปัด,หมู่
ก่อน,ก่อน,ลิ้ม,หมาด
ล่าง,ล่าง,เหล้า,ค้า
ปาน,ปาน,ปา,แว้ง
ดำ,ดำ,พุ่ง,ผัน
น่าน,ลัก,มัด,ดั้น
ขัน,ปัด,ค้า,ตื่น
ลัง,ลิ้ม,แว้ง,ล้าง
ถัง,เหล้า,ผัน,ม้าม
หน่อ,ปา,ดั้น,ปัน
บัส,พุ่ง,ตื่น,เหลา
หวี่,มัด,ล้าง,ลั่น
ตู้,ค้า,ม้าม,นั่ง
คาร์ป,แว้ง,ปัน,วุ้น
ถ่าน,ผัน,เหลา,ขา
ตี๋,ดั้น,ลั่น,บัง
ผา,ตื่น,นั่ง,นาน
ผ้า,ล้าง,ปาด,หลัก
แก่น,ม้าม,ตี๋,มุ้ง
บ้า,ตาล,ผา,น้า
เมรุ,ตัน,ผ้า,ป้าน
กา,กุ๊ย,ม้า,มัน
ม่าน,ถาด,บ้าน,ลาง
แบ๊ว,พาน,หนอก,กาก
ป๊า,ขุ่น,วุ้น,ก้าน
ป๋า,ไหม้,ขา,หมัน
แท่น,บ๋อย,บัง,ท้อง
เขื่อน,ต่อ,นาน,หนอง
วัน,ดุ่ม,หลัก,หวาน
บุ๋ม,หนุ่ม,มุ้ง,การ
ต่าง,วา,น้า,วัด
หมา,น่าน,ป้าน,วา
ดุ๊ก,ขัน,มัน,น่าน
ดัตช์,ลัง,ลาง,ขัน
ตา,ถัง,กาก,หน้า
หน้า,หน่อ,ก้าน,พัด
พัด,บัส,หมัน,บ่าง
บ่าง,หวี่,ท้อง,ป่า
ป่า,ตู้,หนอง,ถี่
ถี่,คาร์ป,หวาน,ข่า
ข่า,ถ่าน,การ,แก็งค์
แก็งค์,ปัน,วัด,หนัก
แก็ส,เหลา,หนา,ลัง
ว่าน,ลั่น,บัตร,ขาด
เหล่า,นั่ง,มั่น,คา
หมู่,ปาด,ตาก,ดัด
หมาด,ตี๋,หวั่น,กัด
หนัก,ผา,หมาง,ว้าก
ป่าน,ผ้า,หวาด,พา
ตุ๊ด,ม้า,พ้อง,น้อง
ม้า,บ้าน,เบา,ป้าบ
บ้าน,หนอก,ขาด,ตุ๊ด
หนอก,วุ้น,คา,บั้ง
วุ้น,ขา,ดัด,บาด
ขา,บัง,กัด,ท้า
บัง,นาน,ว้าก,ลาก
นาน,หลัก,พา,วาด
หลัก,มุ้ง,น้อง,นา
มุ้ง,น้า,ป้าบ,มาด
น้า,ป้าน,ตุ๊ด,แผน
ป้าน,มัน,บั้ง,นันท์
มัน,ลาง,บาด,ท่า
ลาง,นา,ท้า,นิ้ง
นา,มาด,ลาก,ก้าบ
มาด,แผน,วาด,หวาย
แผน,นันท์,คาด,บาส
นันท์,ท่า,ตาล,คาด
ท่า,นิ้ง,ตัน,ตาล
นิ้ง,ก้าบ,กุ๊ย,ตัน
ก้าบ,หวาย,ถาด,กุ๊ย
หวาย,กาก,พาน,ถาด
กาก,แหลม,ขุ่น,พาน
แหลม,แผ่น,ไหม้,ขุ่น
แผ่น,บ่า,บ๋อย,ไหม้
บ่า,ด้าน,แหลม,บ๋อย
ด้าน,ข้าง,แผ่น,แหลม
ข้าง,ทาส,บ่า,แผ่น
ทาส,เล้า,ด้าน,บ่า
เล้า,ขั้น,ข้าง,ด้าน
ขั้น,ก้าน,ทาส,ข้าง
ก้าน,หมัน,เล้า,ทาส
หมัน,ท้อง,ขั้น,เล้า
ท้อง,หนอง,ต่อ,ขั้น
หนอง,หวาน,ดุ่ม,ต่อ
หวาน,การ,หนุ่ม,ถัง
การ,วัด,วา,หน่อ
วัด,หนา,น่าน,บัส
หนา,บัตร,ขัน,หวี่
บัตร,มั่น,ลัง,ตู้
หมั้น,ตาก,ถัง,คาร์ป
ตาก,หวั่น,หน่อ,ถ่าน
หวั่น,หมาง,บัส,หมัก
หมาง,หวาด,หวี่,แล่บ
หวาด,พ้อง,ตู้,หลั่ง
พ้อง,เบา,คาร์ป,ผัด
เบา,ขาด,ถ่าน,เดา
ขาด,คา,หมัก,โหม่ง
คา,ดัด,แล่บ,หนา
ดัด,กัด,หลั่ง,บัตร
กัด,ว้าก,ผัด,มั่น
ว้าก,พา,เดา,ตาก
พา,ทัน,โหม่ง,หวั่น
ทัน,ก่อ,หวัง,หมาง
ก่อ,ผ่า,คัน,หวาด
ผ่า,พัง,หมั่น,พ้อง
พัง,มา,ค่า,เบา
มา,พ้อ,พาด,ดุ่ม
พ้อ,บาง,ทิ้ง,หนุ่ม
บาง,คาน,ถ่อม,หวัง
คาน,ตัด,ปั้น,คัน
ตัด,บั่น,ถัด,หมั่น
บั่น,แก่น,ด้าย,ค่า
บั้ง,บ้า,ค้าน,พาด
บาด,เมรุ,หลาก,ทิ้ง
ท้า,กา,ทา,ถ่อม
ลาก,ม่าน,ผ่าน,ปั้น
วาด,แบ๊ว,ดาด,ถัด
คาด,ป๊า,ดอง,ด้าย
หมัก,ป๋า,ทัด,ค้าน
แลบ,แท่น,ตั้ง,หลาก
หลั่ง,เขื่อน,นาบ,ทา
ผัด,วัน,ตุ๊ย,ผ่าน
เดา,บุ๋ม,วาง,ดาด
โหม่ง,ต่าง,ไว้,ดอง
หวัง,หมา,ขาน,ทัด
คัน,ดุ๊ก,ต้าน,ตั้ง
หมั่น,ดัตช์,หวัด,นาบ
ค่า,ตา,ว่า,ตุ๊ย
พาด,หน้า,เลา,วาง
ทิ้ง,พัด,ต๋ง,ไว้
ถ่อม,บ่าง,ทาน,ขาน
ปั้น,ป่า,ท่าม,ปาด
ถัด,ถี่,นัด,ตี๋
ด้าย,ข่า,ป้า,ผา
ค้าน,แก็งค์,หลัง,ผ้า
หลาก,แก็ส,แบงค์,ม้า
ทา,ว่าน,ด่าน,บ้าน
ผ่าน,เหล่า,ฐาน,หนอก
ดาด,หมู่,ทัน,ต้าน
ดอง,หมาด,ก่อ,หวัด
ทัด,หนัก,ผ่า,ว่า
ตั้ง,ป่าน,พัง,เลา
นาบ,ตุ๊ด,มา,ต๋ง
ตุ๊ย,บั้ง,พ้อ,ทาน
วาง,บาด,บาง,ท่าม
ไว้,ท้า,คาน,นัด
ขาน,ลาก,ตัด,ป้า
ต้าน,วาด,บั่น,หลัง
กู้,คาด,แก่น,แบงค์
แผด,หมัก,บ้า,ด่าน
ถู,แล่บ,เมรุ,ฐาน
ขัด,หลั่ง,กา,ทัน
วิ่ง,ผัด,ม่าน,ก่อ
หนำ,เดา,แบ๊ว,ผ่า
ด่า,โหม่ง,ป๊า,พัง
คัด,หวัง,ป๋า,มา
กั้น,คัน,แท่น,พ้อ
กัน,หมั่น,เขื่อน,บาง
ปัน,ค่า,วัน,คาน
เหลา,พาด,บุ๋ม,ตัด
ลั่น,ทิ้ง,ต่าง,บั่น
นั่ง,ถ่อม,หมา,แก่น
ปาด,ปั้น,ดุ๊ก,บ้า
หว่าน,ถัด,ดัตช์,เมรุ
ปั่น,ด้าย,ตา,กา
คั้น,ค้าน,หน้า,ม่าน
ลัก,หลาก,พัด,แบ๊ว
ปัด,ทา,บ่าง,ป๊า
ลิ้ม,ผ่าน,ป่า,ป๋า
เหล้า,ดาด,ถี่,แท่น
ปา,ดอง,ข่า,เขื่อน
พุ่ง,ทัด,แก็งค์,วัน
มัด,ตั้ง,แก็ส,บุ๋ม
ค้า,นาบ,ว่าน,ต่าง
แว้ง,ตุ๊ย,เหล่า,หมา
ผัน,วาง,หมู่,ดุ๊ก
ดั้น,ไว้,หมาด,ดัตช์
ตื่น,ขาน,หนัก,ตา
ล้าง,ต้าน,ป่าน,ป่าน
ม้าม,กู้,กู้,กู้
ตาล,แผด,แผด,แผด
ตัน,ถู,ถู,ถู
กุ๊ย,ขัด,ขัด,ขัด
ถาด,วิ่ง,วิ่ง,วิ่ง
พาน,หนำ,หนำ,หนำ
ขุ่น,ด่า,ด่า,ด่า
ไหม้,คัด,คัด,คัด
บ๋อย,กั้น,กั้น,กั้น
ต่อ,กัน,กัน,กัน
ดุ่ม,หว่าน,หว่าน,หว่าน
หนุ่ม,ปั่น,ปั่น,ปั่น
วา,คั้น,คั้น,คั้น
