source_id,source_file,row_index,A,B,C,D
ccost_zenodo_17366698,wordlist.csv,1,น้อง,น้อง,นา,ก่อน
ccost_zenodo_17366698,wordlist.csv,2,ป้าบ,ป้าบ,มาด,ล่าง
ccost_zenodo_17366698,wordlist.csv,3,หวัด,หวัด,แผน,ปาน
ccost_zenodo_17366698,wordlist.csv,4,ว่า,ว่า,นันท์,ดำ
ccost_zenodo_17366698,wordlist.csv,5,เลา,เลา,ท่า,ลัก
ccost_zenodo_17366698,wordlist.csv,6,ต๋ง,ต๋ง,นิ้ง,ปัด
ccost_zenodo_17366698,wordlist.csv,7,ทาน,ทาน,ก้าบ,ลิ้ม
ccost_zenodo_17366698,wordlist.csv,8,ท่าม,ท่าม,หวาย,เหล้า
ccost_zenodo_17366698,wordlist.csv,9,นัด,นัด,บาส,ปา
ccost_zenodo_17366698,wordlist.csv,10,ป้า,ป้า,ก่อน,พุ่ง
ccost_zenodo_17366698,wordlist.csv,11,หลัง,หลัง,ล่าง,มัด
ccost_zenodo_17366698,wordlist.csv,12,แบงค์,แบงค์,ปาน,แก็ส
ccost_zenodo_17366698,wordlist.csv,13,ด่าน,ด่าน,ดำ,ว่าน
ccost_zenodo_17366698,wordlist.csv,14,ฐาน,ฐาน,ลัก,เหล่า
ccost_zenodo_17366698,wordlist.csv,15,บาส,บาส,ปัด,หมู่
ccost_zenodo_17366698,wordlist.csv,16,ก่อน,ก่อน,ลิ้ม,หมาด
ccost_zenodo_17366698,wordlist.csv,17,ล่าง,ล่าง,เหล้า,ค้า
ccost_zenodo_17366698,wordlist.csv,18,ปาน,ปาน,ปา,แว้ง
ccost_zenodo_17366698,wordlist.csv,19,ดำ,ดำ,พุ่ง,ผัน
ccost_zenodo_17366698,wordlist.csv,20,น่าน,ลัก,มัด,ดั้น
ccost_zenodo_17366698,wordlist.csv,21,ขัน,ปัด,ค้า,ตื่น
ccost_zenodo_17366698,wordlist.csv,22,ลัง,ลิ้ม,แว้ง,ล้าง
ccost_zenodo_17366698,wordlist.csv,23,ถัง,เหล้า,ผัน,ม้าม
ccost_zenodo_17366698,wordlist.csv,24,หน่อ,ปา,ดั้น,ปัน
ccost_zenodo_17366698,wordlist.csv,25,บัส,พุ่ง,ตื่น,เหลา
ccost_zenodo_17366698,wordlist.csv,26,หวี่,มัด,ล้าง,ลั่น
ccost_zenodo_17366698,wordlist.csv,27,ตู้,ค้า,ม้าม,นั่ง
ccost_zenodo_17366698,wordlist.csv,28,คาร์ป,แว้ง,ปัน,วุ้น
ccost_zenodo_17366698,wordlist.csv,29,ถ่าน,ผัน,เหลา,ขา
ccost_zenodo_17366698,wordlist.csv,30,ตี๋,ดั้น,ลั่น,บัง
ccost_zenodo_17366698,wordlist.csv,31,ผา,ตื่น,นั่ง,นาน
ccost_zenodo_17366698,wordlist.csv,32,ผ้า,ล้าง,ปาด,หลัก
ccost_zenodo_17366698,wordlist.csv,33,แก่น,ม้าม,ตี๋,มุ้ง
ccost_zenodo_17366698,wordlist.csv,34,บ้า,ตาล,ผา,น้า
ccost_zenodo_17366698,wordlist.csv,35,เมรุ,ตัน,ผ้า,ป้าน
ccost_zenodo_17366698,wordlist.csv,36,กา,กุ๊ย,ม้า,มัน
ccost_zenodo_17366698,wordlist.csv,37,ม่าน,ถาด,บ้าน,ลาง
ccost_zenodo_17366698,wordlist.csv,38,แบ๊ว,พาน,หนอก,กาก
ccost_zenodo_17366698,wordlist.csv,39,ป๊า,ขุ่น,วุ้น,ก้าน
ccost_zenodo_17366698,wordlist.csv,40,ป๋า,ไหม้,ขา,หมัน
ccost_zenodo_17366698,wordlist.csv,41,แท่น,บ๋อย,บัง,ท้อง
ccost_zenodo_17366698,wordlist.csv,42,เขื่อน,ต่อ,นาน,หนอง
ccost_zenodo_17366698,wordlist.csv,43,วัน,ดุ่ม,หลัก,หวาน
ccost_zenodo_17366698,wordlist.csv,44,บุ๋ม,หนุ่ม,มุ้ง,การ
