speaker,interval,vowel,ipu
it01,2,o,ipu_1
it01,4,O,ipu_2
it01,6,a,ipu_3
it01,8,e,ipu_4
it01,10,o,ipu_5
it01,12,u,ipu_6
it01,14,i,ipu_7
it01,16,e,ipu_8
it01,18,o,ipu_9
it01,20,o,ipu_10
it01,22,u,ipu_11
it01,24,i,ipu_12
it01,26,u,ipu_13
it01,28,o,ipu_14
it01,30,O,ipu_16
it01,32,e,ipu_17
it01,34,u,ipu_18
it01,36,o,ipu_19
it01,38,a,ipu_20
it01,40,a,ipu_21
it01,42,O,ipu_22
it01,44,i,ipu_23
it01,46,u,ipu_24
it01,48,e,ipu_25
it01,50,a,ipu_26
it01,52,i,ipu_27
it01,54,i,ipu_28
it01,56,i,ipu_29
it01,58,e,ipu_30
it01,60,a,ipu_31
it01,62,u,ipu_32
it01,64,i,ipu_33
it01,66,e,ipu_34
it01,68,u,ipu_35
it01,70,o,ipu_36
it01,72,u,ipu_37
it01,74,a,ipu_38
it01,76,e,ipu_39
it01,78,e,ipu_40
it01,80,a,ipu_41
it01,82,u,ipu_42
it01,84,o,ipu_43
it01,86,i,ipu_44
it01,88,o,ipu_45
it01,90,a,ipu_46
it01,92,a,ipu_47
it01,94,i,ipu_48
it01,96,u,ipu_49
it01,98,e,ipu_50
it01,100,e,ipu_51
it01,102,u,ipu_52
it01,104,u,ipu_54
it01,106,u,ipu_55
it01,108,o,ipu_56
it01,110,o,ipu_57
it01,112,u,ipu_58
it01,114,o,ipu_59
it01,116,e,ipu_60
it01,118,a,ipu_61
it01,120,o,ipu_62
it01,122,e,ipu_63
it01,124,o,ipu_64
it01,126,i,ipu_65
it01,128,u,ipu_66
it01,130,i,ipu_67
it01,132,a,ipu_68
it01,134,O,ipu_69
it01,136,e,ipu_70
it01,138,a,ipu_71
it01,140,i,ipu_72
it01,142,u,ipu_73
it01,144,e,ipu_74
it01,146,i,ipu_75
it01,148,o,ipu_76
it01,150,a,ipu_77
it01,152,e,ipu_78
it01,154,a,ipu_79
it01,156,o,ipu_80
it01,158,e,ipu_81
it01,160,e,ipu_82
it01,162,i,ipu_83
it01,164,i,ipu_84
it01,166,a,ipu_85
it01,168,a,ipu_86
it01,170,a,ipu_87
it01,172,o,ipu_88
it01,174,e,ipu_89
it01,176,e,ipu_90
it01,178,u,ipu_91
it01,180,O,ipu_92
it01,182,a,ipu_93
it01,184,O,ipu_94
it01,186,u,ipu_95
it01,188,o,ipu_96
it01,190,a,ipu_97
it01,192,a,ipu_98
it01,194,u,ipu_99
it01,196,i,ipu_100
it01,198,i,ipu_101
it01,200,i,ipu_102
it01,202,e,ipu_103
it01,204,i,ipu_104
it01,206,e,ipu_105
it01,208,u,ipu_106
it01,210,u,ipu_107
it01,212,i,ipu_108
it01,214,u,ipu_109
it01,216,i,ipu_110
it01,218,a,ipu_111
it01,220,i,ipu_112
it01,222,i,ipu_113
it01,224,a,ipu_114
it01,226,i,ipu_115
it01,228,o,ipu_116
it01,230,o,ipu_117
it01,232,u,ipu_118
it01,234,a,ipu_119
it01,236,e,ipu_120
it01,238,u,ipu_121
it01,240,o,ipu_122
it01,242,e,ipu_123
it01,244,i,ipu_124
it01,246,i,ipu_125
it01,248,o,ipu_126
it01,250,o,ipu_127
it01,252,a,ipu_128
it01,254,u,ipu_129
it01,256,u,ipu_130
it01,258,u,ipu_131
it01,260,e,ipu_132
it01,262,o,ipu_133
it01,264,a,ipu_134
it01,266,i,ipu_135
it01,268,a,ipu_136
it01,270,u,ipu_137
it01,272,e,ipu_138
it01,274,u,ipu_139
it01,276,o,ipu_140
it01,278,i,ipu_141
it01,280,O,ipu_142
it01,282,a,ipu_143
it01,284,i,ipu_144
it01,286,u,ipu_145
it01,288,i,ipu_146
it01,290,e,ipu_147
it01,292,e,ipu_148
it01,294,u,ipu_149
it01,296,e,ipu_150
it01,298,u,ipu_151
it01,300,o,ipu_152
it01,302,i,ipu_153
it01,304,e,ipu_154
it01,306,e,ipu_155
it01,308,a,ipu_156
it01,310,o,ipu_157
it01,312,u,ipu_158
it01,314,u,ipu_159
it01,316,e,ipu_160
it01,318,O,ipu_161
it01,320,i,ipu_162
it01,322,a,ipu_163
it01,324,i,ipu_164
it01,326,i,ipu_165
it01,328,i,ipu_166
it01,330,a,ipu_167
it01,332,a,ipu_168
it01,334,a,ipu_169
it01,336,e,ipu_170
it01,338,i,ipu_171
it01,340,o,ipu_172
it02,2,O,ipu_1
it02,4,o,ipu_2
it02,6,a,ipu_3
it02,8,a,ipu_4
it02,10,u,ipu_5
it02,12,a,ipu_6
it02,14,o,ipu_7
it02,16,u,ipu_8
it02,18,o,ipu_9
it02,20,O,ipu_10
it02,22,a,ipu_11
it02,24,O,ipu_12
it02,26,a,ipu_13
it02,28,a,ipu_14
it02,30,o,ipu_15
it02,32,u,ipu_16
it02,34,i,ipu_17
it02,36,u,ipu_18
it02,38,u,ipu_19
it02,40,u,ipu_20
it02,42,u,ipu_21
it02,44,O,ipu_22
it02,46,i,ipu_23
it02,48,a,ipu_24
it02,50,O,ipu_25
it02,52,o,ipu_26
it02,54,o,ipu_27
it02,56,o,ipu_28
it02,58,o,ipu_29
