source_id,source_speaker_id,namespaced_speaker_id,gender,l1,wav_files,manual_annotation_utterances,manual_subset_status,provenance
l2_arctic,ABA,l2_arctic::ABA,M,Arabic,1129,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,SKA,l2_arctic::SKA,F,Arabic,974,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,YBAA,l2_arctic::YBAA,M,Arabic,1130,149,human_examined,official_L2_ARCTIC_documentation
l2_arctic,ZHAA,l2_arctic::ZHAA,F,Arabic,1132,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,BWC,l2_arctic::BWC,M,Chinese,1130,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,LXC,l2_arctic::LXC,F,Chinese,1131,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,NCC,l2_arctic::NCC,F,Chinese,1131,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,TXHC,l2_arctic::TXHC,M,Chinese,1132,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,ASI,l2_arctic::ASI,M,Hindi,1131,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,RRBI,l2_arctic::RRBI,M,Hindi,1130,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,SVBI,l2_arctic::SVBI,F,Hindi,1132,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,TNI,l2_arctic::TNI,F,Hindi,1131,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,HJK,l2_arctic::HJK,F,Korean,1131,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,HKK,l2_arctic::HKK,M,Korean,1131,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,YDCK,l2_arctic::YDCK,F,Korean,1131,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,YKWK,l2_arctic::YKWK,M,Korean,1131,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,EBVS,l2_arctic::EBVS,M,Spanish,1007,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,ERMS,l2_arctic::ERMS,M,Spanish,1132,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,MBMPS,l2_arctic::MBMPS,F,Spanish,1132,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,NJS,l2_arctic::NJS,F,Spanish,1131,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,HQTV,l2_arctic::HQTV,M,Vietnamese,1132,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,PNV,l2_arctic::PNV,F,Vietnamese,1132,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,THV,l2_arctic::THV,F,Vietnamese,1132,150,human_examined,official_L2_ARCTIC_documentation
l2_arctic,TLV,l2_arctic::TLV,M,Vietnamese,1132,150,human_examined,official_L2_ARCTIC_documentation
