source_id,file/table,original_variable,standardized_variable,variable_domain,description/meaning,units,datatype,coding/levels,missing-value conventions,measurement/annotation method,time reference/window,anatomical/acoustic target,provenance,notes
l2_arctic_v5_0,l2_arctic_v5_0_speaker_summary.csv,source_speaker_id,source_speaker_id,participant,Corpus speaker code,,string,24 published speaker codes,none stated,source metadata,,,PSI Lab L2-ARCTIC v5.0 documentation,Preserved verbatim and namespaced only in harmonized layer
l2_arctic_v5_0,l2_arctic_v5_0_speaker_summary.csv,gender,gender_original,demographic,Published speaker gender,,categorical,M/F,none stated,source metadata,,,PSI Lab L2-ARCTIC v5.0 documentation,No reinterpretation beyond preserving original code
l2_arctic_v5_0,l2_arctic_v5_0_speaker_summary.csv,native_language,l1_original,language,Published native-language group,,categorical,"Arabic; Chinese; Hindi; Korean; Spanish; Vietnamese",none stated,source metadata,,,PSI Lab L2-ARCTIC v5.0 documentation,No glottocode inferred
l2_arctic_v5_0,l2_arctic_v5_0_speaker_summary.csv,wav_files,recording_count,recording,Number of WAV utterance recordings for speaker,files,integer,nonnegative integer,none stated,source metadata,,,PSI Lab L2-ARCTIC v5.0 documentation,Primary L2-English productions
l2_arctic_v5_0,l2_arctic_v5_0_speaker_summary.csv,manual_annotation_files,manual_annotation_count,annotation,Number of manually annotated utterances for speaker,utterances,integer,nonnegative integer,none stated,manual review/correction of annotation subset,,word and phone boundaries plus error tags,PSI Lab L2-ARCTIC v5.0 documentation,Forced-alignment-only tiers are not admitted to manual core
l2_arctic_v5_0,l2_arctic_v5_0_corpus_counts.csv,total_duration_hours,total_duration_hours,temporal,Total read-speech corpus duration,hours,float,positive numeric,none stated,recording metadata,whole corpus,,PSI Lab L2-ARCTIC documentation,
l2_arctic_v5_0,l2_arctic_v5_0_corpus_counts.csv,manually_examined_utterances,manual_annotation_utterance_count,annotation,Utterances manually examined by human annotators,utterances,integer,3599,none stated,human annotation/correction,utterance,word and phone boundaries; production errors,PSI Lab L2-ARCTIC documentation,
l2_arctic_v5_0,l2_arctic_v5_0_corpus_counts.csv,phone_substitutions,manual_substitution_count,production_error,Phone substitutions identified in manual annotation,events,integer,14098,none stated,human phonetic error annotation,phone,segmental production,PSI Lab L2-ARCTIC documentation,
l2_arctic_v5_0,l2_arctic_v5_0_corpus_counts.csv,phone_deletions,manual_deletion_count,production_error,Phone deletions identified in manual annotation,events,integer,3420,none stated,human phonetic error annotation,phone,segmental production,PSI Lab L2-ARCTIC documentation,
l2_arctic_v5_0,l2_arctic_v5_0_corpus_counts.csv,phone_additions,manual_addition_count,production_error,Phone additions identified in manual annotation,events,integer,1092,none stated,human phonetic error annotation,phone,segmental production,PSI Lab L2-ARCTIC documentation,
