source_id,source_speaker_id,speaker_id,gender,native_language,wav_files,manual_annotations
l2_arctic_v5,l2_arctic_v5::ABA,ABA,M,Arabic,1129,150
l2_arctic_v5,l2_arctic_v5::SKA,SKA,F,Arabic,974,150
l2_arctic_v5,l2_arctic_v5::YBAA,YBAA,M,Arabic,1130,149
l2_arctic_v5,l2_arctic_v5::ZHAA,ZHAA,F,Arabic,1132,150
l2_arctic_v5,l2_arctic_v5::BWC,BWC,M,Chinese,1130,150
l2_arctic_v5,l2_arctic_v5::LXC,LXC,F,Chinese,1131,150
l2_arctic_v5,l2_arctic_v5::NCC,NCC,F,Chinese,1131,150
l2_arctic_v5,l2_arctic_v5::TXHC,TXHC,M,Chinese,1132,150
l2_arctic_v5,l2_arctic_v5::ASI,ASI,M,Hindi,1131,150
l2_arctic_v5,l2_arctic_v5::RRBI,RRBI,M,Hindi,1130,150
l2_arctic_v5,l2_arctic_v5::SVBI,SVBI,F,Hindi,1132,150
l2_arctic_v5,l2_arctic_v5::TNI,TNI,F,Hindi,1131,150
l2_arctic_v5,l2_arctic_v5::HJK,HJK,F,Korean,1131,150
l2_arctic_v5,l2_arctic_v5::HKK,HKK,M,Korean,1131,150
l2_arctic_v5,l2_arctic_v5::YDCK,YDCK,F,Korean,1131,150
l2_arctic_v5,l2_arctic_v5::YKWK,YKWK,M,Korean,1131,150
l2_arctic_v5,l2_arctic_v5::EBVS,EBVS,M,Spanish,1007,150
l2_arctic_v5,l2_arctic_v5::ERMS,ERMS,M,Spanish,1132,150
l2_arctic_v5,l2_arctic_v5::MBMPS,MBMPS,F,Spanish,1132,150
l2_arctic_v5,l2_arctic_v5::NJS,NJS,F,Spanish,1131,150
l2_arctic_v5,l2_arctic_v5::HQTV,HQTV,M,Vietnamese,1132,150
l2_arctic_v5,l2_arctic_v5::PNV,PNV,F,Vietnamese,1132,150
l2_arctic_v5,l2_arctic_v5::THV,THV,F,Vietnamese,1132,150
l2_arctic_v5,l2_arctic_v5::TLV,TLV,M,Vietnamese,1132,150
