source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,session,source_row_id,identifier,"Source session/row identifier",,integer,,,"source supplied",,trial,"Open Data LMU DOI 10.5282/ubm/data.384",retain original
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,var_age,variety_age_group,condition,"Source-coded variety/age grouping",,string,,,"source supplied",,speaker/condition,"Open Data LMU DOI 10.5282/ubm/data.384",do not expand coding without documentation
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,bundle,source_recording_token_id,identifier,"Source bundle/token identifier",,string,,,"source supplied",,recording/token,"Open Data LMU DOI 10.5282/ubm/data.384",namespace on harmonization
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,word,lexical_item,lexical,"Target word",,string,,,"source supplied",,word,"Open Data LMU DOI 10.5282/ubm/data.384",retain Unicode spelling
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,repetition,repetition,condition,"Repetition number",,integer,,,"source supplied",,trial,"Open Data LMU DOI 10.5282/ubm/data.384",
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,c.type,consonant_type,segmental,"Fortis/lenis category",,categorical,"fortis;lenis",,"source supplied",,target consonant,"Open Data LMU DOI 10.5282/ubm/data.384",
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,POA,place_of_articulation,segmental,"Source place-of-articulation code",,categorical,"KOR;LAB;other values pending full parse",,"source supplied",,target consonant,"Open Data LMU DOI 10.5282/ubm/data.384",do not infer IPA
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,position,word_position,context,"Target position",,categorical,"initial;other values pending full parse",,"source supplied",,target consonant,"Open Data LMU DOI 10.5282/ubm/data.384",
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,freq,frequency_condition,condition,"Source frequency category",,categorical,"high;low",,"source supplied",,lexical/condition,"Open Data LMU DOI 10.5282/ubm/data.384",exact interpretation pending paper/script
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,word.start,word_start_ms,temporal,"Word start landmark",ms,numeric,,,"source supplied landmark",absolute within recording/token,word,"Open Data LMU DOI 10.5282/ubm/data.384",manual status pending methods verification
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,word.end,word_end_ms,temporal,"Word end landmark",ms,numeric,,,"source supplied landmark",absolute within recording/token,word,"Open Data LMU DOI 10.5282/ubm/data.384",manual status pending methods verification
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,vow.start,vowel_start_ms,temporal,"Vowel start landmark",ms,numeric,,,"source supplied landmark",absolute within recording/token,vowel,"Open Data LMU DOI 10.5282/ubm/data.384",manual status pending methods verification
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,vow.end,vowel_end_ms,temporal,"Vowel end landmark",ms,numeric,,,"source supplied landmark",absolute within recording/token,vowel,"Open Data LMU DOI 10.5282/ubm/data.384",manual status pending methods verification
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,clos.start,closure_start_ms,temporal,"Closure start landmark",ms,numeric,,,"source supplied landmark",absolute within recording/token,stop closure,"Open Data LMU DOI 10.5282/ubm/data.384",manual status pending methods verification
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,clos.end,closure_end_ms,temporal,"Closure end/release landmark",ms,numeric,,,"source supplied landmark",absolute within recording/token,stop closure/release,"Open Data LMU DOI 10.5282/ubm/data.384",manual status pending methods verification
lmu_poehnlein_kleber_2023_vot_f0,VOT_landmarks.txt,VOT.end,vot_end_ms,temporal,"End of VOT landmark",ms,numeric,,,"source supplied landmark",absolute within recording/token,VOT/voicing onset,"Open Data LMU DOI 10.5282/ubm/data.384",manual status pending methods verification
