source_id,source_path,object_type,blob_sha,size_bytes,processed_status,contents_or_role,provenance_notes
marathi_vot_kadu_rao,"README.md",text,fe50b4366fb07a288bd61650d09ca3900c5f6e0e,5793,processed,"study design; speakers; annotation provenance; repository structure","authoritative repository README on master"
marathi_vot_kadu_rao,"Male vot.xlsx",xlsx,ff45525b6d1344982eb691a42524800f883acaed,8116,pending_binary_parse,"calculated VOT values for male speakers","public binary; parse pending connector binary access"
marathi_vot_kadu_rao,"Final sound & Textfiles/TextGrids/F1",textgrid_like,cb27563f8984d00bee7ba5b760c64434e3c9cda0,19595,pending_parse,"female speaker annotation","public source annotation"
marathi_vot_kadu_rao,"Final sound & Textfiles/TextGrids/F1_mono.TextGrid",TextGrid,5e8227b6b16a40f725c17b25be7c7b2f373cd362,18578,pending_parse,"female speaker annotation","public source annotation"
marathi_vot_kadu_rao,"Final sound & Textfiles/TextGrids/F2",textgrid_like,c9b6b231423851b4d93f3a2cb93723cb57cd3ccb,60694,pending_parse,"female speaker annotation","public source annotation"
marathi_vot_kadu_rao,"Final sound & Textfiles/TextGrids/F2_mono.TextGrid",TextGrid,d9500e488bf4599c93f43681dc51391b5a481eae,41438,pending_parse,"female speaker annotation","public source annotation"
marathi_vot_kadu_rao,"Final sound & Textfiles/TextGrids/F3",textgrid_like,29765b80dc07ba757072a438c5bb3e4e015dca98,19342,pending_parse,"female speaker annotation","public source annotation"
marathi_vot_kadu_rao,"Final sound & Textfiles/TextGrids/F3_mono.TextGrid",TextGrid,c94f0d75a627ba16fae2163d0ac9a35fd141ca76,17112,pending_parse,"female speaker annotation","public source annotation"
marathi_vot_kadu_rao,"Final sound & Textfiles/TextGrids/M1_Ghoda__mono.TextGrid",TextGrid,6db9d06d6733a2224f0bb7eeeb1e6d7513ef577b,5638,processed,"male speaker word/segment intervals","parsed in this pass"
marathi_vot_kadu_rao,"Final sound & Textfiles/TextGrids/M1_Kshitij__mono.TextGrid",TextGrid,1f355643462f174fb2979c5891573eec025d33c8,32494,pending_parse,"male speaker annotation","public source annotation"
marathi_vot_kadu_rao,"Final sound & Textfiles/TextGrids/M2_Atharva__mono.TextGrid",TextGrid,ac1f87f9fe1778cbe05e4fa4c8a6d90535180294,32157,pending_parse,"male speaker annotation","public source annotation"
marathi_vot_kadu_rao,"Final sound & Textfiles/TextGrids/M3_Rushikesh__mono.TextGrid",TextGrid,e1c53161371c3d63ff872f800b8ac83c99100912,25362,pending_parse,"male speaker annotation","public source annotation"
