source_id,source_file,row_type,source_utterance_id,text_original,style,utterance_start_s,utterance_end_s,segment_index,segment_label_original,segment_end_relative_s
PAVOQUE_2009,pavoque-angry.yaml,utterance,PAVOQUE_2009::spike0001,"Ich bin Spike.",angry,0.0,2.34,,,
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,1,H#,0.416756
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,2,?,0.436332
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,3,I,0.509483
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,4,C,0.586756
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,5,b,0.646513
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,6,I,0.71
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,7,n,0.765
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,8,S,0.86
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,9,p,0.960971
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,10,aI,1.185
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,11,k,1.386784
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0001,,,0.0,2.34,12,_,2.335
PAVOQUE_2009,pavoque-angry.yaml,utterance,PAVOQUE_2009::spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,,,
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,1,H#,0.304112
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,2,h,0.348223
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,3,a:,0.43
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,4,b,0.457396
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,5,@,0.461082
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,6,n,0.515
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,7,v,0.535
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,8,i:,0.58
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,9,6,0.632798
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,10,?,0.638634
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,11,U,0.663209
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,12,n,0.71
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,13,s,0.746148
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,14,S,0.8125
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,15,o:,0.865335
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,16,n,0.895
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,17,?,0.938752
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,18,aI,1.02
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,19,n,1.035
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,20,m,1.075
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,21,a:,1.15
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,22,l,1.18112
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,23,g,1.233477
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,24,@,1.294778
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,25,z,1.382325
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,26,e:,1.571737
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,27,@,1.57921
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,28,n,1.736815
PAVOQUE_2009,pavoque-angry.yaml,segment,PAVOQUE_2009::spike0002,,,2.34,5.94,29,_,3.595
