source_id,subset,repository_path,git_blob_sha,size_bytes,row_scope,upstream_source,upstream_blob_sha,license,notes
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk001.csv,d41a8cbed10f5fb7235da1a751bd1aba296a8447,668,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk001.csv,6e218c1873fe47c15abc7aea31180286cca2f183,5472,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk002.csv,b9da41eff35a223712b5f3d88ca5a35ca3c7f76c,957,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk002.csv,aa29002a6af3b4c45f472caef5e99314a64cdcc1,8675,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk003.csv,4b53bff85537a2346ee06d63dc9c0a383e2fa765,833,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk003.csv,aa177a0fac0383e0afe76e7c99c005ecd3dcb859,7287,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk004.csv,cec58c979cb76c6aa74fa4314071803ee016d3b4,765,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk004.csv,f3f7f1893beced4e86c23bb2427ccdf79f2e12ca,5637,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk005.csv,49ea7438626be6583c50d889c77ac5b8f0c009ae,693,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk005.csv,2e915a2baec8b1cf99ecb21e31dee5e3843e2e1b,8406,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk006.csv,f13dcb815a469ec3885351d2f3281e1177651571,890,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk006.csv,79bd31dc2225bd9beda5cd0aa414499449870416,5999,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk007.csv,4d31a28cdc8952709ae1c4d6adbe8d9c7db8b516,645,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk007.csv,5c8fb1c19687c915359fd214b6cff1c2e52cfd0d,5754,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk008.csv,347070fe9f75e736393b870c192b22f2f33fe444,361,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk008.csv,b482061622981bee5ab7c64a71f20641a5cfc4d8,3675,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk009.csv,12a66bdec6c9e5a6234fe9dcea59194dd134a4d9,831,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk009.csv,954ae8859c7867a2f1bfe00dc6f95c37f7a4146f,8165,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk010.csv,a2d50619d88b4a61e2f24ccaf07ed91cabe97905,469,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk010.csv,00b3edf6117c50e7709d6612babb995deb797a6e,2908,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk011.csv,852b1433aabd728d54db2095144f96cd7a52e853,503,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk011.csv,e161140a6b938873f63544db50cb0bc46def99c6,4519,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
pavoque,angry,data/source_faithful/pavoque_angry_utterances_chunk012.csv,7fa37b8d94213c76102f9431e13ebc0f31a20cb1,893,utterances,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,source-faithful durable materialization
pavoque,angry,data/source_faithful/pavoque_angry_segments_chunk012.csv,35f814b4db07d69c6e218e7204e34252d139cfe4,10278,segments,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,CC BY-NC-SA 4.0,manually corrected German-SAMPA/silence intervals
