source_id,source_recording_id,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,segment_start_rel_s,segment_end_rel_s,segment_duration_s,segment_start_abs_s,segment_end_abs_s,annotation_method,source_blob_sha
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,1,H#,0,0.538102,0.538102,708.06,708.598102,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,2,k,0.538102,0.609123,0.071021,708.598102,708.669123,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,3,l,0.609123,0.655,0.045877,708.669123,708.715,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,4,'a:',0.655,0.813296,0.158296,708.715,708.873296,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,5,R,0.813296,0.86,0.046704,708.873296,708.92,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,6,'a:',0.86,0.984365,0.124365,708.92,709.044365,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,7,m,0.984365,1.05,0.065635,709.044365,709.11,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,8,U,1.05,1.095,0.045,709.11,709.155,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,9,s,1.095,1.16281,0.06781,709.155,709.22281,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,10,d,1.16281,1.226516,0.063706,709.22281,709.286516,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,11,'i:',1.226516,1.277062,0.050546,709.286516,709.337062,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,12,p,1.277062,1.384113,0.107051,709.337062,709.444113,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,13,a~,1.384113,1.476699,0.092586,709.444113,709.536699,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
