source_id,utterance_id,segment_index,label_original,end_rel_s,upstream_blob_sha,upstream_source_line_window,annotation_scope
pavoque,pavoque::m0180,1,H#,0.720345,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,2,?,0.743681,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,3,E,0.87,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,4,s,0.970286,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,5,?,1.013274,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,6,I,1.115,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,7,s,1.194435,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,8,t,1.228211,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,9,d,1.274681,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,10,i:,1.375596,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,11,?,1.429023,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,12,E,1.55,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,13,n,1.61,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,14,t,1.68391,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,15,6,1.769851,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,16,p,1.854259,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,17,r,1.916623,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,18,aI,2.14,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,19,s,2.406679,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
pavoque,pavoque::m0180,20,_,2.935,bff79d978f740f6c2b09bc595ade03b6bdf33423,8521-8920,manually_corrected_phone_segmentation
