source_id,segment_id,prompt,segment_index,original_label,relative_start_s,relative_end_s,duration_s,absolute_start_s,absolute_end_s,normalized_ipa,source_file,source_blob_sha,annotation_method
PAVOQUE,PAVOQUE::m0195::001,m0195,1,H#,0,0.349421,0.349421,935.34,935.689421,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::002,m0195,2,?,0.349421,0.408988,0.059567,935.689421,935.748988,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::003,m0195,3,E,0.408988,0.48,0.071012,935.748988,935.82,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::004,m0195,4,s,0.48,0.613482,0.133482,935.82,935.953482,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::005,m0195,5,g,0.613482,0.666666,0.053184,935.953482,936.006666,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::006,m0195,6,i:,0.666666,0.768235,0.101569,936.006666,936.108235,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::007,m0195,7,p,0.768235,0.81245,0.044215,936.108235,936.15245,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::008,m0195,8,t,0.81245,0.875182,0.062732,936.15245,936.215182,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::009,m0195,9,?,0.875182,0.895,0.019818,936.215182,936.235,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::010,m0195,10,aU,0.895,1.0,0.105,936.235,936.34,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::011,m0195,11,x,1.0,1.065,0.065,936.34,936.405,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::012,m0195,12,p,1.065,1.214878,0.149878,936.405,936.554878,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::013,m0195,13,e:,1.214878,1.325,0.110122,936.554878,936.665,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::014,m0195,14,t,1.325,1.412626,0.087626,936.665,936.752626,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::015,m0195,15,R,1.412626,1.465,0.052374,936.752626,936.805,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::016,m0195,16,o:,1.465,1.58007,0.11507,936.805,936.92007,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::017,m0195,17,C,1.58007,1.696749,0.116679,936.92007,937.036749,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::018,m0195,18,e:,1.696749,1.81,0.113251,937.036749,937.15,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::019,m0195,19,m,1.81,1.855,0.045,937.15,937.195,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::020,m0195,20,I,1.855,1.92,0.065,937.195,937.26,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::021,m0195,21,S,1.92,2.014236,0.094236,937.26,937.354236,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::022,m0195,22,@,2.014236,2.084858,0.070622,937.354236,937.424858,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::023,m0195,23,?,2.084858,2.108807,0.023949,937.424858,937.448807,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::024,m0195,24,I,2.108807,2.155,0.046193,937.448807,937.495,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::025,m0195,25,n,2.155,2.22,0.065,937.495,937.56,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::026,m0195,26,d,2.22,2.25,0.03,937.56,937.59,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::027,m0195,27,U,2.25,2.315,0.065,937.59,937.655,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::028,m0195,28,s,2.315,2.401117,0.086117,937.655,937.741117,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::029,m0195,29,t,2.401117,2.480662,0.079545,937.741117,937.820662,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::030,m0195,30,R,2.480662,2.525,0.044338,937.820662,937.865,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::031,m0195,31,i:,2.525,2.747468,0.222468,937.865,938.087468,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0195::032,m0195,32,_,2.747468,3.775,1.027532,938.087468,939.115,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::001,m0196,1,H#,0,0.665,0.665,939.12,939.785,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::002,m0196,2,b,0.665,0.69423,0.02923,939.785,939.81423,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::003,m0196,3,2:,0.69423,0.879449,0.185219,939.81423,939.999449,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::004,m0196,4,p,0.879449,0.965,0.085551,939.999449,940.085,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::005,m0196,5,l,0.965,0.995,0.03,940.085,940.115,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::006,m0196,6,I,0.995,1.095,0.1,940.115,940.215,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::007,m0196,7,N,1.095,1.155,0.06,940.215,940.275,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::008,m0196,8,@,1.155,1.25,0.095,940.275,940.37,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::009,m0196,9,n,1.25,1.315,0.065,940.37,940.435,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::010,m0196,10,v,1.315,1.39,0.075,940.435,940.51,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::011,m0196,11,a:,1.39,1.510785,0.120785,940.51,940.630785,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::012,m0196,12,6,1.510785,1.566672,0.055887,940.630785,940.686672,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::013,m0196,13,d,1.566672,1.622482,0.05581,940.686672,940.742482,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::014,m0196,14,i:,1.622482,1.72205,0.099568,940.742482,940.84205,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::015,m0196,15,b,1.72205,1.837899,0.115849,940.84205,940.957899,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::016,m0196,16,R,1.837899,1.922873,0.084974,940.957899,941.042873,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::017,m0196,17,Y,1.922873,2.01438,0.091507,941.042873,941.13438,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::018,m0196,18,k,2.01438,2.088566,0.074186,941.13438,941.208566,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::019,m0196,19,@,2.088566,2.174057,0.085491,941.208566,941.294057,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::020,m0196,20,ts,2.174057,2.315,0.140943,941.294057,941.435,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::021,m0196,21,u:,2.315,2.39,0.075,941.435,941.51,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::022,m0196,22,6,2.39,2.455,0.065,941.51,941.575,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::023,m0196,23,v,2.455,2.51,0.055,941.575,941.63,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::024,m0196,24,E,2.51,2.630977,0.120977,941.63,941.750977,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::025,m0196,25,l,2.630977,2.745,0.114023,941.750977,941.865,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::026,m0196,26,t,2.745,2.923308,0.178308,941.865,942.043308,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
PAVOQUE,PAVOQUE::m0196::027,m0196,27,_,2.923308,3.655,0.731692,942.043308,942.775,,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually corrected
