source_id,utterance_id,segment_index,label_original,start_rel_s,end_rel_s,duration_s
pavoque,pavoque::spike0039,1,H#,0,0.695,0.695
pavoque,pavoque::spike0039,2,?,0.695,0.730068,0.035068
pavoque,pavoque::spike0039,3,I,0.730068,0.795908,0.06584
pavoque,pavoque::spike0039,4,C,0.795908,0.886312,0.090404
pavoque,pavoque::spike0039,5,h,0.886312,0.950126,0.063814
pavoque,pavoque::spike0039,6,a:,0.950126,1.01,0.059874
pavoque,pavoque::spike0039,7,b,1.01,1.058239,0.048239
pavoque,pavoque::spike0039,8,@,1.058239,1.099027,0.040788
pavoque,pavoque::spike0039,9,?,1.099027,1.157691,0.058664
pavoque,pavoque::spike0039,10,aI,1.157691,1.299958,0.142267
pavoque,pavoque::spike0039,11,g,1.299958,1.328951,0.028993
pavoque,pavoque::spike0039,12,@,1.328951,1.34,0.011049
pavoque,pavoque::spike0039,13,n,1.34,1.381543,0.041543
pavoque,pavoque::spike0039,14,t,1.381543,1.433797,0.052254
pavoque,pavoque::spike0039,15,l,1.433797,1.46,0.026203
pavoque,pavoque::spike0039,16,I,1.46,1.508639,0.048639
pavoque,pavoque::spike0039,17,C,1.508639,1.58719,0.078551
pavoque,pavoque::spike0039,18,k,1.58719,1.75,0.16281
pavoque,pavoque::spike0039,19,aI,1.75,1.835,0.085
pavoque,pavoque::spike0039,20,n,1.835,1.885,0.05
pavoque,pavoque::spike0039,21,@,1.885,1.95,0.065
pavoque,pavoque::spike0039,22,ts,1.95,2.134008,0.184008
pavoque,pavoque::spike0039,23,aI,2.134008,2.245,0.110992
pavoque,pavoque::spike0039,24,t,2.245,2.317405,0.072405
pavoque,pavoque::spike0039,25,f,2.317405,2.379099,0.061694
pavoque,pavoque::spike0039,26,y:,2.379099,2.432365,0.053266
pavoque,pavoque::spike0039,27,6,2.432365,2.455,0.022635
pavoque,pavoque::spike0039,28,d,2.455,2.508555,0.053555
pavoque,pavoque::spike0039,29,i:,2.508555,2.595,0.086445
pavoque,pavoque::spike0039,30,z,2.595,2.655205,0.060205
pavoque,pavoque::spike0039,31,@,2.655205,2.663296,0.008091
pavoque,pavoque::spike0039,32,n,2.663296,2.76,0.096704
pavoque,pavoque::spike0039,33,g,2.76,2.914118,0.154118
pavoque,pavoque::spike0039,34,l,2.914118,2.975,0.060882
pavoque,pavoque::spike0039,35,Y,2.975,3.041215,0.066215
pavoque,pavoque::spike0039,36,k,3.041215,3.143701,0.102486
pavoque,pavoque::spike0039,37,l,3.143701,3.18,0.036299
pavoque,pavoque::spike0039,38,I,3.18,3.26,0.08
pavoque,pavoque::spike0039,39,C,3.26,3.342605,0.082605
pavoque,pavoque::spike0039,40,@,3.342605,3.362159,0.019554
pavoque,pavoque::spike0039,41,n,3.362159,3.417447,0.055288
pavoque,pavoque::spike0039,42,b,3.417447,3.524316,0.106869
pavoque,pavoque::spike0039,43,l,3.524316,3.55,0.025684
pavoque,pavoque::spike0039,44,2:,3.55,3.702656,0.152656
pavoque,pavoque::spike0039,45,t,3.702656,3.75491,0.052254
pavoque,pavoque::spike0039,46,z,3.75491,3.82,0.06509
pavoque,pavoque::spike0039,47,I,3.82,3.945,0.125
pavoque,pavoque::spike0039,48,n,3.945,4.022589,0.077589
pavoque,pavoque::spike0039,49,_,4.022589,4.380689,0.3581
pavoque,pavoque::spike0039,50,d,4.380689,4.432078,0.051389
pavoque,pavoque::spike0039,51,u:,4.432078,4.475,0.042922
pavoque,pavoque::spike0039,52,f,4.475,4.55,0.075
pavoque,pavoque::spike0039,53,6,4.55,4.615,0.065
pavoque,pavoque::spike0039,54,S,4.615,4.700381,0.085381
pavoque,pavoque::spike0039,55,v,4.700381,4.730259,0.029878
pavoque,pavoque::spike0039,56,E,4.730259,4.81332,0.083061
pavoque,pavoque::spike0039,57,n,4.81332,4.868295,0.054975
pavoque,pavoque::spike0039,58,d,4.868295,4.889209,0.020914
pavoque,pavoque::spike0039,59,@,4.889209,4.92,0.030791
pavoque,pavoque::spike0039,60,s,4.92,4.969879,0.049879
pavoque,pavoque::spike0039,61,t,4.969879,5.006928,0.037049
pavoque,pavoque::spike0039,62,m,5.006928,5.045,0.038072
pavoque,pavoque::spike0039,63,aI,5.045,5.13,0.085
pavoque,pavoque::spike0039,64,n,5.13,5.15811,0.02811
pavoque,pavoque::spike0039,65,@,5.15811,5.22,0.06189
pavoque,pavoque::spike0039,66,ts,5.22,5.369047,0.149047
pavoque,pavoque::spike0039,67,aI,5.369047,5.625,0.255953
pavoque,pavoque::spike0039,68,t,5.625,5.805861,0.180861
pavoque,pavoque::spike0039,69,_,5.805861,7.075,1.269139
pavoque,pavoque::spike0040,1,H#,0,0.555,0.555
pavoque,pavoque::spike0040,2,v,0.555,0.600567,0.045567
pavoque,pavoque::spike0040,3,e:,0.600567,0.726965,0.126398
pavoque,pavoque::spike0040,4,n,0.726965,0.785,0.058035
pavoque,pavoque::spike0040,5,v,0.785,0.821939,0.036939
pavoque,pavoque::spike0040,6,I,0.821939,0.888979,0.06704
pavoque,pavoque::spike0040,7,l,0.888979,0.916912,0.027933
pavoque,pavoque::spike0040,8,s,0.916912,0.987444,0.070532
pavoque,pavoque::spike0040,9,t,0.987444,1.013282,0.025838
pavoque,pavoque::spike0040,10,d,1.013282,1.054484,0.041202
pavoque,pavoque::spike0040,11,u:,1.054484,1.112445,0.057961
pavoque,pavoque::spike0040,12,h,1.112445,1.179485,0.06704
pavoque,pavoque::spike0040,13,i:,1.179485,1.233257,0.053772
pavoque,pavoque::spike0040,14,6,1.233257,1.261889,0.028632
pavoque,pavoque::spike0040,15,?,1.261889,1.2989,0.037011
pavoque,pavoque::spike0040,16,aI,1.2989,1.439964,0.141064
pavoque,pavoque::spike0040,17,g,1.439964,1.478372,0.038408
pavoque,pavoque::spike0040,18,@,1.478372,1.481864,0.003492
pavoque,pavoque::spike0040,19,n,1.481864,1.513289,0.031425
pavoque,pavoque::spike0040,20,t,1.513289,1.52,0.006711
pavoque,pavoque::spike0040,21,l,1.52,1.545,0.025
pavoque,pavoque::spike0040,22,I,1.545,1.594994,0.049994
pavoque,pavoque::spike0040,23,C,1.594994,1.656447,0.061453
pavoque,pavoque::spike0040,24,f,1.656447,1.729772,0.073325
pavoque,pavoque::spike0040,25,y:,1.729772,1.77656,0.046788
pavoque,pavoque::spike0040,26,6,1.77656,1.805,0.02844
pavoque,pavoque::spike0040,27,d,1.805,1.875724,0.070724
pavoque,pavoque::spike0040,28,U,1.875724,1.959524,0.0838
pavoque,pavoque::spike0040,29,m,1.959524,2.053799,0.094275
pavoque,pavoque::spike0040,30,f,2.053799,2.125,0.071201
pavoque,pavoque::spike0040,31,6,2.125,2.231874,0.106874
pavoque,pavoque::spike0040,32,k,2.231874,2.345702,0.113828
pavoque,pavoque::spike0040,33,aU,2.345702,2.53,0.184298
pavoque,pavoque::spike0040,34,f,2.53,2.628527,0.098527
pavoque,pavoque::spike0040,35,@,2.628527,2.645,0.016473
pavoque,pavoque::spike0040,36,n,2.645,2.794032,0.149032
pavoque,pavoque::spike0040,37,_,2.794032,4.435,1.640968
pavoque,pavoque::spike0041,1,H#,0,0.41,0.41
pavoque,pavoque::spike0041,2,d,0.41,0.446295,0.036295
pavoque,pavoque::spike0041,3,u:,0.446295,0.501371,0.055076
pavoque,pavoque::spike0041,4,d,0.501371,0.548985,0.047614
pavoque,pavoque::spike0041,5,E,0.548985,0.628934,0.079949
pavoque,pavoque::spike0041,6,N,0.628934,0.655,0.026066
pavoque,pavoque::spike0041,7,k,0.655,0.690762,0.035762
pavoque,pavoque::spike0041,8,s,0.690762,0.735,0.044238
pavoque,pavoque::spike0041,9,t,0.735,0.773198,0.038198
pavoque,pavoque::spike0041,10,v,0.773198,0.8,0.026802
pavoque,pavoque::spike0041,11,o:,0.8,0.86,0.06
pavoque,pavoque::spike0041,12,l,0.86,0.91,0.05
pavoque,pavoque::spike0041,13,t,0.91,1.018376,0.108376
pavoque,pavoque::spike0041,14,a,1.018376,1.200305,0.181929
pavoque,pavoque::spike0041,15,t,1.200305,1.271371,0.071066
pavoque,pavoque::spike0041,16,z,1.271371,1.318275,0.046904
pavoque,pavoque::spike0041,17,E,1.318275,1.415,0.096725
