source_id,utterance_id,source_utterance_id,segment_id,segment_index,label_original,interval_start_s,interval_end_s,duration_s,source_file,source_blob_sha
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg001,1,H#,0,0.237124,0.237124,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg002,2,b,0.237124,0.297623,0.060499,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg003,3,aI,0.297623,0.435,0.137377,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg004,4,m,0.435,0.52,0.085,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg005,5,a:,0.52,0.645,0.125,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg006,6,g,0.645,0.695,0.05,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg007,7,d,0.695,0.783219,0.088219,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg008,8,@,0.783219,0.82464,0.041421,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg009,9,b,0.82464,0.907555,0.082915,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg010,10,U,0.907555,0.995072,0.087517,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg011,11,6,0.995072,1.037416,0.042344,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg012,12,k,1.037416,1.096507,0.059091,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg013,13,l,1.096507,1.16,0.063493,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg014,14,i:,1.16,1.25,0.09,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg015,15,k,1.25,1.287243,0.037243,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg016,16,t,1.287243,1.315825,0.028582,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg017,17,d,1.315825,1.34,0.024175,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg018,18,E,1.34,1.404746,0.064746,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg019,19,6,1.404746,1.435,0.030254,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg020,20,f,1.435,1.54,0.105,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg021,21,l,1.54,1.61,0.07,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg022,22,u:,1.61,1.67,0.06,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg023,23,k,1.67,1.732873,0.062873,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg024,24,p,1.732873,1.830775,0.097902,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg025,25,l,1.830775,1.88,0.049225,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg026,26,a,1.88,1.99,0.11,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg027,27,ts,1.99,2.121545,0.131545,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg028,28,m,2.121545,2.175,0.053455,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg029,29,a:,2.175,2.288667,0.113667,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg030,30,g,2.288667,2.328119,0.039452,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg031,31,d,2.328119,2.4,0.071881,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0031,m0031,pavoque::m0031::seg032,32,@,2.4,2.460158,0.060158,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
