source_id,utterance_id,source_utterance_id,segment_id,segment_index,label_original,interval_start_s,interval_end_s,duration_s,source_file,source_blob_sha
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg001,1,H#,0,0.264289,0.264289,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg002,2,d,0.264289,0.302464,0.038175,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg003,3,i:,0.302464,0.445,0.142536,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg004,4,h,0.445,0.522705,0.077705,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg005,5,aU,0.522705,0.640658,0.117953,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg006,6,p,0.640658,0.715,0.074342,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg007,7,t,0.715,0.809507,0.094507,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg008,8,R,0.809507,0.937953,0.128446,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg009,9,O,0.937953,1,0.062047,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg010,10,l,1,1.045,0.045,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg011,11,@,1.045,1.115,0.07,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg012,12,?,1.115,1.144954,0.029954,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg013,13,y:,1.144954,1.192251,0.047297,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg014,14,b,1.192251,1.241179,0.048928,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg015,15,6,1.241179,1.33,0.088821,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg016,16,n,1.33,1.38,0.05,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg017,17,a:,1.38,1.502445,0.122445,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg018,18,m,1.502445,1.553427,0.050982,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg019,19,d,1.553427,1.593967,0.04054,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg020,20,Z,1.593967,1.645,0.051033,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg021,21,E,1.645,1.76,0.115,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg022,22,f,1.76,1.89,0.13,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg023,23,r,1.89,1.935,0.045,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg024,24,EI,1.935,2.074307,0.139307,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg025,25,r,2.074307,2.155,0.080693,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg026,26,aI,2.155,2.320006,0.165006,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg027,27,t,2.320006,2.582903,0.262897,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0035,m0035,pavoque::m0035::seg028,28,_,2.582903,3.835,1.252097,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg001,1,H#,0,0.31,0.31,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg002,2,w,0.31,0.405,0.095,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg003,3,O,0.405,0.485,0.08,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg004,4,r,0.485,0.545435,0.060435,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg005,5,@,0.545435,0.635,0.089565,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg006,6,n,0.635,0.695,0.06,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg007,7,S,0.695,0.823066,0.128066,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg008,8,t,0.823066,0.880176,0.05711,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg009,9,a,0.880176,0.965567,0.085391,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg010,10,6,0.965567,1.029446,0.063879,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg011,11,p,1.029446,1.137669,0.108223,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg012,12,?,1.137669,1.155,0.017331,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg013,13,I,1.155,1.2,0.045,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg014,14,n,1.2,1.28,0.08,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg015,15,v,1.28,1.362358,0.082358,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg016,16,O,1.362358,1.445,0.082642,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg017,17,S,1.445,1.55,0.105,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg018,18,I,1.55,1.61,0.06,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg019,19,N,1.61,1.653502,0.043502,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg020,20,t,1.653502,1.725105,0.071603,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg021,21,@,1.725105,1.79,0.064895,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg022,22,n,1.79,1.880766,0.090766,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0037,m0037,pavoque::m0037::seg023,23,_,1.880766,3.115,1.234234,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0038,m0038,pavoque::m0038::seg001,1,H#,0,0.401688,0.401688,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0038,m0038,pavoque::m0038::seg002,2,d,0.401688,0.443496,0.041808,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0038,m0038,pavoque::m0038::seg003,3,a,0.443496,0.54,0.096504,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0038,m0038,pavoque::m0038::seg004,4,s,0.54,0.632014,0.092014,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0038,m0038,pavoque::m0038::seg005,5,p,0.632014,0.783216,0.151202,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0038,m0038,pavoque::m0038::seg006,6,a~,0.783216,0.97,0.186784,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0038,m0038,pavoque::m0038::seg007,7,d,0.97,1.020139,0.050139,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0038,m0038,pavoque::m0038::seg008,8,a~,1.020139,1.224718,0.204579,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
