source_id,utterance_id,source_utterance_id,segment_index,label_original,interval_start_s,interval_end_s,interval_duration_s,endpoint_original_s,source_file,source_blob_sha
pavoque,pavoque::m0091,m0091,1,H#,0.000000,0.232723,0.232723,0.232723,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,2,d,0.232723,0.290842,0.058119,0.290842,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,3,E,0.290842,0.329742,0.038900,0.329742,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,4,6,0.329742,0.364742,0.035000,0.364742,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,5,t,0.364742,0.470000,0.105258,0.470000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,6,a,0.470000,0.540000,0.070000,0.540000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,7,x,0.540000,0.600000,0.060000,0.600000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,8,o:,0.600000,0.703080,0.103080,0.703080,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,9,m,0.703080,0.765000,0.061920,0.765000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,10,e:,0.765000,0.870100,0.105100,0.870100,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,11,t,0.870100,0.958957,0.088857,0.958957,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,12,6,0.958957,1.040804,0.081847,1.040804,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,13,ts,1.040804,1.153766,0.112962,1.153766,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,14,aI,1.153766,1.270000,0.116234,1.270000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,15,k,1.270000,1.335000,0.065000,1.335000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,16,t,1.335000,1.355195,0.020195,1.355195,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,17,t,1.355195,1.420000,0.064805,1.420000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,18,E,1.420000,1.495000,0.075000,1.495000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,19,m,1.495000,1.536338,0.041338,1.536338,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,20,p,1.536338,1.603749,0.067411,1.603749,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,21,o:,1.603749,1.690000,0.086251,1.690000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,22,d,1.690000,1.756030,0.066030,1.756030,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,23,R,1.756030,1.835000,0.078970,1.835000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,24,aI,1.835000,1.970467,0.135467,1.970467,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0091,m0091,25,h,1.970467,2.040468,0.070001,2.040468,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
