source_id,utterance_id,source_utterance_id,segment_index,label_original,interval_start_s,interval_end_s,interval_duration_s,endpoint_original_s
pavoque,pavoque::m0133,m0133,1,H#,0.000000,0.835000,0.835000,0.835000
pavoque,pavoque::m0133,m0133,2,?,0.835000,0.856064,0.021064,0.856064
pavoque,pavoque::m0133,m0133,3,a,0.856064,0.910000,0.053936,0.910000
pavoque,pavoque::m0133,m0133,4,6,0.910000,0.980098,0.070098,0.980098
pavoque,pavoque::m0133,m0133,5,t,0.980098,1.082696,0.102598,1.082696
pavoque,pavoque::m0133,m0133,6,i:,1.082696,1.155000,0.072304,1.155000
pavoque,pavoque::m0133,m0133,7,k,1.155000,1.226598,0.071598,1.226598
pavoque,pavoque::m0133,m0133,8,@,1.226598,1.270566,0.043968,1.270566
pavoque,pavoque::m0133,m0133,9,l,1.270566,1.308026,0.037460,1.308026
pavoque,pavoque::m0133,m0133,10,ts,1.308026,1.410000,0.101974,1.410000
pavoque,pavoque::m0133,m0133,11,u:,1.410000,1.465234,0.055234,1.465234
pavoque,pavoque::m0133,m0133,12,6,1.465234,1.481815,0.016581,1.481815
pavoque,pavoque::m0133,m0133,13,g,1.481815,1.528109,0.046294,1.528109
pavoque,pavoque::m0133,m0133,14,@,1.528109,1.562876,0.034767,1.562876
pavoque,pavoque::m0133,m0133,15,S,1.562876,1.665000,0.102124,1.665000
pavoque,pavoque::m0133,m0133,16,I,1.665000,1.731138,0.066138,1.731138
pavoque,pavoque::m0133,m0133,17,C,1.731138,1.802373,0.071235,1.802373
pavoque,pavoque::m0133,m0133,18,t,1.802373,1.865839,0.063466,1.865839
pavoque,pavoque::m0133,m0133,19,@,1.865839,1.928263,0.062424,1.928263
pavoque,pavoque::m0133,m0133,20,C,1.928263,2.071962,0.143699,2.071962
pavoque,pavoque::m0133,m0133,21,i:,2.071962,2.180000,0.108038,2.180000
pavoque,pavoque::m0133,m0133,22,n,2.180000,2.220000,0.040000,2.220000
pavoque,pavoque::m0133,m0133,23,a:,2.220000,2.340000,0.120000,2.340000
pavoque,pavoque::m0133,m0133,24,s,2.340000,2.427523,0.087523,2.427523
pavoque,pavoque::m0133,m0133,25,h,2.427523,2.495000,0.067477,2.495000
pavoque,pavoque::m0133,m0133,26,i:,2.495000,2.585000,0.090000,2.585000
pavoque,pavoque::m0133,m0133,27,6,2.585000,2.630000,0.045000,2.630000
pavoque,pavoque::m0133,m0133,28,?,2.630000,2.695000,0.065000,2.695000
pavoque,pavoque::m0133,m0133,29,aI,2.695000,2.810000,0.115000,2.810000
pavoque,pavoque::m0133,m0133,30,n,2.810000,2.865000,0.055000,2.865000
pavoque,pavoque::m0133,m0133,31,?,2.865000,2.907133,0.042133,2.907133
pavoque,pavoque::m0133,m0133,32,O,2.907133,2.998019,0.090886,2.998019
pavoque,pavoque::m0133,m0133,33,6,2.998019,3.047147,0.049128,3.047147
pavoque,pavoque::m0133,m0133,34,d,3.047147,3.133553,0.086406,3.133553
pavoque,pavoque::m0133,m0133,35,n,3.133553,3.170000,0.036447,3.170000
pavoque,pavoque::m0133,m0133,36,@,3.170000,3.245000,0.075000,3.245000
pavoque,pavoque::m0133,m0133,37,n,3.245000,3.360950,0.115950,3.360950
pavoque,pavoque::m0133,m0133,38,_,3.360950,4.195000,0.834050,4.195000
pavoque,pavoque::m0134,m0134,1,H#,0.000000,0.498896,0.498896,0.498896
pavoque,pavoque::m0134,m0134,2,f,0.498896,0.645000,0.146104,0.645000
pavoque,pavoque::m0134,m0134,3,OY,0.645000,0.784593,0.139593,0.784593
pavoque,pavoque::m0134,m0134,4,C,0.784593,0.843576,0.058983,0.843576
pavoque,pavoque::m0134,m0134,5,t,0.843576,0.918240,0.074664,0.918240
pavoque,pavoque::m0134,m0134,6,@,0.918240,1.010079,0.091839,1.010079
pavoque,pavoque::m0134,m0134,7,l,1.010079,1.105000,0.094921,1.105000
pavoque,pavoque::m0134,m0134,8,U,1.105000,1.170000,0.065000,1.170000
pavoque,pavoque::m0134,m0134,9,f,1.170000,1.280000,0.110000,1.280000
pavoque,pavoque::m0134,m0134,10,t,1.280000,1.354845,0.074845,1.354845
pavoque,pavoque::m0134,m0134,11,?,1.354845,1.390000,0.035155,1.390000
pavoque,pavoque::m0134,m0134,12,I,1.390000,1.460000,0.070000,1.460000
pavoque,pavoque::m0134,m0134,13,s,1.460000,1.549526,0.089526,1.549526
pavoque,pavoque::m0134,m0134,14,t,1.549526,1.620000,0.070474,1.620000
pavoque,pavoque::m0134,m0134,15,f,1.620000,1.705000,0.085000,1.705000
pavoque,pavoque::m0134,m0134,16,9,1.705000,1.791601,0.086601,1.791601
pavoque,pavoque::m0134,m0134,17,6,1.791601,1.865329,0.073728,1.865329
pavoque,pavoque::m0134,m0134,18,d,1.865329,1.926542,0.061213,1.926542
pavoque,pavoque::m0134,m0134,19,6,1.926542,2.020000,0.093458,2.020000
pavoque,pavoque::m0134,m0134,20,l,2.020000,2.080000,0.060000,2.080000
pavoque,pavoque::m0134,m0134,21,I,2.080000,2.175000,0.095000,2.175000
pavoque,pavoque::m0134,m0134,22,C,2.175000,2.443483,0.268483,2.443483
pavoque,pavoque::m0134,m0134,23,_,2.443483,3.175000,0.731517,3.175000
pavoque,pavoque::m0135,m0135,1,H#,0.000000,0.440000,0.440000,0.440000
pavoque,pavoque::m0135,m0135,2,m,0.440000,0.505000,0.065000,0.505000
pavoque,pavoque::m0135,m0135,3,I,0.505000,0.595000,0.090000,0.595000
pavoque,pavoque::m0135,m0135,4,C,0.595000,0.730000,0.135000,0.730000
pavoque,pavoque::m0135,m0135,5,j,0.730000,0.886192,0.156192,0.886192
pavoque,pavoque::m0135,m0135,6,a,0.886192,1.000000,0.113808,1.000000
pavoque,pavoque::m0135,m0135,7,m,1.000000,1.060000,0.060000,1.060000
pavoque,pavoque::m0135,m0135,8,6,1.060000,1.187730,0.127730,1.187730
pavoque,pavoque::m0135,m0135,9,t,1.187730,1.303801,0.116071,1.303801
pavoque,pavoque::m0135,m0135,10,d,1.303801,1.392824,0.089023,1.392824
pavoque,pavoque::m0135,m0135,11,aI,1.392824,1.508921,0.116097,1.508921
pavoque,pavoque::m0135,m0135,12,n,1.508921,1.542084,0.033163,1.542084
pavoque,pavoque::m0135,m0135,13,@,1.542084,1.627449,0.085365,1.627449
pavoque,pavoque::m0135,m0135,14,j,1.627449,1.715000,0.087551,1.715000
pavoque,pavoque::m0135,m0135,15,u:,1.715000,1.848536,0.133536,1.848536
pavoque,pavoque::m0135,m0135,16,g,1.848536,1.915476,0.066940,1.915476
pavoque,pavoque::m0135,m0135,17,@,1.915476,1.925917,0.010441,1.925917
pavoque,pavoque::m0135,m0135,18,n,1.925917,2.042602,0.116685,2.042602
pavoque,pavoque::m0135,m0135,19,t,2.042602,2.175868,0.133266,2.175868
pavoque,pavoque::m0135,m0135,20,d,2.175868,2.277653,0.101785,2.277653
pavoque,pavoque::m0135,m0135,21,aI,2.277653,2.366863,0.089210,2.366863
pavoque,pavoque::m0135,m0135,22,n,2.366863,2.410000,0.043137,2.410000
pavoque,pavoque::m0135,m0135,23,@,2.410000,2.475000,0.065000,2.475000
pavoque,pavoque::m0135,m0135,24,S,2.475000,2.646658,0.171658,2.646658
pavoque,pavoque::m0135,m0135,25,2:,2.646658,2.770000,0.123342,2.770000
pavoque,pavoque::m0135,m0135,26,n,2.770000,2.810000,0.040000,2.810000
pavoque,pavoque::m0135,m0135,27,h,2.810000,2.870000,0.060000,2.870000
pavoque,pavoque::m0135,m0135,28,aI,2.870000,3.055000,0.185000,3.055000
pavoque,pavoque::m0135,m0135,29,t,3.055000,3.238930,0.183930,3.238930
pavoque,pavoque::m0135,m0135,30,_,3.238930,4.075000,0.836070,4.075000
pavoque,pavoque::m0136,m0136,1,H#,0.000000,0.441504,0.441504,0.441504
pavoque,pavoque::m0136,m0136,2,v,0.441504,0.555000,0.113496,0.555000
pavoque,pavoque::m0136,m0136,3,E,0.555000,0.655000,0.100000,0.655000
pavoque,pavoque::m0136,m0136,4,s,0.655000,0.844936,0.189936,0.844936
pavoque,pavoque::m0136,m0136,5,t,0.844936,0.921421,0.076485,0.921421
pavoque,pavoque::m0136,m0136,6,l,0.921421,0.955000,0.033579,0.955000
pavoque,pavoque::m0136,m0136,7,I,0.955000,1.020000,0.065000,1.020000
pavoque,pavoque::m0136,m0136,8,C,1.020000,1.130000,0.110000,1.130000
pavoque,pavoque::m0136,m0136,9,f,1.130000,1.190000,0.060000,1.190000
pavoque,pavoque::m0136,m0136,10,O,1.190000,1.255000,0.065000,1.255000
pavoque,pavoque::m0136,m0136,11,n,1.255000,1.305000,0.050000,1.305000
pavoque,pavoque::m0136,m0136,12,?,1.305000,1.369337,0.064337,1.369337
pavoque,pavoque::m0136,m0136,13,O,1.369337,1.445000,0.075663,1.445000
pavoque,pavoque::m0136,m0136,14,z,1.445000,1.563378,0.118378,1.563378
pavoque,pavoque::m0136,m0136,15,l,1.563378,1.610000,0.046622,1.610000
