source_id,recording_id,source_recording_id,style,utterance_text,utterance_start_s,utterance_end_s,segment_index,segment_label_original,segment_start_relative_s,segment_end_relative_s,segment_start_absolute_s,segment_end_absolute_s,manual_status,source_file,source_blob_sha
PAVOQUE,PAVOQUE::spike0004,spike0004,angry,Na dann werde ich mich mal vorstellen.,11.94,15.72,1,H#,0,0.415743,11.94,12.355743,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0004,spike0004,angry,Na dann werde ich mich mal vorstellen.,11.94,15.72,2,n,0.415743,0.44,12.355743,12.38,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0004,spike0004,angry,Na dann werde ich mich mal vorstellen.,11.94,15.72,3,a:,0.44,0.507244,12.38,12.447244,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0004,spike0004,angry,Na dann werde ich mich mal vorstellen.,11.94,15.72,4,d,0.507244,0.535,12.447244,12.475,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0004,spike0004,angry,Na dann werde ich mich mal vorstellen.,11.94,15.72,5,a,0.535,0.61,12.475,12.55,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0004,spike0004,angry,Na dann werde ich mich mal vorstellen.,11.94,15.72,6,n,0.61,0.650942,12.55,12.590942,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0004,spike0004,angry,Na dann werde ich mich mal vorstellen.,11.94,15.72,7,v,0.650942,0.675506,12.590942,12.615506,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0004,spike0004,angry,Na dann werde ich mich mal vorstellen.,11.94,15.72,8,e:,0.675506,0.730775,12.615506,12.670775,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0004,spike0004,angry,Na dann werde ich mich mal vorstellen.,11.94,15.72,9,6,0.730775,0.760559,12.670775,12.700559,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,PAVOQUE::spike0004,spike0004,angry,Na dann werde ich mich mal vorstellen.,11.94,15.72,10,d,0.760559,0.792283,12.700559,12.732283,manually_corrected,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
