source_id,prompt,segment_index,original_label,relative_start_s,relative_end_s,absolute_start_s,absolute_end_s,source_file,source_blob_sha
pavoque,spike0005,1,H#,0,0.71,15.72,16.43,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,2,?,0.71,0.735,16.43,16.455,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,3,I,0.735,0.78877,16.455,16.50877,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,4,C,0.78877,0.865559,16.50877,16.585559,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,5,h,0.865559,0.887674,16.585559,16.607674,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,6,a:,0.887674,0.95,16.607674,16.67,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,7,b,0.95,0.99654,16.67,16.71654,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,8,@,0.99654,1.046779,16.71654,16.766779,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,9,R,1.046779,1.134011,16.766779,16.854011,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,10,o:,1.134011,1.216328,16.854011,16.936328,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,11,t,1.216328,1.285139,16.936328,17.005139,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,12,@,1.285139,1.349018,17.005139,17.069018,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,13,h,1.349018,1.415,17.069018,17.135,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,14,a:,1.415,1.549897,17.135,17.269897,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,15,R,1.549897,1.607027,17.269897,17.327027,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,16,@,1.607027,1.658629,17.327027,17.378629,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,17,?,1.658629,1.672144,17.378629,17.392144,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,18,U,1.672144,1.745,17.392144,17.465,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,19,n,1.745,1.786323,17.465,17.506323,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,20,t,1.786323,1.855749,17.506323,17.575749,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,21,?,1.855749,1.86031,17.575749,17.58031,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,22,aI,1.86031,1.930153,17.58031,17.650153,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,23,n,1.930153,1.99,17.650153,17.71,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,24,f,1.99,2.12,17.71,17.84,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,25,OY,2.12,2.26,17.84,17.98,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,26,R,2.26,2.315,17.98,18.035,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,27,I,2.315,2.36,18.035,18.08,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,28,g,2.36,2.406849,18.08,18.126849,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,29,@,2.406849,2.45,18.126849,18.17,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,30,s,2.45,2.529102,18.17,18.249102,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,31,t,2.529102,2.604991,18.249102,18.324991,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,32,E,2.604991,2.67,18.324991,18.39,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,33,m,2.67,2.715,18.39,18.435,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,spike0005,34,p,2.715,2.776022,18.435,18.496022,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
