source_id,source_file,prompt,style,segment_index,original_label,original_end_s,derived_start_s,derived_duration_s,derived_absolute_start_s,derived_absolute_end_s,normalized_ipa,provenance
PAVOQUE,pavoque-angry.yaml,spike0013,angry,1,H#,0.29,0,0.29,42.78,43.07,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,2,f,0.39,0.29,0.1,43.07,43.17,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,3,i:,0.465,0.39,0.075,43.17,43.245,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,4,l,0.53,0.465,0.065,43.245,43.31,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,5,aI,0.655,0.53,0.125,43.31,43.435,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,6,C,0.73,0.655,0.075,43.435,43.51,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,7,t,0.777813,0.73,0.047813,43.51,43.557813,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,8,h,0.825,0.777813,0.047187,43.557813,43.605,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,9,a:,0.895,0.825,0.07,43.605,43.675,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,10,b,0.930249,0.895,0.035249,43.675,43.710249,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,11,@,0.94,0.930249,0.009751,43.710249,43.72,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,12,?,0.955,0.94,0.015,43.72,43.735,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,13,I,1.025,0.955,0.07,43.735,43.805,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,14,C,1.12,1.025,0.095,43.805,43.9,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,15,f,1.26,1.12,0.14,43.9,44.04,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,16,a,1.3,1.26,0.04,44.04,44.08,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,17,l,1.365,1.3,0.065,44.08,44.145,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,18,S,1.435758,1.365,0.070758,44.145,44.215758,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,19,f,1.5,1.435758,0.064242,44.215758,44.28,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,20,6,1.565,1.5,0.065,44.28,44.345,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,21,S,1.672185,1.565,0.107185,44.345,44.452185,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,22,t,1.736132,1.672185,0.063947,44.452185,44.516132,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,23,a,1.815,1.736132,0.078868,44.516132,44.595,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,24,n,1.906156,1.815,0.091156,44.595,44.686156,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,25,d,1.966337,1.906156,0.060181,44.686156,44.746337,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,26,@,1.972478,1.966337,0.006141,44.746337,44.752478,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,27,n,2.064811,1.972478,0.092333,44.752478,44.844811,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0013,angry,28,_,3.775,2.064811,1.710189,44.844811,46.555,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,1,H#,0.272659,0,0.272659,46.56,46.832659,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,2,h,0.393022,0.272659,0.120363,46.832659,46.953022,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,3,a:,0.484522,0.393022,0.0915,46.953022,47.044522,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,4,b,0.535492,0.484522,0.05097,47.044522,47.095492,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,5,@,0.597516,0.535492,0.062024,47.095492,47.157516,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,6,?,0.607956,0.597516,0.01044,47.157516,47.167956,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,7,I,0.632519,0.607956,0.024563,47.167956,47.192519,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,8,C,0.705,0.632519,0.072481,47.192519,47.265,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,9,?,0.731389,0.705,0.026389,47.265,47.291389,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,10,E,0.795,0.731389,0.063611,47.291389,47.355,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,11,t,0.85298,0.795,0.05798,47.355,47.41298,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,12,v,0.88,0.85298,0.02702,47.41298,47.44,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,13,a,0.95,0.88,0.07,47.44,47.51,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,14,s,1.06,0.95,0.11,47.51,47.62,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,15,f,1.172924,1.06,0.112924,47.62,47.732924,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,16,a,1.245,1.172924,0.072076,47.732924,47.805,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,17,l,1.29266,1.245,0.04766,47.805,47.85266,,upstream manually corrected segment
