source_id,source_file,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,lab,segment_start_rel_s,segment_end_rel_s,segment_start_abs_s,segment_end_abs_s
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,1,H#,0.0,0.416756,0.0,0.416756
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,2,?,0.416756,0.436332,0.416756,0.436332
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,3,I,0.436332,0.509483,0.436332,0.509483
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,4,C,0.509483,0.586756,0.509483,0.586756
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,5,b,0.586756,0.646513,0.586756,0.646513
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,6,I,0.646513,0.71,0.646513,0.71
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,7,n,0.71,0.765,0.71,0.765
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,8,S,0.765,0.86,0.765,0.86
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,9,p,0.86,0.960971,0.86,0.960971
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,10,aI,0.960971,1.185,0.960971,1.185
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,11,k,1.185,1.386784,1.185,1.386784
pavoque_2009,pavoque-angry.yaml,spike0001,"Ich bin Spike.",angry,0.0,2.34,12,_,1.386784,2.335,1.386784,2.335
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,1,H#,0.0,0.304112,2.34,2.644112
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,2,h,0.304112,0.348223,2.644112,2.688223
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,3,a:,0.348223,0.43,2.688223,2.77
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,4,b,0.43,0.457396,2.77,2.797396
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,5,@,0.457396,0.461082,2.797396,2.801082
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,6,n,0.461082,0.515,2.801082,2.855
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,7,v,0.515,0.535,2.855,2.875
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,8,i:,0.535,0.58,2.875,2.92
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,9,6,0.58,0.632798,2.92,2.972798
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,10,?,0.632798,0.638634,2.972798,2.978634
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,11,U,0.638634,0.663209,2.978634,3.003209
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,12,n,0.663209,0.71,3.003209,3.05
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,13,s,0.71,0.746148,3.05,3.086148
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,14,S,0.746148,0.8125,3.086148,3.1525
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,15,o:,0.8125,0.865335,3.1525,3.205335
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,16,n,0.865335,0.895,3.205335,3.235
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,17,?,0.895,0.938752,3.235,3.278752
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,18,aI,0.938752,1.02,3.278752,3.36
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,19,n,1.02,1.035,3.36,3.375
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,20,m,1.035,1.075,3.375,3.415
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,21,a:,1.075,1.15,3.415,3.49
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,22,l,1.15,1.18112,3.49,3.52112
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,23,g,1.18112,1.233477,3.52112,3.573477
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,24,@,1.233477,1.294778,3.573477,3.634778
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,25,z,1.294778,1.382325,3.634778,3.722325
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,26,e:,1.382325,1.571737,3.722325,3.911737
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,27,@,1.571737,1.57921,3.911737,3.91921
pavoque_2009,pavoque-angry.yaml,spike0002,"Haben wir uns schon einmal gesehen?",angry,2.34,5.94,28,n,1.57921,1.736815,3.91921,4.076815
