source_id,source_file,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,segment_start_rel_s,segment_end_rel_s,segment_start_abs_s,segment_end_abs_s
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,1,H#,0,0.5468,5.94,6.4868
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,2,n,0.5468,0.585,6.4868,6.525
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,3,a:,0.585,0.633876,6.525,6.573876
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,4,d,0.633876,0.674784,6.573876,6.614784
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,5,a,0.674784,0.75,6.614784,6.69
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,6,n,0.75,0.798863,6.69,6.738863
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,7,v,0.798863,0.84246,6.738863,6.78246
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,8,aI,0.84246,0.974478,6.78246,6.914478
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,9,s,0.974478,1.04018,6.914478,6.98018
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,10,t,1.04018,1.078864,6.98018,7.018864
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,11,d,1.078864,1.129709,7.018864,7.069709
