source_id,source_file,prompt,style,utterance_start_s,utterance_end_s,segment_index,original_label,segment_end_relative_s,segment_start_relative_s
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,1,H#,0.5468,0
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,2,n,0.585,0.5468
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,3,a:,0.633876,0.585
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,4,d,0.674784,0.633876
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,5,a,0.75,0.674784
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,6,n,0.798863,0.75
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,7,v,0.84246,0.798863
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,8,aI,0.974478,0.84246
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,9,s,1.04018,0.974478
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,10,t,1.078864,1.04018
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,11,d,1.129709,1.078864
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,12,u:,1.180795,1.129709
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,13,j,1.23,1.180795
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,14,a:,1.3079,1.23
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,15,d,1.348481,1.3079
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,16,a,1.39,1.348481
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,17,s,1.462638,1.39
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,18,?,1.468164,1.462638
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,19,I,1.50255,1.468164
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,20,C,1.576235,1.50255
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,21,d,1.671168,1.576235
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,22,U,1.733428,1.671168
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,23,m,1.807727,1.733428
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,24,k,1.936428,1.807727
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,25,9,1.97137,1.936428
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,26,pf,2.125,1.97137
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,27,@,2.131325,2.125
PAVOQUE,pavoque-angry.yaml,spike0003,angry,5.94,11.94,28,n,2.205,2.131325
