source_id,source_file,source_blob_sha,prompt,segment_index,original_label,start_rel_s,end_rel_s,start_abs_s,end_abs_s,style,annotation_status
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,1,H#,0,0.415743,11.94,12.355743,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,2,n,0.415743,0.44,12.355743,12.38,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,3,a:,0.44,0.507244,12.38,12.447244,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,4,d,0.507244,0.535,12.447244,12.475,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,5,a,0.535,0.61,12.475,12.55,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,6,n,0.61,0.650942,12.55,12.590942,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,7,v,0.650942,0.675506,12.590942,12.615506,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,8,e:,0.675506,0.730775,12.615506,12.670775,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,9,6,0.730775,0.760559,12.670775,12.700559,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,10,d,0.760559,0.792283,12.700559,12.732283,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,11,@,0.792283,0.811221,12.732283,12.751221,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,12,?,0.811221,0.816441,12.751221,12.756441,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,13,I,0.816441,0.84776,12.756441,12.78776,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,14,C,0.84776,0.900573,12.78776,12.840573,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,15,m,0.900573,0.938954,12.840573,12.878954,angry,manually_corrected
PAVOQUE_ROETTIG2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0004,16,I,0.938954,0.99,12.878954,12.93,angry,manually_corrected
