source_id,source_recording_id,source_segment_index,prompt_original,style,utterance_start_s,utterance_end_s,segment_label_original,segment_start_relative_s,segment_end_relative_s,segment_start_absolute_s,segment_end_absolute_s,source_file,source_blob_sha,annotation_provenance
PAVOQUE::angry,PAVOQUE::angry::spike0005,1,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,?,0,0.12,15.72,15.84,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,2,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,a:,0.12,0.27,15.84,15.99,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,3,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,b,0.27,0.335,15.99,16.055,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,4,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,6,0.335,0.455,16.055,16.175,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,5,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,d,0.455,0.53,16.175,16.25,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,6,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,a,0.53,0.635,16.25,16.355,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,7,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,n,0.635,0.71,16.355,16.43,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,8,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,g,0.71,0.77,16.43,16.49,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,9,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,i:,0.77,0.905,16.49,16.625,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,10,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,p,0.905,1.015,16.625,16.735,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,11,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,t,1.015,1.085,16.735,16.805,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,12,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,e,1.085,1.19,16.805,16.91,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,13,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,s,1.19,1.295,16.91,17.015,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,14,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,k,1.295,1.42,17.015,17.14,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,15,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,aI,1.42,1.535,17.14,17.255,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,16,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,n,1.535,1.62,17.255,17.34,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,17,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,@,1.62,1.72,17.34,17.44,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,18,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,n,1.72,1.83,17.44,17.55,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
PAVOQUE::angry,PAVOQUE::angry::spike0005,19,Aber dann gibt es keinen Weg zurück.,angry,15.72,19.37,v,1.83,1.94,17.55,17.66,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_source_annotation
