source_id,source_file,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,label_original,segment_start_rel_s_derived,segment_end_rel_s_original,segment_start_abs_s_derived,segment_end_abs_s_derived
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,1,H#,0,0.387589,20.16,20.547589
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,2,?,0.387589,0.437957,20.547589,20.597957
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,3,a,0.437957,0.512895,20.597957,20.672895
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,4,l,0.512895,0.555,20.672895,20.715
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,5,z,0.555,0.598275,20.715,20.758275
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,6,o:,0.598275,0.802819,20.758275,20.962819
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,7,?,0.802819,0.89557,20.962819,21.05557
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,8,I,0.89557,0.923211,21.05557,21.083211
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,9,n,0.923211,0.982793,21.083211,21.142793
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,10,v,0.982793,1.015,21.142793,21.175
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,11,E,1.015,1.081687,21.175,21.241687
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,12,l,1.081687,1.105,21.241687,21.265
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,13,C,1.105,1.173823,21.265,21.333823
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,14,@,1.173823,1.178123,21.333823,21.338123
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,15,m,1.178123,1.240776,21.338123,21.400776
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,16,ts,1.240776,1.345,21.400776,21.505
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,17,u:,1.345,1.405,21.505,21.565
pavoque_2010,pavoque-angry.yaml,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,18,S,1.405,1.461905,21.565,21.621905
