segment_id,source_id,prompt,style,segment_index,original_label,start_rel_s,end_rel_s,duration_s,start_abs_s,end_abs_s,source_blob_sha,annotation_status
PAVOQUE::angry::spike0007::seg001,PAVOQUE,spike0007,angry,1,H#,0.000000,0.170000,0.170000,24.000000,24.170000,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg002,PAVOQUE,spike0007,angry,2,v,0.170000,0.230000,0.060000,24.170000,24.230000,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg003,PAVOQUE,spike0007,angry,3,i:,0.230000,0.382713,0.152713,24.230000,24.382713,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg004,PAVOQUE,spike0007,angry,4,f,0.382713,0.490000,0.107287,24.382713,24.490000,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg005,PAVOQUE,spike0007,angry,5,y:,0.490000,0.567005,0.077005,24.490000,24.567005,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg006,PAVOQUE,spike0007,angry,6,l,0.567005,0.610000,0.042995,24.567005,24.610000,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg007,PAVOQUE,spike0007,angry,7,s,0.610000,0.716282,0.106282,24.610000,24.716282,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg008,PAVOQUE,spike0007,angry,8,t,0.716282,0.725000,0.008718,24.716282,24.725000,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg009,PAVOQUE,spike0007,angry,9,d,0.725000,0.739892,0.014892,24.725000,24.739892,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg010,PAVOQUE,spike0007,angry,10,u:,0.739892,0.786927,0.047035,24.739892,24.786927,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg011,PAVOQUE,spike0007,angry,11,d,0.786927,0.836957,0.050030,24.786927,24.836957,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg012,PAVOQUE,spike0007,angry,12,I,0.836957,0.886445,0.049488,24.836957,24.886445,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg013,PAVOQUE,spike0007,angry,13,C,0.886445,0.977362,0.090917,24.886445,24.977362,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg014,PAVOQUE,spike0007,angry,14,h,0.977362,1.015000,0.037638,24.977362,25.015000,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg015,PAVOQUE,spike0007,angry,15,OY,1.015000,1.161040,0.146040,25.015000,25.161040,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg016,PAVOQUE,spike0007,angry,16,t,1.161040,1.247613,0.086573,25.161040,25.247613,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg017,PAVOQUE,spike0007,angry,17,@,1.247613,1.363147,0.115534,25.247613,25.363147,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
PAVOQUE::angry::spike0007::seg018,PAVOQUE,spike0007,angry,18,_,1.363147,2.995000,1.631853,25.363147,26.995000,bff79d978f740f6c2b09bc595ade03b6bdf33423,manual_corrected
