source_id,source_file,upstream_blob_sha,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,original_relative_end_s
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,1,H#,0.66
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,2,?,0.695
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,3,E,0.733213
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,4,6,0.770372
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,5,ts,0.897462
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,6,E:,0.966709
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,7,l,1.002205
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,8,m,1.063768
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,9,i:,1.119231
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,10,6,1.142525
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,11,d,1.181619
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,12,a:,1.275634
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,13,f,1.375
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,14,O,1.48
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,15,n,1.608409
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0009,"Erzähl mir davon.",angry,28.92,31.44,16,_,2.515
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,1,H#,0.315
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,2,?,0.367251
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,3,I,0.455
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,4,C,0.539822
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,5,b,0.6273
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,6,I,0.695
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,7,n,0.770121
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,8,s,0.87
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,9,p,0.940697
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,10,aI,1.165
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,11,k,1.281078
pavoque,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0010,"Ich bin Spike, was für ein Problem hast du?",angry,31.44,35.52,12,_,1.371649
