source_id,prompt,style,utterance_start_s,utterance_end_s,segment_index,original_label,normalized_ipa,relative_start_s,relative_end_s,duration_s,absolute_start_s,absolute_end_s,annotation_method,source_blob_sha
PAVOQUE,spike0012,angry,39.36,42.78,1,H#,,0.000000,0.340921,0.340921,39.360000,39.700921,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,2,?,,0.340921,0.365492,0.024571,39.700921,39.725492,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,3,E,,0.365492,0.440000,0.074508,39.725492,39.800000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,4,n,,0.440000,0.492646,0.052646,39.800000,39.852646,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,5,t,,0.492646,0.516768,0.024122,39.852646,39.876768,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,6,S,,0.516768,0.624100,0.107332,39.876768,39.984100,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,7,U,,0.624100,0.700000,0.075900,39.984100,40.060000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,8,l,,0.700000,0.770000,0.070000,40.060000,40.130000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,9,d,,0.770000,0.806959,0.036959,40.130000,40.166959,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,10,I,,0.806959,0.865000,0.058041,40.166959,40.225000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,11,g,,0.865000,0.929118,0.064118,40.225000,40.289118,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,12,U,,0.929118,1.020000,0.090882,40.289118,40.380000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,13,N,,1.020000,1.080504,0.060504,40.380000,40.440504,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,14,_,,1.080504,1.290585,0.210081,40.440504,40.650585,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,15,z,,1.290585,1.380000,0.089415,40.650585,40.740000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,16,a:,,1.380000,1.475481,0.095481,40.740000,40.835481,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,17,k,,1.475481,1.510000,0.034519,40.835481,40.870000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,18,d,,1.510000,1.570693,0.060693,40.870000,40.930693,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,19,a,,1.570693,1.630000,0.059307,40.930693,40.990000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,20,s,,1.630000,1.701533,0.071533,40.990000,41.061533,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,21,n,,1.701533,1.732861,0.031328,41.061533,41.092861,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,22,O,,1.732861,1.800000,0.067139,41.092861,41.160000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,23,x,,1.800000,1.850187,0.050187,41.160000,41.210187,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,24,m,,1.850187,1.930000,0.079813,41.210187,41.290000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,25,a:,,1.930000,2.079925,0.149925,41.290000,41.439925,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,26,l,,2.079925,2.247621,0.167696,41.439925,41.607621,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0012,angry,39.36,42.78,27,_,,2.247621,3.415000,1.167379,41.607621,42.775000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
