source_id,source_file,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,lab,segment_end_relative_s
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,1,H#,0.416756
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,2,?,0.436332
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,3,I,0.509483
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,4,C,0.586756
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,5,b,0.646513
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,6,I,0.71
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,7,n,0.765
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,8,S,0.86
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,9,p,0.960971
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,10,aI,1.185
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,11,k,1.386784
github_marytts_pavoque,pavoque-angry.yaml,spike0001,Ich bin Spike.,angry,0.0,2.34,12,_,2.335
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,1,H#,0.304112
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,2,h,0.348223
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,3,a:,0.43
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,4,b,0.457396
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,5,@,0.461082
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,6,n,0.515
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,7,v,0.535
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,8,i:,0.58
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,9,6,0.632798
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,10,?,0.638634
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,11,U,0.663209
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,12,n,0.71
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,13,s,0.746148
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,14,S,0.8125
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,15,o:,0.865335
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,16,n,0.895
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,17,?,0.938752
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,18,aI,1.02
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,19,n,1.035
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,20,m,1.075
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,21,a:,1.15
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,22,l,1.18112
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,23,g,1.233477
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,24,@,1.294778
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,25,z,1.382325
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,26,e:,1.571737
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,27,@,1.57921
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,28,n,1.736815
github_marytts_pavoque,pavoque-angry.yaml,spike0002,Haben wir uns schon einmal gesehen?,angry,2.34,5.94,29,_,3.595
