source_id,source_file,source_blob_sha,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,segment_end_rel_s,segment_start_rel_s,segment_start_abs_s,segment_end_abs_s
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,1,"_",0.683385,0,5.34,6.023385
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,2,"n",0.736673,0.683385,6.023385,6.0766729999999995
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,3,"u:",0.824316,0.736673,6.0766729999999995,6.1643159999999995
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,4,"n",0.91,0.824316,6.1643159999999995,6.25
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,5,"d",0.934351,0.91,6.25,6.274351
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,6,"a",1,0.934351,6.274351,6.34
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,7,"n",1.06,1,6.34,6.4
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,8,"v",1.101542,1.06,6.4,6.441542
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,9,"e:",1.170679,1.101542,6.441542,6.510679
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,10,"6",1.177327,1.170679,6.510679,6.517327
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,11,"d",1.205248,1.177327,6.517327,6.545248
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,12,"@",1.206729,1.205248,6.545248,6.546729
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,13,"?",1.208084,1.206729,6.546729,6.548083999999999
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,14,"I",1.265644,1.208084,6.548083999999999,6.605644
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,15,"C",1.356386,1.265644,6.605644,6.696386
PAVOQUE,pavoque-happy.yaml,9ed4b66625a6c6df746730b6bf45ae35b9baaa38,poppy0004,"Nun dann werde ich mich vorstellen.",happy,5.34,8.94,16,"m",1.402095,1.356386,6.696386,6.742095
