source_id,utterance_id,segment_index,segment_label_original,segment_start_s_relative,segment_end_s_relative,segment_start_s_absolute,segment_end_s_absolute
pavoque_2014,pavoque_2014::poppy0001,1,_,0,0.19,0,0.19
pavoque_2014,pavoque_2014::poppy0001,2,h,0.19,0.312256,0.19,0.312256
pavoque_2014,pavoque_2014::poppy0001,3,i:,0.312256,0.575,0.312256,0.575
pavoque_2014,pavoque_2014::poppy0001,4,?,0.575,0.827665,0.575,0.827665
pavoque_2014,pavoque_2014::poppy0001,5,I,0.827665,0.885,0.827665,0.885
pavoque_2014,pavoque_2014::poppy0001,6,C,0.885,0.97,0.885,0.97
pavoque_2014,pavoque_2014::poppy0001,7,h,0.97,1.016041,0.97,1.016041
pavoque_2014,pavoque_2014::poppy0001,8,aI,1.016041,1.09747,1.016041,1.09747
pavoque_2014,pavoque_2014::poppy0001,9,s,1.09747,1.17,1.09747,1.17
pavoque_2014,pavoque_2014::poppy0001,10,@,1.17,1.196774,1.17,1.196774
pavoque_2014,pavoque_2014::poppy0001,11,p,1.196774,1.297932,1.196774,1.297932
pavoque_2014,pavoque_2014::poppy0001,12,O,1.297932,1.37,1.297932,1.37
pavoque_2014,pavoque_2014::poppy0001,13,p,1.37,1.442674,1.37,1.442674
pavoque_2014,pavoque_2014::poppy0001,14,i:,1.442674,1.543351,1.442674,1.543351
pavoque_2014,pavoque_2014::poppy0001,15,_,1.543351,1.595,1.543351,1.595
pavoque_2014,pavoque_2014::poppy0002,1,_,0,0.539285,1.6,2.139285
pavoque_2014,pavoque_2014::poppy0002,2,k,0.539285,0.586347,2.139285,2.186347
pavoque_2014,pavoque_2014::poppy0002,3,E,0.586347,0.665,2.186347,2.265
pavoque_2014,pavoque_2014::poppy0002,4,n,0.665,0.70846,2.265,2.30846
pavoque_2014,pavoque_2014::poppy0002,5,@,0.70846,0.71,2.30846,2.31
pavoque_2014,pavoque_2014::poppy0002,6,n,0.71,0.773722,2.31,2.373722
pavoque_2014,pavoque_2014::poppy0002,7,v,0.773722,0.799625,2.373722,2.399625
pavoque_2014,pavoque_2014::poppy0002,8,i:,0.799625,0.850421,2.399625,2.450421
pavoque_2014,pavoque_2014::poppy0002,9,6,0.850421,0.905,2.450421,2.505
pavoque_2014,pavoque_2014::poppy0002,10,?,0.905,0.940577,2.505,2.540577
pavoque_2014,pavoque_2014::poppy0002,11,U,0.940577,1.03,2.540577,2.63
pavoque_2014,pavoque_2014::poppy0002,12,n,1.03,1.125,2.63,2.725
pavoque_2014,pavoque_2014::poppy0002,13,s,1.125,1.232572,2.725,2.832572
pavoque_2014,pavoque_2014::poppy0002,14,_,1.232572,1.295,2.832572,2.895
pavoque_2014,pavoque_2014::poppy0003,1,_,0,0.578244,2.9,3.478244
pavoque_2014,pavoque_2014::poppy0003,2,h,0.578244,0.65,3.478244,3.55
pavoque_2014,pavoque_2014::poppy0003,3,a:,0.65,0.695,3.55,3.595
pavoque_2014,pavoque_2014::poppy0003,4,b,0.695,0.721095,3.595,3.621095
pavoque_2014,pavoque_2014::poppy0003,5,@,0.721095,0.725,3.621095,3.625
pavoque_2014,pavoque_2014::poppy0003,6,n,0.725,0.801639,3.625,3.701639
pavoque_2014,pavoque_2014::poppy0003,7,v,0.801639,0.817595,3.701639,3.717595
pavoque_2014,pavoque_2014::poppy0003,8,i:,0.817595,0.868505,3.717595,3.768505
pavoque_2014,pavoque_2014::poppy0003,9,6,0.868505,0.887501,3.768505,3.787501
pavoque_2014,pavoque_2014::poppy0003,10,?,0.887501,0.89206,3.787501,3.79206
pavoque_2014,pavoque_2014::poppy0003,11,U,0.89206,0.926254,3.79206,3.826254
pavoque_2014,pavoque_2014::poppy0003,12,n,0.926254,0.952848,3.826254,3.852848
pavoque_2014,pavoque_2014::poppy0003,13,s,0.952848,0.975065,3.852848,3.875065
pavoque_2014,pavoque_2014::poppy0003,14,S,0.975065,1.07,3.875065,3.97
pavoque_2014,pavoque_2014::poppy0003,15,o:,1.07,1.105,3.97,4.005
pavoque_2014,pavoque_2014::poppy0003,16,n,1.105,1.106332,4.005,4.006332
pavoque_2014,pavoque_2014::poppy0003,17,m,1.106332,1.163141,4.006332,4.063141
pavoque_2014,pavoque_2014::poppy0003,18,a:,1.163141,1.227524,4.063141,4.127524
pavoque_2014,pavoque_2014::poppy0003,19,l,1.227524,1.28,4.127524,4.18
pavoque_2014,pavoque_2014::poppy0003,20,g,1.28,1.302622,4.18,4.202622
pavoque_2014,pavoque_2014::poppy0003,21,@,1.302622,1.361031,4.202622,4.261031
pavoque_2014,pavoque_2014::poppy0003,22,t,1.361031,1.4,4.261031,4.3
pavoque_2014,pavoque_2014::poppy0003,23,R,1.4,1.468578,4.3,4.368578
pavoque_2014,pavoque_2014::poppy0003,24,O,1.468578,1.555,4.368578,4.455
pavoque_2014,pavoque_2014::poppy0003,25,f,1.555,1.627582,4.455,4.527582
pavoque_2014,pavoque_2014::poppy0003,26,@,1.627582,1.6299,4.527582,4.5299
pavoque_2014,pavoque_2014::poppy0003,27,n,1.6299,1.746718,4.5299,4.646718
pavoque_2014,pavoque_2014::poppy0003,28,_,1.746718,2.435,4.646718,5.335
