source_id,source_file,source_blob_sha,utterance_id,segment_index,label_original,normalized_ipa,relative_start_s,relative_end_s,duration_s,absolute_start_s,absolute_end_s
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,1,H#,,0.000000,0.220000,0.220000,926.460000,926.680000
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,2,f,,0.220000,0.330000,0.110000,926.680000,926.790000
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,3,y:,,0.330000,0.423884,0.093884,926.790000,926.883884
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,4,6,,0.423884,0.493917,0.070033,926.883884,926.953917
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,5,?,,0.493917,0.551663,0.057746,926.953917,927.011663
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,6,i:,,0.551663,0.645000,0.093337,927.011663,927.105000
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,7,d,,0.645000,0.683266,0.038266,927.105000,927.143266
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,8,e:,,0.683266,0.845000,0.161734,927.143266,927.305000
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,9,a:,,0.845000,0.980000,0.135000,927.305000,927.440000
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,10,l,,0.980000,1.020000,0.040000,927.440000,927.480000
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,11,@,,1.020000,1.102713,0.082713,927.480000,927.562713
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,12,g,,1.102713,1.195000,0.092287,927.562713,927.655000
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,13,a:,,1.195000,1.375000,0.180000,927.655000,927.835000
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,14,z,,1.375000,1.465000,0.090000,927.835000,927.925000
PAVOQUE_2009,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,PAVOQUE_2009::m0193,15,@,,1.465000,1.541955,0.076955,927.925000,928.001955
