source_id,source_utterance_id,segment_index,original_label,source_end_s,derived_start_s,derived_duration_s,absolute_start_s,absolute_end_s,normalized_ipa,annotation_provenance,upstream_blob_sha
pavoque,pavoque::spike0015,1,H#,0.489485,0,0.489485,49.92,50.409485,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,2,b,0.515475,0.489485,0.025990,50.409485,50.435475,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,3,I,0.565,0.515475,0.049525,50.435475,50.485,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,4,s,0.6281,0.565,0.0631,50.485,50.5481,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,5,t,0.664379,0.6281,0.036279,50.5481,50.584379,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,6,d,0.701418,0.664379,0.037039,50.584379,50.621418,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,7,u:,0.748847,0.701418,0.047429,50.621418,50.668847,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,8,n,0.79,0.748847,0.041153,50.668847,50.71,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,9,O,0.855,0.79,0.065,50.71,50.775,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,10,x,0.918326,0.855,0.063326,50.775,50.838326,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,11,d,1.025095,0.918326,0.106769,50.838326,50.945095,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,12,a:,1.348791,1.025095,0.323696,50.945095,51.268791,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0015,13,_,2.455,1.348791,1.106209,51.268791,52.375,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0016,1,H#,0.571675,0,0.571675,52.38,52.951675,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
