source_id,prompt,segment_index,original_label,start_rel_s,end_rel_s,duration_s,start_abs_s,end_abs_s,normalized_ipa,annotation_status
PAVOQUE,spike0006,1,H#,0,0.387589,0.387589,20.16,20.547589,,manually_corrected
PAVOQUE,spike0006,2,?,0.387589,0.437957,0.050368,20.547589,20.597957,,manually_corrected
PAVOQUE,spike0006,3,a,0.437957,0.512895,0.074938,20.597957,20.672895,,manually_corrected
PAVOQUE,spike0006,4,l,0.512895,0.555,0.042105,20.672895,20.715,,manually_corrected
PAVOQUE,spike0006,5,z,0.555,0.598275,0.043275,20.715,20.758275,,manually_corrected
PAVOQUE,spike0006,6,o:,0.598275,0.802819,0.204544,20.758275,20.962819,,manually_corrected
PAVOQUE,spike0006,7,?,0.802819,0.89557,0.092751,20.962819,21.05557,,manually_corrected
PAVOQUE,spike0006,8,I,0.89557,0.923211,0.027641,21.05557,21.083211,,manually_corrected
PAVOQUE,spike0006,9,n,0.923211,0.982793,0.059582,21.083211,21.142793,,manually_corrected
PAVOQUE,spike0006,10,v,0.982793,1.015,0.032207,21.142793,21.175,,manually_corrected
PAVOQUE,spike0006,11,E,1.015,1.081687,0.066687,21.175,21.241687,,manually_corrected
PAVOQUE,spike0006,12,l,1.081687,1.105,0.023313,21.241687,21.265,,manually_corrected
PAVOQUE,spike0006,13,C,1.105,1.173823,0.068823,21.265,21.333823,,manually_corrected
PAVOQUE,spike0006,14,@,1.173823,1.178123,0.0043,21.333823,21.338123,,manually_corrected
PAVOQUE,spike0006,15,m,1.178123,1.240776,0.062653,21.338123,21.400776,,manually_corrected
PAVOQUE,spike0006,16,ts,1.240776,1.345,0.104224,21.400776,21.505,,manually_corrected
PAVOQUE,spike0006,17,u:,1.345,1.405,0.06,21.505,21.565,,manually_corrected
PAVOQUE,spike0006,18,S,1.405,1.461905,0.056905,21.565,21.621905,,manually_corrected
PAVOQUE,spike0006,19,t,1.461905,1.508438,0.046533,21.621905,21.668438,,manually_corrected
PAVOQUE,spike0006,20,a,1.508438,1.55,0.041562,21.668438,21.71,,manually_corrected
PAVOQUE,spike0006,21,n,1.55,1.59151,0.04151,21.71,21.75151,,manually_corrected
PAVOQUE,spike0006,22,t,1.59151,1.628979,0.037469,21.75151,21.788979,,manually_corrected
PAVOQUE,spike0006,23,b,1.628979,1.676464,0.047485,21.788979,21.836464,,manually_corrected
PAVOQUE,spike0006,24,I,1.676464,1.715,0.038536,21.836464,21.875,,manually_corrected
PAVOQUE,spike0006,25,s,1.715,1.774556,0.059556,21.875,21.934556,,manually_corrected
PAVOQUE,spike0006,26,t,1.774556,1.802811,0.028255,21.934556,21.962811,,manually_corrected
PAVOQUE,spike0006,27,d,1.802811,1.84297,0.040159,21.962811,22.00297,,manually_corrected
PAVOQUE,spike0006,28,u:,1.84297,1.913375,0.070405,22.00297,22.073375,,manually_corrected
PAVOQUE,spike0006,29,h,1.913375,1.96,0.046625,22.073375,22.12,,manually_corrected
PAVOQUE,spike0006,30,OY,1.96,2.08045,0.12045,22.12,22.24045,,manually_corrected
PAVOQUE,spike0006,31,t,2.08045,2.148358,0.067908,22.24045,22.308358,,manually_corrected
PAVOQUE,spike0006,32,@,2.148358,2.303421,0.155063,22.308358,22.463421,,manually_corrected
PAVOQUE,spike0006,33,_,2.303421,3.835,1.531579,22.463421,23.995,,manually_corrected
