source_id,source_utterance_id,source_segment_index,original_label,normalized_ipa,relative_start_s,relative_end_s,duration_s,absolute_start_s,absolute_end_s,source_file,source_blob_sha,annotation_status
PAVOQUE,PAVOQUE::spike0010,1,H#,,0,0.315,0.315,31.44,31.755,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,2,?,,0.315,0.367251,0.052251,31.755,31.807251,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,3,I,,0.367251,0.455,0.087749,31.807251,31.895,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,4,C,,0.455,0.539822,0.084822,31.895,31.979822,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,5,b,,0.539822,0.6273,0.087478,31.979822,32.0673,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,6,I,,0.6273,0.695,0.0677,32.0673,32.135,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,7,n,,0.695,0.770121,0.075121,32.135,32.210121,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,8,s,,0.770121,0.87,0.099879,32.210121,32.31,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,9,p,,0.87,0.940697,0.070697,32.31,32.380697,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,10,aI,,0.940697,1.165,0.224303,32.380697,32.605,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,11,k,,1.165,1.281078,0.116078,32.605,32.721078,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,12,_,,1.281078,1.371649,0.090571,32.721078,32.811649,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,13,v,,1.371649,1.396535,0.024886,32.811649,32.836535,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,14,a,,1.396535,1.47,0.073465,32.836535,32.91,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,15,s,,1.47,1.55,0.08,32.91,32.99,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,16,f,,1.55,1.577704,0.027704,32.99,33.017704,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
PAVOQUE,PAVOQUE::spike0010,17,y:,,1.577704,1.605954,0.02825,33.017704,33.045954,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,manually_corrected
