source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
pavoque_2009,YAML,prompt,source_utterance_id,recording,"prompt code / utterance basename",,string,,,author metadata,utterance,utterance,repository YAML,"namespace as pavoque_2009::prompt"
pavoque_2009,YAML,text,orthographic_text,lexical,"German prompt text",,string,,,author metadata,utterance,utterance,repository YAML,"retain verbatim"
pavoque_2009,YAML,style,speaking_style,condition,"acted speaking style",,categorical,"angry; happy; neutral; poker; sad; outtakes",,author metadata,utterance,voice/style,repository YAML,"outtakes require separate review"
pavoque_2009,YAML,start,utterance_start_s,temporal,"utterance start in style FLAC",seconds,float,,,author segmentation,absolute within style FLAC,utterance,repository YAML,
pavoque_2009,YAML,end,utterance_end_s,temporal,"utterance end in style FLAC",seconds,float,,,author segmentation,absolute within style FLAC,utterance,repository YAML,
pavoque_2009,YAML,segments.lab,segment_label_original,segment_annotation,"phonetic segment label; German SAMPA; underscore denotes silence",,string,"German SAMPA plus H# ? _ etc.",,manually corrected phonetic segmentation,segment,phone/silence,repository README+YAML,"do not invent IPA; preserve source label"
pavoque_2009,YAML,segments.end,segment_end_rel_s,temporal,"segment end relative to utterance start",seconds,float,,,manually corrected phonetic segmentation,relative to utterance start,phone/silence,repository README+YAML,"segment start derived as previous segment end; first segment starts at 0"
pavoque_2009,derived,segment_start_rel_s,segment_start_rel_s,temporal,"derived segment start relative to utterance start",seconds,float,,,deterministic derivation from ordered segments.end,relative to utterance start,phone/silence,ingestion transform,"raw segments.end retained"
pavoque_2009,derived,segment_start_abs_s,segment_start_abs_s,temporal,"derived absolute segment start within style FLAC",seconds,float,,,utterance start + relative segment start,absolute within style FLAC,phone/silence,ingestion transform,"derived separate field"
pavoque_2009,derived,segment_end_abs_s,segment_end_abs_s,temporal,"derived absolute segment end within style FLAC",seconds,float,,,utterance start + segments.end,absolute within style FLAC,phone/silence,ingestion transform,"derived separate field"
