source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,num,token_id,identifier,Unique observation identifier,,integer,,,source data frame,,stop token,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,parish,speaker_location,demographic_geographic,Parish where speaker is from,,string,,,metadata,,speaker,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,parishno,source_location_id,identifier,Numeric parish identifier based on Skjelborg 1967,,integer,,,metadata,,speaker location,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,tape_id,recording_id,identifier,Original Royal Danish Library tape identifier,,integer,,,archive metadata,,recording,executable article,Use namespaced recording ID
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,birthyear,birth_year,demographic,Speaker birth year,year,integer,,,metadata,,speaker,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,gender,gender,demographic,Speaker gender,,string,male/female as source-coded,,metadata,,speaker,executable article,Preserve source coding
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,year,recording_year,recording_metadata,Year of recording,year,integer,,,archive metadata,,recording,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,dialect,variety,language_variety,Traditional dialect area per Skautrup et al.,,string,,,metadata,,speaker variety,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,sg,laryngeal_category,phonological_context,Laryngeal category,,string,negsg=[-spread glottis]; possg=[+spread glottis],,source coding,,stop,executable article,Author notes labels may be theoretically unsuitable; retain verbatim
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,voi,closure_voicing,voice_quality,Manual binary voicing response for /b d g/,,string,voi=voiced; empty source cells mean voiceless before preprocessing,empty cell=voiceless for applicable bdg tokens,Manual waveform judgment,closure/pre-release,stop closure,executable article,Do not replace raw empty cells in source-faithful layer
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,boundary,postpausal_boundary,prosodic_context,Whether token is at prosodic/post-pausal boundary,,string,y versus empty before preprocessing,empty=no boundary,annotation/context coding,,token,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,token,original_token_transcription,transcription,Makeshift phonetic transcription of syllable containing token,,string,,,source transcription,,syllable,executable article,Never infer normalized IPA without explicit mapping
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,dur,vot_ms,temporal_measurement,Positive VOT / aspirated release duration,ms,double,,,Manual Praat landmarks; duration calculated from annotations,release to first zero-crossing preceding periodicity,stop release/voicing onset,executable article,Manual stop release and voicing-onset landmarks
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,pal,palatalization,phonological_context,Palatalization category,,string,source includes negpal and palatalized category,,derived/context coding,,stop,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,height,following_vowel_height,phonological_context,Height of following vowel,,string,high/mid/low,,derived from token transcription,,following vowel,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,backness,following_vowel_backness,phonological_context,Three-level backness of following vowel,,string,three source levels,,derived from token transcription,,following vowel,executable article,More granular than bkn2l
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,bkn2l,following_vowel_backness_binary,phonological_context,Binary backness predictor for following vowel,,string,bk/nbk source coding,,derived from token transcription,,following vowel,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,rdness,following_vowel_roundness,phonological_context,Roundness of following vowel,,string,rd/negrd source coding,,derived from token transcription,,following vowel,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,stop,stop_segment,segment_annotation,Stop phoneme identity,,string,b d g p t k,,source annotation,,stop,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,str,stress,prosodic_context,Syllable stress category,,string,str/negstr source coding,,derived/context coding,,syllable,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,long,longitude,geographic,Speaker longitude,decimal degrees,double,,,metadata,,speaker location,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,lat,latitude,geographic,Speaker latitude,decimal degrees,double,,,metadata,,speaker location,executable article,
puggaard_rode_2024_jutland_stops,data/vot_voi.csv,rec_age,age_at_recording,demographic,Speaker age at recording,years,integer,,-,derived from metadata,,speaker,executable article,
