source_id,source_speaker_id,speaker_id_namespaced,train_n,test_n,dev_n,total_n
rescuespeech_zenodo_8077622_v2,?,rescuespeech_zenodo_8077622_v2::?,0,38,0,38
rescuespeech_zenodo_8077622_v2,spk01,rescuespeech_zenodo_8077622_v2::spk01,211,0,0,211
rescuespeech_zenodo_8077622_v2,spk02,rescuespeech_zenodo_8077622_v2::spk02,502,0,0,502
rescuespeech_zenodo_8077622_v2,spk03,rescuespeech_zenodo_8077622_v2::spk03,0,344,0,344
rescuespeech_zenodo_8077622_v2,spk04,rescuespeech_zenodo_8077622_v2::spk04,0,0,204,204
rescuespeech_zenodo_8077622_v2,spk05,rescuespeech_zenodo_8077622_v2::spk05,266,0,0,266
rescuespeech_zenodo_8077622_v2,spk06,rescuespeech_zenodo_8077622_v2::spk06,0,164,0,164
rescuespeech_zenodo_8077622_v2,spk07,rescuespeech_zenodo_8077622_v2::spk07,257,0,0,257
rescuespeech_zenodo_8077622_v2,spk08,rescuespeech_zenodo_8077622_v2::spk08,25,0,0,25
rescuespeech_zenodo_8077622_v2,spk09,rescuespeech_zenodo_8077622_v2::spk09,48,0,0,48
rescuespeech_zenodo_8077622_v2,spk10,rescuespeech_zenodo_8077622_v2::spk10,24,0,0,24
rescuespeech_zenodo_8077622_v2,spk11,rescuespeech_zenodo_8077622_v2::spk11,27,0,0,27
rescuespeech_zenodo_8077622_v2,spk12,rescuespeech_zenodo_8077622_v2::spk12,7,0,0,7
rescuespeech_zenodo_8077622_v2,spk13,rescuespeech_zenodo_8077622_v2::spk13,7,0,0,7
rescuespeech_zenodo_8077622_v2,spk14,rescuespeech_zenodo_8077622_v2::spk14,0,0,12,12
rescuespeech_zenodo_8077622_v2,spk15,rescuespeech_zenodo_8077622_v2::spk15,0,15,0,15
rescuespeech_zenodo_8077622_v2,spk16,rescuespeech_zenodo_8077622_v2::spk16,8,0,0,8
rescuespeech_zenodo_8077622_v2,spk17,rescuespeech_zenodo_8077622_v2::spk17,0,0,4,4
rescuespeech_zenodo_8077622_v2,spk18,rescuespeech_zenodo_8077622_v2::spk18,0,0,25,25
rescuespeech_zenodo_8077622_v2,spk19,rescuespeech_zenodo_8077622_v2::spk19,7,0,0,7
rescuespeech_zenodo_8077622_v2,spk20,rescuespeech_zenodo_8077622_v2::spk20,37,0,0,37
rescuespeech_zenodo_8077622_v2,spk21,rescuespeech_zenodo_8077622_v2::spk21,102,0,0,102
rescuespeech_zenodo_8077622_v2,spk22,rescuespeech_zenodo_8077622_v2::spk22,13,0,0,13
rescuespeech_zenodo_8077622_v2,spk23,rescuespeech_zenodo_8077622_v2::spk23,49,0,0,49
rescuespeech_zenodo_8077622_v2,spk24,rescuespeech_zenodo_8077622_v2::spk24,0,15,0,15
rescuespeech_zenodo_8077622_v2,spk25,rescuespeech_zenodo_8077622_v2::spk25,1,0,0,1
