recording_id,TEXT-ID,SOURCE-ID,RECORDING-ID,SUBCORPUS,TITLE,DATE,SOURCE,URL,TEXT-REGION,DOMAIN,TYPE,CHANNEL,SENTENCES,WORDS,SPK-IDsUTTS
rog_slovenian_1_0_1_1_manual_prosody::JIfajzakhu-np0911061839.wav,Rog-Go1-Gos001,Gos001,JIfajzakhu-np0911061839.wav,Gos,Splošno predavanje za prvi letnik prevajalstva.,2009-11,lastni posnetek,-,Ljubljana,"akademski, družboslovje",informativno-izobraževalni,osebni stik,6,117,Af-pred-02166
rog_slovenian_1_0_1_1_manual_prosody::JIfajzakhu-np1003120917.wav,Rog-Go1-Gos002,Gos002,JIfajzakhu-np1003120917.wav,Gos,"Ura filozofije, pri kateri predavatelj študentom razlaga nemško klasično filozofijo.",2010-03,lastni posnetek,-,Ljubljana,"akademski, humanistika",informativno-izobraževalni,osebni stik,6,128,Zm-prof-01084
rog_slovenian_1_0_1_1_manual_prosody::JIfajzaknr-np0911190022.wav,Rog-Go1-Gos003,Gos003,JIfajzaknr-np0911190022.wav,Gos,"Strokovni seminar, namenjen predvsem kemikom in matematikom.",2010-01,lastni posnetek,-,Ljubljana,"akademski, naravoslovje",informativno-izobraževalni,osebni stik,9,213,Um-pred-01619
rog_slovenian_1_0_1_1_manual_prosody::JIfasvakdr-jt1003041136.wav,Rog-Go1-Gos004,Gos004,JIfasvakdr-jt1003041136.wav,Gos,"Predavanje o vzgoji otroka, ki poudarja vzpodbujanje samostojnosti in odgovornosti, sprejemanje odločitev, pogovor z otrokom, izkazovanje ljubezni in vpliv partnerskih odnosov na čustveni razvoj otroka.",2010-03,lastni posnetek,-,Maribor,"akademski, družboslovje",informativno-izobraževalni,osebni stik,11,214,Jf-publ-07549 Pf-pred-07541
rog_slovenian_1_0_1_1_manual_prosody::JIfasvakdr-rd1001290912.wav,Rog-Go1-Gos005,Gos005,JIfasvakdr-rd1001290912.wav,Gos,Javno predavanje in okrogla miza o univerzalnem temeljnem dohodku.,2010-02,lastni posnetek,-,Maribor,javno predavanje,informativno-izobraževalni,osebni stik,7,133,Am-mode-05666 Bf-pred-05667
rog_slovenian_1_0_1_1_manual_prosody::JIfasvakhu-kk1001201128.wav,Rog-Go1-Gos006,Gos006,JIfasvakhu-kk1001201128.wav,Gos,Predavanje iz književnosti na temo modernizma in avantgarde.,2010-02,lastni posnetek,-,Maribor,"akademski, humanistika",informativno-izobraževalni,osebni stik,4,165,Am-pred-05665
rog_slovenian_1_0_1_1_manual_prosody::JIfasvaknr-dv0912110922.wav,Rog-Go1-Gos007,Gos007,JIfasvaknr-dv0912110922.wav,Gos,Predavanje ob dnevu fakultete o najnovejših odkritjih v vesolju.,2009-12,lastni posnetek,-,Maribor,javno predavanje,informativno-izobraževalni,osebni stik,6,238,Tm-pred-06583
rog_slovenian_1_0_1_1_manual_prosody::JIfasvaknr-pv1001120730.wav,Rog-Go1-Gos008,Gos008,JIfasvaknr-pv1001120730.wav,Gos,Predavanje s področja komunikacije človek-stroj.,2010-01,lastni posnetek,-,Maribor,"akademski, tehnika",informativno-izobraževalni,osebni stik,3,92,Pm-pred-09040
rog_slovenian_1_0_1_1_manual_prosody::JIjsnnjtns-ak0908050925.wav,Rog-Go1-Gos009,Gos009,JIjsnnjtns-ak0908050925.wav,Gos,Konverzacijski del učne ure slovenščine za tujce v jezikovni šoli.,2009-06,lastni posnetek,-,Ljubljana,jezikovni tečaj za tujce,informativno-izobraževalni,osebni stik,12,99,Af-prof-06578 Ef-stud-06579 Tf-stud-06580
rog_slovenian_1_0_1_1_manual_prosody::JIosjzdrdr-ak1001100900.wav,Rog-Go1-Gos010,Gos010,JIosjzdrdr-ak1001100900.wav,Gos,"Učna ura slovenščine, šesti razred OŠ. Obravnavali so oglasno sporočilo in nakupovalne navade.",2010-01,lastni posnetek,-,Gorje,"2. triletje, družboslovje",informativno-izobraževalni,osebni stik,13,129,Af-ucen-09041 Em-ucen-09046 Jf-ucen-09052 Pf-prof-09042
rog_slovenian_1_0_1_1_manual_prosody::JIosjzdrdr-np0912052335.wav,Rog-Go1-Gos011,Gos011,JIosjzdrdr-np0912052335.wav,Gos,"Osnovna šola, predmet zgodovina, 6. razred, o obdobju pred Grki.",2009-12,lastni posnetek,-,Ljubljana,"2. triletje, družboslovje",informativno-izobraževalni,osebni stik,17,157,Am-ucen-09034 Bm-ucen-09035 Df-ucen-09037 Ff-ucen-09039 Mf-prof-09033
rog_slovenian_1_0_1_1_manual_prosody::JIosjzdrna-ak1001100755.wav,Rog-Go1-Gos012,Gos012,JIosjzdrna-ak1001100755.wav,Gos,"6. razred, ura matematike, vaje za test: računske operacije z decimalnimi števili, vaje ter zapisovanje računa s pomočjo tekstne naloge.",2010-01,lastni posnetek,-,Gorje,"2. triletje, naravoslovje",informativno-izobraževalni,osebni stik,6,107,Af-prof-02215 Cf-ucen-02217 Gm-ucen-02221
rog_slovenian_1_0_1_1_manual_prosody::JIosjzdrna-kk0910230820.wav,Rog-Go1-Gos013,Gos013,JIosjzdrna-kk0910230820.wav,Gos,"Ura naravoslovja in tehnike v petem razredu OŠ, učitelj se z učenci pogovarja o vrstah prsti, rešujejo delovne liste in naredijo nekaj poskusov.",2010-01,lastni posnetek,-,Dobravlje,"2. triletje, naravoslovje",informativno-izobraževalni,osebni stik,24,198,Am-prof-05653 Cm-ucen-05655 Dm-ucen-05656 Ff-ucen-05658 Gf-ucen-05659 Hf-ucen-05660 Pn-vsiucenci-10000
rog_slovenian_1_0_1_1_manual_prosody::JIosjzdrna-pk1005181032.wav,Rog-Go1-Gos014,Gos014,JIosjzdrna-pk1005181032.wav,Gos,Osnovnošolska učna ura naravoslovja (o podnebju) v petem razredu.,2010-05,lastni posnetek,-,Koper,"2. triletje, naravoslovje",informativno-izobraževalni,osebni stik,27,195,Af-prof-07180 Bm-ucen-07181 Cf-ucen-07182 Dm-ucen-07183 Hm-ucen-07187
