TEXT-ID,SOURCE-ID,RECORDING-ID,SUBCORPUS,PRS-ID,SEX,AGE,1LANG,DIALECT,EDUCATION,PERM-RESD,CHILD-RESD,SENTENCES,WORDS
Rog-Go1-Gos001,Gos001,JIfajzakhu-np0911061839.wav,Gos,Af-pred-02166,ženski,30 do 59 let,slovenščina,-,fakulteta ali več,osrednjeslovenska,-,6,117
Rog-Go1-Gos002,Gos002,JIfajzakhu-np1003120917.wav,Gos,Zm-prof-01084,moški,30 do 59 let,slovenščina,-,fakulteta ali več,"osrednjeslovenska, jugovzhodna Slovenija",-,6,128
Rog-Go1-Gos003,Gos003,JIfajzaknr-np0911190022.wav,Gos,Um-pred-01619,moški,18 do 34 let,slovenščina,-,fakulteta ali več,"osrednjeslovenska, gorenjska, tujina",-,9,213
Rog-Go1-Gos004,Gos004,JIfasvakdr-jt1003041136.wav,Gos,Pf-pred-07541,ženski,18 do 34 let,slovenščina,-,fakulteta ali več,podravska,-,10,207
Rog-Go1-Gos004,Gos004,JIfasvakdr-jt1003041136.wav,Gos,Jf-publ-07549,ženski,30 do 59 let,slovenščina,-,višja ali visoka šola,podravska,-,1,7
Rog-Go1-Gos005,Gos005,JIfasvakdr-rd1001290912.wav,Gos,Am-mode-05666,moški,nad 60 let,slovenščina,-,višja ali visoka šola,podravska,-,6,130
Rog-Go1-Gos005,Gos005,JIfasvakdr-rd1001290912.wav,Gos,Bf-pred-05667,ženski,30 do 59 let,slovenščina,-,fakulteta ali več,"podravska, osrednjeslovenska",-,1,3
Rog-Go1-Gos006,Gos006,JIfasvakhu-kk1001201128.wav,Gos,Am-pred-05665,moški,30 do 59 let,slovenščina,-,fakulteta ali več,podravska,-,4,165
Rog-Go1-Gos007,Gos007,JIfasvaknr-dv0912110922.wav,Gos,Tm-pred-06583,moški,30 do 59 let,slovenščina,-,fakulteta ali več,osrednjeslovenska,-,6,238
Rog-Go1-Gos008,Gos008,JIfasvaknr-pv1001120730.wav,Gos,Pm-pred-09040,moški,30 do 59 let,slovenščina,-,fakulteta ali več,podravska,-,3,92
