TEXT-ID,Split
Rog-Art-J-Gvecg-P500001,Dev
Rog-Art-J-Gvecg-P500002,Train
Rog-Art-J-Gvecg-P500014,Test
Rog-Art-J-Gvecg-P500016,Train
Rog-Art-J-Gvecg-P500021,Train
Rog-Art-J-Gvecg-P500026,Train
Rog-Art-J-Gvecg-P500028,Test
Rog-Art-J-Gvecg-P500034,Train
Rog-Art-J-Gvecg-P500037,Dev
Rog-Art-J-Gvecg-P500042,Train
Rog-Art-J-Gvecg-P500046,Train
Rog-Art-J-Gvecg-P500048,Train
Rog-Art-J-Gvecg-P500051,Train
Rog-Art-J-Gvecg-P500054,Test
Rog-Art-J-Gvecg-P500063,Test
Rog-Art-J-Gvecg-P500064,Train
Rog-Art-J-Gvecg-P580002,Train
Rog-Art-J-Gvecg-P580003,Train
Rog-Art-J-Gvecg-P580009,Train
Rog-Art-J-Gvecg-P580023,Train
Rog-Art-J-Gvecg-P580041,Train
Rog-Art-J-Gvecg-P580047,Train
Rog-Art-J-Gvecg-P580051,Train
Rog-Art-N-G5013-P600007,Train
Rog-Art-N-G5014-P600007,Train
Rog-Art-N-G5019-P600012,Train
Rog-Art-N-G5020-P600012,Train
Rog-Art-N-G5025-P600021,Train
Rog-Art-N-G5025-P600022,Train
Rog-Art-N-G5026-P600021,Train
Rog-Art-N-G5035-P600034,Train
Rog-Art-N-G5036-P600034,Train
Rog-Art-N-G5043-P600044,Train
Rog-Art-N-G5044-P600044,Train
Rog-Art-N-G5053-P600052,Train
Rog-Art-N-G5054-P600052,Train
Rog-Art-N-G5082-P600080,Train
Rog-Art-N-G5083-P600080,Dev
Rog-Art-N-G5097-P600096,Test
Rog-Art-N-G6001-P600102,Train
Rog-Art-N-G6007-P600702,Test
Rog-Art-N-G6012-P601201,Train
Rog-Art-N-G6031-P603102,Train
Rog-Art-N-G6043-P604301,Train
Rog-Art-N-G6047-P604702,Train
Rog-Art-N-G6060-P606001,Test
Rog-Art-N-G6083-P608301,Dev
Rog-Art-N-G6100-P610002,Test
Rog-Art-N-G6103-P610302,Train
Rog-Art-N-G6112-P611202,Train
Rog-Art-N-G6116-P611601,Train
Rog-Art-P-G7001-P700192,Dev
Rog-Art-P-G7002-P700444,Test
Rog-Art-P-G7036-P701111,Train
Rog-Art-P-G7065-P701064,Train
Rog-Art-P-G7155-P700259,Test
Rog-Art-P-G7165-P700926,Train
Rog-Go1-Gos001,Train
Rog-Go1-Gos002,Train
Rog-Go1-Gos003,Train
Rog-Go1-Gos004,Train
Rog-Go1-Gos005,Train
Rog-Go1-Gos006,Train
Rog-Go1-Gos007,Train
Rog-Go1-Gos008,Train
Rog-Go1-Gos009,Train
Rog-Go1-Gos010,Train
Rog-Go1-Gos011,Train
Rog-Go1-Gos012,Train
Rog-Go1-Gos013,Train
Rog-Go1-Gos014,Train
Rog-Go1-Gos015,Train
Rog-Go1-Gos016,Train
Rog-Go1-Gos017,Train
Rog-Go1-Gos018,Dev
Rog-Go1-Gos019,Train
Rog-Go1-Gos020,Train
Rog-Go1-Gos021,Train
Rog-Go1-Gos022,Train
Rog-Go1-Gos023,Train
Rog-Go1-Gos024,Train
Rog-Go1-Gos025,Train
Rog-Go1-Gos026,Train
Rog-Go1-Gos027,Train
Rog-Go1-Gos028,Train
Rog-Go1-Gos029,Train
Rog-Go1-Gos030,Train
Rog-Go1-Gos031,Train
Rog-Go1-Gos032,Train
Rog-Go1-Gos033,Train
Rog-Go1-Gos034,Dev
Rog-Go1-Gos035,Train
Rog-Go1-Gos036,Train
Rog-Go1-Gos037,Train
Rog-Go1-Gos038,Train
Rog-Go1-Gos039,Train
Rog-Go1-Gos040,Train
Rog-Go1-Gos041,Train
Rog-Go1-Gos042,Dev
Rog-Go1-Gos043,Train
Rog-Go1-Gos044,Train
Rog-Go1-Gos045,Train
Rog-Go1-Gos046,Train
Rog-Go1-Gos047,Train
Rog-Go1-Gos048,Train
Rog-Go1-Gos049,Train
Rog-Go1-Gos050,Train
Rog-Go1-Gos051,Dev
Rog-Go1-Gos052,Dev
Rog-Go1-Gos053,Train
Rog-Go1-Gos054,Train
Rog-Go1-Gos055,Train
Rog-Go1-Gos056,Train
Rog-Go1-Gos057,Train
Rog-Go1-Gos058,Train
Rog-Go1-Gos059,Train
Rog-Go1-Gos060,Train
