source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,tier_id_original,source_tier_id,annotation/prosody,EXMARaLDA tier identifier,,string,,,manual multilayer annotation; Prosodic Unit tier explicitly manually corrected in ROG 1.1,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,tier_category_original,annotation_category,annotation/prosody,EXMARaLDA tier category,,string,,,manual multilayer annotation; Prosodic Unit tier explicitly manually corrected in ROG 1.1,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,tier_type_original,annotation_tier_type,annotation/prosody,EXMARaLDA tier type,,string,,,manual multilayer annotation; Prosodic Unit tier explicitly manually corrected in ROG 1.1,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,tier_speaker_original,source_speaker_id,annotation/prosody,speaker linked by tier,,string,,,manual multilayer annotation; Prosodic Unit tier explicitly manually corrected in ROG 1.1,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,start_time_seconds_original,start_time_s,annotation/prosody,event start,seconds,string,,,manual multilayer annotation; Prosodic Unit tier explicitly manually corrected in ROG 1.1,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,end_time_seconds_original,end_time_s,annotation/prosody,event end,seconds,string,,,manual multilayer annotation; Prosodic Unit tier explicitly manually corrected in ROG 1.1,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,annotation_original,annotation_label_original,annotation/prosody,verbatim annotation text,,string,,,manual multilayer annotation; Prosodic Unit tier explicitly manually corrected in ROG 1.1,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,trs_turns_source_faithful.csv,speaker_original,source_speaker_id,recording/utterance,TRS turn field,,string,,,,,,ROG 1.1 TRS,
rog_slovenian_1_0_1_1_manual_prosody,trs_turns_source_faithful.csv,start_time_seconds_original,start_time_s,recording/utterance,TRS turn field,seconds,string,,,,,,ROG 1.1 TRS,
rog_slovenian_1_0_1_1_manual_prosody,trs_turns_source_faithful.csv,end_time_seconds_original,end_time_s,recording/utterance,TRS turn field,seconds,string,,,,,,ROG 1.1 TRS,
rog_slovenian_1_0_1_1_manual_prosody,trs_turns_source_faithful.csv,text_original,transcription_original,recording/utterance,TRS turn field,,string,,,,,,ROG 1.1 TRS,
rog_slovenian_1_0_1_1_manual_prosody,tei_events_source_faithful.csv,element_original,,annotation/TEI,Verbatim TEI event field,,string,,,,,,ROG 1.1 ISO TEI,
