source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,source_id,source_id,provenance/annotation,Namespaced database source identifier,,string,,,,,,ROG 1.1 EXMARaLDA,Technical ingestion field
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,file,source_file,provenance/annotation,Path of originating EXMARaLDA file within ROG.zip,,string,,,,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,event_id,annotation_event_id,provenance/annotation,Namespaced event identifier generated during ingestion,,string,,,,,,ROG 1.1 EXMARaLDA,Technical ingestion field
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,tier_display_name_original,tier_display_name_original,provenance/annotation,Original EXMARaLDA tier display name,,string,,,,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,start_tli_original,start_timeline_ref,provenance/annotation,Original EXMARaLDA start timeline-item reference,,string,,,,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,end_tli_original,end_timeline_ref,provenance/annotation,Original EXMARaLDA end timeline-item reference,,string,,,,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_events_source_faithful.csv,manual_provenance,annotation_provenance,provenance/annotation,Ingestion provenance statement preserving manual-status evidence,,string,,,,,,ROG 1.1 EXMARaLDA,Technical ingestion field
rog_slovenian_1_0_1_1_manual_prosody,exb_timeline_source_faithful.csv,source_id,source_id,annotation/timing,Namespaced database source identifier,,string,,,,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_timeline_source_faithful.csv,file,source_file,annotation/timing,Path of originating EXMARaLDA file within ROG.zip,,string,,,,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_timeline_source_faithful.csv,timeline_id_original,source_timeline_id,annotation/timing,Original EXMARaLDA timeline-item identifier,,string,,,,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,exb_timeline_source_faithful.csv,time_seconds_original,time_s,annotation/timing,Original EXMARaLDA timeline time value,seconds,string,,,,,,ROG 1.1 EXMARaLDA,
rog_slovenian_1_0_1_1_manual_prosody,trs_turns_source_faithful.csv,source_id,source_id,recording/utterance,Namespaced database source identifier,,string,,,,,,ROG 1.1 TRS,Technical ingestion field
rog_slovenian_1_0_1_1_manual_prosody,trs_turns_source_faithful.csv,file,source_file,recording/utterance,Path of originating TRS file within ROG.zip,,string,,,,,,ROG 1.1 TRS,
rog_slovenian_1_0_1_1_manual_prosody,trs_turns_source_faithful.csv,turn_id,utterance_id,recording/utterance,Namespaced turn identifier generated during ingestion,,string,,,,,,ROG 1.1 TRS,Technical ingestion field
rog_slovenian_1_0_1_1_manual_prosody,tei_events_source_faithful.csv,source_id,source_id,annotation/TEI,Namespaced database source identifier,,string,,,,,,ROG 1.1 ISO TEI,Technical ingestion field
rog_slovenian_1_0_1_1_manual_prosody,tei_events_source_faithful.csv,file,source_file,annotation/TEI,Path of originating ISO TEI file within ROG.zip,,string,,,,,,ROG 1.1 ISO TEI,
rog_slovenian_1_0_1_1_manual_prosody,tei_events_source_faithful.csv,tei_event_id,annotation_event_id,annotation/TEI,Namespaced TEI element identifier generated during ingestion,,string,,,,,,ROG 1.1 ISO TEI,Technical ingestion field
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,source_id,source_id,linguistic annotation,Namespaced database source identifier,,string,,,,,,ROG 1.1 ROG-SST,Technical ingestion field
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,file,source_file,linguistic annotation,Path of originating CoNLL-U file within ROG.zip,,string,,,,,,ROG 1.1 ROG-SST,
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,sentence_index,source_sentence_index,linguistic annotation,Sequential sentence index assigned while parsing source file,,integer,,,,,,ROG 1.1 ROG-SST,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,TEXT-ID,source_text_id,recording/utterance,ROG text identifier,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,SOURCE-ID,source_source_id,recording/utterance,Original source identifier,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,RECORDING-ID,source_recording_id,recording/equipment,Original linked WAV recording identifier,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,SUBCORPUS,subcorpus,study/condition,ROG subcorpus label,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,PRS-ID,source_speaker_id,speaker/demographic,Original participant/speaker identifier,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,SEX,sex_original,speaker/demographic,Speaker sex label as supplied,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,AGE,age_group_original,speaker/demographic,Speaker age-group label as supplied,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,1LANG,l1_original,language,Speaker first-language label,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,DIALECT,dialect_original,language/variety,Speaker dialect label,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,EDUCATION,education_original,speaker/demographic,Speaker education category,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,PERM-RESD,residence_region_original,speaker/demographic,Permanent-residence region,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,CHILD-RESD,childhood_residence_original,speaker/demographic,Childhood-residence region,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,SENTENCES,sentence_count,recording/utterance,Number of sentences associated with speaker-text record,,integer,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speakers_source_faithful.tsv.csv,WORDS,word_count,recording/utterance,Number of words associated with speaker-text record,,integer,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speakers.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speeches_source_faithful.tsv.csv,TEXT-ID,source_text_id,recording/utterance,ROG text identifier,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speeches.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speeches_source_faithful.tsv.csv,SOURCE-ID,source_source_id,recording/utterance,Original source identifier,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speeches.tsv,
rog_slovenian_1_0_1_1_manual_prosody,speeches_source_faithful.tsv.csv,RECORDING-ID,source_recording_id,recording/equipment,Original linked WAV recording identifier,,string,,Source uses literal hyphen (-) for some unavailable/not-applicable metadata,,,,ROG 1.1 METADATA/ROG-speeches.tsv,
