source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
ulrich2022_russian_fricatives,metadata,SentenceNo,sentence_number,recording_context,Sentence identifier,,identifier,,,,author metadata,,sentence,SWISSUbase overview,
ulrich2022_russian_fricatives,metadata,IntervalNo,source_interval_number,annotation,Interval identifying target fricative,,integer,,,,author metadata,,target fricative,SWISSUbase overview,
ulrich2022_russian_fricatives,metadata,SentenceTyp,sentence_type,condition,Sentence type,,categorical,"CS=carrier sentence; NC=non-carrier sentence",,,author metadata,,sentence,SWISSUbase overview,
ulrich2022_russian_fricatives,metadata,Position,carrier_sentence_position,condition,Location of target word in carrier sentence,,categorical,"1=X; 2=Y",,,author metadata,,target lexical item,SWISSUbase overview,
ulrich2022_russian_fricatives,metadata,fricative position,word_position,segment_context,Word position of target fricative,,categorical,"B=word-initial; M=word-medial; E=word-final",,,author metadata,,target fricative,SWISSUbase overview,"original variable spelling retained"
ulrich2022_russian_fricatives,metadata,Sampa,sampa,transcription,Target fricative SAMPA transcription,,string,,,,author metadata,,target fricative,SWISSUbase overview,
ulrich2022_russian_fricatives,metadata,IPA,ipa,transcription,Target fricative IPA transcription,,string,,,,author metadata,,target fricative,SWISSUbase overview,"retain source IPA; do not infer missing values"
ulrich2022_russian_fricatives,metadata,PrecedingSound,preceding_segment,segment_context,Sound preceding target fricative,,string,,,,author metadata,,target fricative context,SWISSUbase overview,
ulrich2022_russian_fricatives,metadata,FollowingSound,following_segment,segment_context,Sound following target fricative,,string,,,,author metadata,,target fricative context,SWISSUbase overview,
ulrich2022_russian_fricatives,metadata,Voicing,voicing,phonological_feature,Whether target fricative is voiced,,categorical,,,,author metadata,,target fricative,SWISSUbase overview,
ulrich2022_russian_fricatives,metadata,Palatalization,palatalization,phonological_feature,Whether target fricative is palatalized,,categorical,,,,author metadata,,target fricative,SWISSUbase overview,
ulrich2022_russian_fricatives,TextGrid,target_fricative_boundary_start,segment_start_s,temporal,Manually inspected/corrected target-fricative onset,s,continuous,,,,MAUS initial alignment followed by manual inspection/correction in Praat,utterance-relative,target fricative,Data in Brief 2023,"only target-fricative boundary layer qualifies"
ulrich2022_russian_fricatives,TextGrid,target_fricative_boundary_end,segment_end_s,temporal,Manually inspected/corrected target-fricative offset,s,continuous,,,,MAUS initial alignment followed by manual inspection/correction in Praat,utterance-relative,target fricative,Data in Brief 2023,"only target-fricative boundary layer qualifies"
