source_id,file_table,original_variable,standardized_variable,variable_domain,description,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
voxangeles_2024,voxangeles_durations.tsv,lang,language_source_label,language,Language/directory identifier,,string,,source literal,Audited language directory,,language/variety,upstream table,
voxangeles_2024,voxangeles_durations.tsv,file,source_recording_id,recording,Recording basename,,string,,source literal,Audited TextGrid/audio basename,,recording,upstream table,
voxangeles_2024,voxangeles_durations.tsv,word,lexical_item_original,lexical,Word-tier label,,string,,source literal,Praat word tier,,lexical item,audited TextGrid,
voxangeles_2024,voxangeles_durations.tsv,phone,segment_label_original,segment,Phone-tier label,,string,,source literal,Praat phone tier,,segment,audited TextGrid,
voxangeles_2024,voxangeles_durations.tsv,prec,preceding_segment_original,context,Previous phone label,,string,,NA/source literal,Neighbor interval lookup,,segment context,audited TextGrid,
voxangeles_2024,voxangeles_durations.tsv,foll,following_segment_original,context,Following phone label,,string,,NA/source literal,Neighbor interval lookup,,segment context,audited TextGrid,
voxangeles_2024,voxangeles_durations.tsv,int,source_phone_interval_index,segment,Phone interval index,,integer,,source literal,Praat interval index,,segment,audited TextGrid,
voxangeles_2024,voxangeles_durations.tsv,pstart,segment_start_s,temporal,Phone start,s,numeric,,source literal,Praat phone boundary,recording-relative,segment boundary,audited TextGrid,script rounds to 4 decimals
voxangeles_2024,voxangeles_durations.tsv,pend,segment_end_s,temporal,Phone end,s,numeric,,source literal,Praat phone boundary,recording-relative,segment boundary,audited TextGrid,script rounds to 4 decimals
voxangeles_2024,voxangeles_durations.tsv,wstart,word_start_s,temporal,Word start,s,numeric,,source literal,Praat word boundary,recording-relative,word boundary,audited TextGrid,script rounds to 4 decimals
voxangeles_2024,voxangeles_durations.tsv,wend,word_end_s,temporal,Word end,s,numeric,,source literal,Praat word boundary,recording-relative,word boundary,audited TextGrid,script rounds to 4 decimals
voxangeles_2024,voxangeles_f0_deciles.tsv,lang,language_source_label,language,Language/directory identifier,,string,,source literal,Audited language directory,,language/variety,upstream table,
voxangeles_2024,voxangeles_f0_deciles.tsv,file,source_recording_id,recording,Recording basename,,string,,source literal,Audited TextGrid/audio basename,,recording,upstream table,
voxangeles_2024,voxangeles_f0_deciles.tsv,word,lexical_item_original,lexical,Word-tier label,,string,,source literal,Praat word tier,,lexical item,audited TextGrid,
voxangeles_2024,voxangeles_f0_deciles.tsv,phone,segment_label_original,segment,Phone-tier label,,string,,source literal,Praat phone tier,,segment,audited TextGrid,
voxangeles_2024,voxangeles_f0_deciles.tsv,prec,preceding_segment_original,context,Previous phone label,,string,,NA/source literal,Neighbor interval lookup,,segment context,audited TextGrid,
voxangeles_2024,voxangeles_f0_deciles.tsv,foll,following_segment_original,context,Following phone label,,string,,NA/source literal,Neighbor interval lookup,,segment context,audited TextGrid,
voxangeles_2024,voxangeles_f0_deciles.tsv,int,source_phone_interval_index,segment,Phone interval index,,integer,,source literal,Praat interval index,,segment,audited TextGrid,
voxangeles_2024,voxangeles_f0_deciles.tsv,pstart,segment_start_s,temporal,Phone start,s,numeric,,source literal,Praat phone boundary,recording-relative,segment boundary,audited TextGrid,script rounds to 2 decimals
voxangeles_2024,voxangeles_f0_deciles.tsv,pend,segment_end_s,temporal,Phone end,s,numeric,,source literal,Praat phone boundary,recording-relative,segment boundary,audited TextGrid,script rounds to 2 decimals
voxangeles_2024,voxangeles_f0_deciles.tsv,wstart,word_start_s,temporal,Word start,s,numeric,,source literal,Praat word boundary,recording-relative,word boundary,audited TextGrid,script rounds to 2 decimals
voxangeles_2024,voxangeles_f0_deciles.tsv,wend,word_end_s,temporal,Word end,s,numeric,,source literal,Praat word boundary,recording-relative,word boundary,audited TextGrid,script rounds to 2 decimals
voxangeles_2024,voxangeles_f0_deciles.tsv,f0_1,f0_hz_trajectory,acoustic,F0 trajectory sample,Hz,numeric,,source literal,Praat Pitch 75-500 Hz; linear value,normalized vowel time 0.1,vowel F0,getf0_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_f0_deciles.tsv,f0_2,f0_hz_trajectory,acoustic,F0 trajectory sample,Hz,numeric,,source literal,Praat Pitch 75-500 Hz; linear value,normalized vowel time 0.2,vowel F0,getf0_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_f0_deciles.tsv,f0_3,f0_hz_trajectory,acoustic,F0 trajectory sample,Hz,numeric,,source literal,Praat Pitch 75-500 Hz; linear value,normalized vowel time 0.3,vowel F0,getf0_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_f0_deciles.tsv,f0_4,f0_hz_trajectory,acoustic,F0 trajectory sample,Hz,numeric,,source literal,Praat Pitch 75-500 Hz; linear value,normalized vowel time 0.4,vowel F0,getf0_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_f0_deciles.tsv,f0_5,f0_hz_trajectory,acoustic,F0 trajectory sample,Hz,numeric,,source literal,Praat Pitch 75-500 Hz; linear value,normalized vowel time 0.5,vowel F0,getf0_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_f0_deciles.tsv,f0_6,f0_hz_trajectory,acoustic,F0 trajectory sample,Hz,numeric,,source literal,Praat Pitch 75-500 Hz; linear value,normalized vowel time 0.6,vowel F0,getf0_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_f0_deciles.tsv,f0_7,f0_hz_trajectory,acoustic,F0 trajectory sample,Hz,numeric,,source literal,Praat Pitch 75-500 Hz; linear value,normalized vowel time 0.7,vowel F0,getf0_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_f0_deciles.tsv,f0_8,f0_hz_trajectory,acoustic,F0 trajectory sample,Hz,numeric,,source literal,Praat Pitch 75-500 Hz; linear value,normalized vowel time 0.8,vowel F0,getf0_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_f0_deciles.tsv,f0_9,f0_hz_trajectory,acoustic,F0 trajectory sample,Hz,numeric,,source literal,Praat Pitch 75-500 Hz; linear value,normalized vowel time 0.9,vowel F0,getf0_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_f0_deciles.tsv,f0_10,f0_hz_trajectory,acoustic,F0 trajectory sample,Hz,numeric,,source literal,Praat Pitch 75-500 Hz; linear value,normalized vowel time 1.0,vowel F0,getf0_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,lang,language_source_label,language,Language/directory identifier,,string,,source literal,Audited language directory,,language/variety,upstream table,
voxangeles_2024,voxangeles_formants_deciles.tsv,file,source_recording_id,recording,Recording basename,,string,,source literal,Audited TextGrid/audio basename,,recording,upstream table,
voxangeles_2024,voxangeles_formants_deciles.tsv,word,lexical_item_original,lexical,Word-tier label,,string,,source literal,Praat word tier,,lexical item,audited TextGrid,
voxangeles_2024,voxangeles_formants_deciles.tsv,phone,segment_label_original,segment,Phone-tier label,,string,,source literal,Praat phone tier,,segment,audited TextGrid,
voxangeles_2024,voxangeles_formants_deciles.tsv,prec,preceding_segment_original,context,Previous phone label,,string,,NA/source literal,Neighbor interval lookup,,segment context,audited TextGrid,
voxangeles_2024,voxangeles_formants_deciles.tsv,foll,following_segment_original,context,Following phone label,,string,,NA/source literal,Neighbor interval lookup,,segment context,audited TextGrid,
voxangeles_2024,voxangeles_formants_deciles.tsv,int,source_phone_interval_index,segment,Phone interval index,,integer,,source literal,Praat interval index,,segment,audited TextGrid,
voxangeles_2024,voxangeles_formants_deciles.tsv,pstart,segment_start_s,temporal,Phone start,s,numeric,,source literal,Praat phone boundary,recording-relative,segment boundary,audited TextGrid,script rounds to 2 decimals
voxangeles_2024,voxangeles_formants_deciles.tsv,pend,segment_end_s,temporal,Phone end,s,numeric,,source literal,Praat phone boundary,recording-relative,segment boundary,audited TextGrid,script rounds to 2 decimals
voxangeles_2024,voxangeles_formants_deciles.tsv,wstart,word_start_s,temporal,Word start,s,numeric,,source literal,Praat word boundary,recording-relative,word boundary,audited TextGrid,script rounds to 2 decimals
voxangeles_2024,voxangeles_formants_deciles.tsv,wend,word_end_s,temporal,Word end,s,numeric,,source literal,Praat word boundary,recording-relative,word boundary,audited TextGrid,script rounds to 2 decimals
voxangeles_2024,voxangeles_formants_deciles.tsv,f1_1,f1_hz_trajectory,acoustic,F1 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.1,vowel F1,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f1_2,f1_hz_trajectory,acoustic,F1 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.2,vowel F1,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f1_3,f1_hz_trajectory,acoustic,F1 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.3,vowel F1,getFormants_voxangeles.praat,raw retained
