source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S23_INT_2,ccost_S23_INT_2,69.91,87.41,43.04,8.65,44.37,0.05,89.22,64.22,73.39,53.59,CCOST_metadata.csv source row 179
ccost_2026,ccost_2026::ccost_S23_INT_3,ccost_S23_INT_3,70.92,89.95,44.81,9.05,45.14,0.07,91.03,66.03,74.97,56.33,CCOST_metadata.csv source row 180
ccost_2026,ccost_2026::ccost_S23_INT_4,ccost_S23_INT_4,68.73,90.7,43.33,8.59,47.37,0.05,90.68,65.68,73.17,55.38,CCOST_metadata.csv source row 181
ccost_2026,ccost_2026::ccost_S23_INT_5,ccost_S23_INT_5,68.61,86.83,44.95,8.17,41.88,0.02,88.64,63.64,72.1,54.73,CCOST_metadata.csv source row 182
ccost_2026,ccost_2026::ccost_S23_WL_1,ccost_S23_WL_1,74.1,86.5,45.32,8.14,41.19,0.05,86.78,61.78,75.11,49.66,CCOST_metadata.csv source row 183
ccost_2026,ccost_2026::ccost_S23_WL_2,ccost_S23_WL_2,75.06,90.65,47.49,8.08,43.16,0.06,90.73,65.73,77.19,50.68,CCOST_metadata.csv source row 184
ccost_2026,ccost_2026::ccost_S23_WL_3,ccost_S23_WL_3,74.21,88.19,44.92,8.07,43.27,0.09,89.06,64.06,75.92,48.21,CCOST_metadata.csv source row 185
ccost_2026,ccost_2026::ccost_S23_WL_4,ccost_S23_WL_4,69.89,86.1,46.8,8.06,39.3,-0.11,87.49,62.49,72.74,49.05,CCOST_metadata.csv source row 186
ccost_2026,ccost_2026::ccost_S23_ST_1,ccost_S23_ST_1,70.47,83.05,49.11,7.5,33.94,-0.45,83.42,58.42,71.13,49.85,CCOST_metadata.csv source row 187
ccost_2026,ccost_2026::ccost_S23_ST_2,ccost_S23_ST_2,70.49,84.55,44.94,8.45,39.61,-0.03,88.14,63.14,72.92,50.89,CCOST_metadata.csv source row 188
ccost_2026,ccost_2026::ccost_S23_ST_3,ccost_S23_ST_3,70.27,86.92,47.28,7.89,39.64,-0.09,87.04,62.04,72.38,52.5,CCOST_metadata.csv source row 189
ccost_2026,ccost_2026::ccost_S24_INT_1,ccost_S24_INT_1,65.05,89.8,41.22,6.86,48.58,-0.03,90.67,65.67,70.17,58.54,CCOST_metadata.csv source row 190
ccost_2026,ccost_2026::ccost_S24_INT_2,ccost_S24_INT_2,64.47,83.82,44.45,5.76,39.37,-3.94,85.1,60.1,66.42,54.54,CCOST_metadata.csv source row 191
ccost_2026,ccost_2026::ccost_S24_INT_3,ccost_S24_INT_3,62.84,87.53,42.47,5.67,45.07,-0.22,89.24,64.24,68.02,58.01,CCOST_metadata.csv source row 192
ccost_2026,ccost_2026::ccost_S24_INT_4,ccost_S24_INT_4,64.04,87.75,42.66,5.97,45.09,-0.88,87.76,62.76,67.17,56.24,CCOST_metadata.csv source row 193
ccost_2026,ccost_2026::ccost_S24_INT_5,ccost_S24_INT_5,66.34,82.76,41.53,6.16,41.24,-3,92.2,67.2,71.24,60.01,CCOST_metadata.csv source row 194
ccost_2026,ccost_2026::ccost_S24_WL_1,ccost_S24_WL_1,65.25,80.21,42.7,5.83,37.51,-6.97,81.56,56.56,66.14,49.5,CCOST_metadata.csv source row 195
